f1score,f1scores,weight_order,height_order,bone_density_order,lambda
0.9789312419898317,0.978|0.974|0.982|0.981,1,1,1,0.0
0.9787562682299524,0.978|0.973|0.982|0.982,1,1,1,1.0
0.9789312419898317,0.978|0.974|0.982|0.981,1,1,2,0.0
0.9789312419898317,0.978|0.974|0.982|0.981,1,1,2,1.0
0.9379489761577141,0.936|0.923|0.949|0.943,1,1,3,0.0
0.9379489761577141,0.936|0.923|0.949|0.943,1,1,3,1.0
0.9580925911313349,0.957|0.947|0.966|0.963,1,2,1,0.0
0.9580925911313349,0.957|0.947|0.966|0.963,1,2,1,1.0
0.9580925911313349,0.957|0.947|0.966|0.963,1,2,2,0.0
0.9580925911313349,0.957|0.947|0.966|0.963,1,2,2,1.0
0.9374240548780758,0.936|0.919|0.949|0.945,1,2,3,0.0
0.9583943605120517,0.957|0.95|0.966|0.962,1,2,3,1.0
0.9177489177489178,0.909|0.9|0.933|0.929,1,3,1,0.0
0.8792155425219942,0.864|0.857|0.903|0.893,1,3,1,1.0
0.9177489177489178,0.909|0.9|0.933|0.929,1,3,2,0.0
0.9377543360594208,0.933|0.923|0.949|0.945,1,3,2,1.0
0.8792155425219942,0.864|0.857|0.903|0.893,1,3,3,0.0
0.9182692307692307,0.917|0.9|0.933|0.923,1,3,3,1.0
0.9787562682299524,0.978|0.973|0.982|0.982,2,1,1,0.0
0.9580925911313349,0.957|0.947|0.966|0.963,2,1,1,1.0
0.9580925911313349,0.957|0.947|0.966|0.963,2,1,2,0.0
0.9580925911313349,0.957|0.947|0.966|0.963,2,1,2,1.0
0.9374240548780758,0.936|0.919|0.949|0.945,2,1,3,0.0
0.9789312419898317,0.978|0.974|0.982|0.981,2,1,3,1.0
0.9787562682299524,0.978|0.973|0.982|0.982,2,2,1,0.0
0.9580925911313349,0.957|0.947|0.966|0.963,2,2,1,1.0
0.9580925911313349,0.957|0.947|0.966|0.963,2,2,2,0.0
0.9374240548780757,0.936|0.919|0.949|0.945,2,2,2,1.0
0.9580925911313349,0.957|0.947|0.966|0.963,2,2,3,0.0
0.9374240548780757,0.936|0.919|0.949|0.945,2,2,3,1.0
0.9176656920077974,0.917|0.895|0.933|0.926,2,3,1,0.0
0.8599486521181001,0.844|0.829|0.889|0.877,2,3,1,1.0
0.8981338972619057,0.894|0.872|0.918|0.909,2,3,2,0.0
0.8981338972619057,0.894|0.872|0.918|0.909,2,3,2,1.0
0.878912041675015,0.87|0.85|0.903|0.893,2,3,3,0.0
0.9174212705677236,0.913|0.895|0.933|0.929,2,3,3,1.0
0.9367442226192961,0.936|0.914|0.949|0.947,3,1,1,0.0
0.9374240548780757,0.936|0.919|0.949|0.945,3,1,1,1.0
0.8963538823639896,0.898|0.857|0.918|0.912,3,1,2,0.0
0.8963538823639896,0.898|0.857|0.918|0.912,3,1,2,1.0
0.9374240548780757,0.936|0.919|0.949|0.945,3,1,3,0.0
0.8773540706605223,0.88|0.833|0.903|0.893,3,1,3,1.0
0.9374240548780757,0.936|0.919|0.949|0.945,3,2,1,0.0
0.9168650793650794,0.917|0.889|0.933|0.929,3,2,1,1.0
0.8974869361286224,0.898|0.865|0.918|0.909,3,2,2,0.0
0.8963538823639896,0.898|0.857|0.918|0.912,3,2,2,1.0
0.9168650793650794,0.917|0.889|0.933|0.929,3,2,3,0.0
0.8963538823639896,0.898|0.857|0.918|0.912,3,2,3,1.0
0.9165750458104281,0.913|0.889|0.933|0.931,3,3,1,0.0
0.9371933039194413,0.933|0.919|0.949|0.947,3,3,1,1.0
0.8981338972619057,0.894|0.872|0.918|0.909,3,3,2,0.0
0.8773540706605223,0.88|0.833|0.903|0.893,3,3,2,1.0
0.9168650793650794,0.917|0.889|0.933|0.929,3,3,3,0.0
0.8971988436952731,0.894|0.865|0.918|0.912,3,3,3,1.0
