loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
986702197.0562276,1,1,1,1.0,518308.94872105797 3497.1438993807647 -9.154986957618384 -77.0927536383886
990334184.1199231,1,1,2,1.0,515426.17221821815 3497.010093606399 -9.159947400901771 1004.851539702246 -71.76290530578837
990524446.7311463,1,1,3,1.0,514578.48571465304 3497.063194284926 -9.154277652683783 1567.4465929209832 -161.61356334794073 3.9725136284623335
282974875.0586767,1,2,1,1.0,933410.5765202093 3514.1493105554728 -441.7182871213696 0.10587213423569246 -124.12595844800094
283807563.4088703,1,2,2,1.0,931738.8285482011 3514.0725502641803 -441.56123008442086 0.10583305416984447 445.81344255594945 -37.80163325442103
283815600.8196763,1,2,3,1.0,931586.102788589 3514.081770791118 -441.556757965018 0.10583220413556853 544.9602161515595 -53.635673778544735 0.7000489429641416
122328923.80993138,1,3,1,1.0,58545.80806329916 3525.8014702640867 955.0889930499659 -0.6037436385499506 0.00011535879493911509 -184.88042511639537
122781812.9728987,1,3,2,1.0,57478.239105548244 3525.737422708938 954.8080425933541 -0.6035687332088879 0.00011532534021601505 265.59521976056567 -29.876946663212475
122801731.91094042,1,3,3,1.0,57186.96581937 3525.7545409049617 954.8321364520368 -0.6035783542172342 0.00011532664971030896 448.23801770227334 -59.04579240017344 1.2896065654946987
867011160.9106083,2,1,1,1.0,499467.5843599836 4965.92957952569 -17.68950469960749 -9.26533302921357 -28.784819374016084
868949908.1320437,2,1,2,1.0,497349.7355303953 4963.087547568897 -17.65647989727531 -9.268831768126276 779.1835056604756 -53.59668406578289
869108940.342835,2,1,3,1.0,496564.74325401546 4963.099881761024 -17.656035887036435 -9.263575571499482 1300.476837055416 -136.85069724302116 3.6808399005496173
171853796.11660913,2,2,1,1.0,915783.3527513986 5022.706780882563 -18.167650928627857 -443.62753483775316 0.10631169482041858 -74.7075364299901
171975101.72191063,2,2,2,1.0,914955.6552698684 5021.690010982675 -18.155869919699743 -443.5474625353962 0.10629179368032236 211.33950562187945 -18.974397533791308
171977497.39906895,2,2,3,1.0,914871.5058316767 5021.6910451381245 -18.15582115944719 -443.54499181533583 0.1062913238422209 265.9976746220369 -27.70342293528076 0.38592231713203445
6926389.232095752,2,3,1,1.0,48143.251126667485 5016.276211443533 -17.95100461812529 942.0032324458188 -0.5976197831667275 0.00011443387458340862 -135.56419444229994
6927100.713145488,2,3,2,1.0,47742.41432432865 5015.66968821229 -17.943992326197385 941.9017871948686 -0.597555838432801 0.00011442154740637015 35.26992712572631 -11.33152827526275
6937032.623611532,2,3,3,1.0,47522.373781811795 5015.6722472492675 -17.94386735349818 941.9200842421727 -0.5975631506791609 0.0001144225432548595 173.2903834780201 -33.37386580639785 0.9745252482036415
868879054.846424,3,1,1,1.0,498280.6292537834 5180.351153229302 -24.40738409545006 0.054067751165899826 -9.261910871636287 -31.608357299674456
870759238.3299583,3,1,2,1.0,496191.8250143655 5175.385364295665 -24.307367576464962 0.05352642559541431 -9.265415523054568 769.8413142028252 -53.1623930922459
870940967.2880398,3,1,3,1.0,495364.60174557567 5176.175036639352 -24.331235902091525 0.05372226452913652 -9.259892421487388 1316.3316466866002 -140.44440489113632 3.8589966784492837
171858160.72231394,3,2,1,1.0,915702.2102427653 5034.722460112884 -18.54415071330791 0.003030331921014732 -443.6120920971148 0.10630796209877424 -74.86417468869907
171978648.02253285,3,2,2,1.0,914880.3856524038 5032.979073296071 -18.509578619267725 0.0028467836726825267 -443.5330478507259 0.1062883100865228 210.8612549803593 -18.952434631172743
171981175.68750817,3,2,3,1.0,914793.6020953786 5033.060691625277 -18.512052698353514 0.0028670982337243214 -443.53041269777486 0.10628780368127555 266.8780883210437 -27.898829908547157 0.3955394698618925
6930488.574924317,3,3,1,1.0,48199.389413676225 5006.147061443405 -17.633617203392227 -0.0025545298398448974 942.0097998064593 -0.5976265863472201 0.00011443549206463537 -135.43301064298174
6931606.143520548,3,3,2,1.0,47800.23242786317 5005.105888822084 -17.61300721343644 -0.0026638706987382296 941.908452662872 -0.5975628174602978 0.0001144232118836426 35.7148877027209 -11.35196882648322
6941260.51534768,3,3,3,1.0,47581.0944638456 5005.304938407466 -17.61904052969505 -0.0026143159240995966 941.926461226901 -0.5975699341426298 0.00011442416781604155 172.48627661345924 -33.19576771046387 0.9657643640855982
