loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas,diverge
213511070010,1,1,2,0.6,-217.70850487328536 -9069.669384354744 -473024.1305937827 -1626.587951505593 -15597.081742461098,False
212387975250,1,1,1,1.0,-214.82036104907235 -9015.681137381123 -468184.14617094904 -1619.616183088072,False
212404991362,1,1,3,1.0,-563.3336336665083 -23411.7671972791 -1210160.6072157808 -4575.926151772928 -46585.561145398984 -524108.8466274707,False
10177437208821,2,1,2,0.4,-124748.580488317 -7142719.722354009 -474950370.6478597 -259502976.74491128 -931443.9497894121 -8982451.194586828,False
213393303339,1,1,1,0.2,-213.33364084289104 -8802.725490924993 -463262.20506495866 -1612.9071913067232,False
211659536730,1,1,3,0.2,-552.0029175104636 -22951.212730008658 -1184635.6349070463 -4506.790499601685 -45984.47922343637 -517930.18566587206,False
12838327182545,2,1,1,1.0,-125265.86294109399 -7213337.968005234 -478267581.6517326 -261086855.96360093 -939603.3512761262,False
214247429358,1,1,1,0.0,-212.886136746671 -8853.131642821962 -460232.29274923913 -1605.0808409271142,False
13847983649402,2,1,3,0.4,-159258.42721196957 -9015504.394793836 -595702480.4919566 -330212568.68622476 -1213860.231787492 -11882638.23701069 -130249820.42593646,False
11469651808704,2,1,2,0.8,-132268.6563585495 -7605164.247075024 -505198401.94129425 -274992148.9193756 -985528.0320896882 -9548482.460044079,False
210932487799,1,1,2,0.0,-212.8427547170229 -9000.552561478577 -464018.32315440546 -1587.4592663656204 -15265.552013924724,False
210368297116,1,1,2,0.4,-219.05251048880302 -9129.892856589926 -478922.9999785746 -1674.1738123853365 -16315.12722010763,False
14566380437755,2,1,3,0.6,-164309.34156692465 -9247018.182975087 -608586646.0751523 -341481985.32543254 -1275554.8510792097 -12602986.944521045 -138951336.81938016,False
211247483861,1,1,1,0.4,-217.94814157128332 -9093.501143457588 -471880.9785547305 -1640.3009129675272,False
11350692389834,2,1,2,0.6,-132442.9729126983 -7574612.877756653 -501808945.72916096 -274773116.70095813 -985003.9614304403 -9479829.836275384,False
14593348042196,2,1,1,0.2,-133499.20369845114 -7684048.996762763 -511429876.50181687 -276907212.624407 -1003642.9296552418,False
14633658115723,2,1,3,0.8,-163722.20287978448 -9269968.974159645 -612031669.0345424 -339598116.52131385 -1264682.2137765375 -12434968.055958886 -136436657.55661082,False
214133973627,1,1,3,0.0,-566.0621376716945 -23729.38096492944 -1222263.582342343 -4537.668462466749 -45847.23617096004 -513388.66493181523,False
11776246694864,2,1,2,1.0,-134408.22209379 -7700480.936714199 -511664016.9803278 -279451740.30044425 -1007389.2090108217 -9724247.812294295,False
212040621801,1,1,3,0.4,-556.5706112133946 -23173.46416676227 -1194251.031881155 -4533.012694514375 -46173.57798952591 -520140.5170174069,False
211828580996,1,1,2,0.2,-215.8149332404548 -9044.479881816102 -468976.5885976866 -1638.1471149699087 -15915.772700488142,False
14069932908949,2,1,1,0.8,-131437.2428999391 -7558238.081745881 -501278184.53519994 -273104100.7634178 -982715.2511907017,False
14577866681665,2,1,3,1.0,-164134.0412398973 -9253485.263299145 -609181056.1001918 -340905332.10292834 -1268527.6670122766 -12546139.46540747 -138615315.74329674,False
15125081840460,2,1,3,0.2,-165636.80118883747 -9424133.849997703 -623450792.1335012 -344347525.02082163 -1264498.7590820347 -12409417.090969274 -136397781.14847857,False
15251468560327,2,1,1,0.4,-135602.95293981992 -7853471.957834655 -523686842.2462543 -281890748.8938099 -1013967.2238823003,False
211265089882,1,1,2,1.0,-212.71813010511406 -8650.243870990913 -464289.5097068206 -1615.5807729594408 -15699.850244515612,False
213183026581,1,1,3,0.8,-573.820445829432 -23815.127596592956 -1237588.4483005109 -4623.779777824267 -46842.630878285585 -525576.7031092833,False
211800604235,1,1,1,0.6,-213.16293640117084 -8849.989637150195 -461096.4166231305 -1599.1763134625232,False
11347145945734,2,1,2,0.2,-131317.7075983519 -7544519.424561639 -501495353.9248027 -275122052.559767 -983537.1842118925 -9484096.690421218,False
13031515364160,2,1,1,0.0,-127017.11583319987 -7262304.153112254 -481220286.50429714 -264431695.25208285 -942766.4772113913,False
12937163488834,2,1,3,0.0,-155716.99537819577 -8715550.939015577 -572016157.6988058 -323668417.13631845 -1203055.1316908328 -11817642.178497672 -129641045.16873278,False
209548807613,1,1,1,0.8,-212.85573499098905 -8903.180837657907 -461019.8252558051 -1599.1091695342543,False
212184193234,1,1,2,0.8,-217.6600122486629 -8927.901084887219 -471938.8347524817 -1651.1526856698435 -16092.445310229332,False
280561404068161023102681088,1,1,4,0.2,-129365844125.589 -5419804287344.541 -265013745191340.2 -1550879908795.076 -19207622977392.188 -243081198426269.03 -3125457545555302.5,False
13413502588220,2,1,1,0.6,-128438.87572923923 -7369687.803917492 -489088893.4480852 -266902758.0878591 -962424.1513152097,False
306578313752499595836915712,2,1,4,0.0,-146890276535.16678 -6126648649707.821 -353875189656548.2 -300456561388363.56 -1748589565223.213 -21611528230843.78 -273246377325833.2 -3511138044089663.5,False
274666025266528770381053952,2,1,4,1.0,-140628514843.34714 -5983559243258.844 -348636205977181.25 -286555955042857.1 -1667566720972.0627 -20546233016796.54 -259093726176143.56 -3321746798009538.5,False
10235255422129,2,1,2,0.0,-126144.55746117607 -7198547.927622724 -475781016.9412219 -261001196.59863445 -951483.5351742775 -9227582.31149775,False
292485076622479230486183936,1,1,4,0.8,-132588392434.38762 -5486048651230.9 -268829957640989.94 -1589826452852.0073 -19673651462765.8 -248631519075202.4 -3191295449813183.5,False
212163680557,1,1,3,0.6,-567.7280132920059 -23438.31854522786 -1221392.969199142 -4565.659830994602 -46232.511895166754 -519065.3201586942,False
