loss,weight_order,prod_distance_order,time_delivery_order,lambda
9062862048,1,2,1,0.6,618162.8875071598 90995.82554421059 -4900.96589083819 25728.803034516906 -949.8216307102072
9062862046,1,2,1,0.8,618162.8876103776 90995.8255438343 -4900.965890714808 25728.802972099482 -949.8216295570288
9062862048,1,2,1,1.0,618162.8875233281 90995.82554415097 -4900.9658908192205 25728.80302473976 -949.8216305283299
9088756234,1,2,2,0.0,614702.8634539929 91007.37207469948 -4898.511252228801 26694.899220615516 -966.9718557654005 1671.949908181393
9088756240,1,2,2,0.2,614702.8627963578 91007.37207696277 -4898.511251874997 26694.899421500148 -966.9718593406174 1671.9501984232343
9088756253,1,2,2,0.4,614702.8613267244 91007.37208202087 -4898.511251081924 26694.899870418107 -966.9718673307839 1671.9508470380244
9088756259,1,2,2,0.6,614702.8605832089 91007.3720845785 -4898.511250681924 26694.90009753926 -966.97187137312 1671.9511751793912
9088756245,1,2,2,0.8,614702.8622052103 91007.37207899682 -4898.511251556472 26694.899602077166 -966.9718625544699 1671.9504593192075
9088756233,1,2,2,1.0,614702.8635822036 91007.3720742592 -4898.511252297911 26694.89918145087 -966.9718550678174 1671.9498515971934
9089153548,1,2,3,0.0,614670.1533066815 91003.048927948 -4895.05560755678 26713.153743220195 -2471.7033266595795 1674.9970903036779 769.8477628367845
9089153530,1,2,3,0.2,614670.1549166775 91003.04896323594 -4895.055646365577 26713.1531704953 -2471.688575877587 1674.9964970855247 769.8406014912747
9089153529,1,2,3,0.4,614670.154251576 91003.04903590116 -4895.0557115921765 26713.153233997396 -2471.663141374893 1674.9969932559502 769.8282526649396
9089153559,1,2,3,0.6,614670.1518648987 91003.04894908624 -4895.055621924174 26713.154151475028 -2471.6974774138826 1674.9977733318372 769.8449226983739
9089153570,1,2,3,0.8,614670.1516598666 91003.04886126639 -4895.0555393698105 26713.154389733667 -2471.7294691087454 1674.9976090443563 769.8604549415882
9089153551,1,2,3,1.0,614670.1530505618 91003.04892361998 -4895.055602580934 26713.153831780426 -2471.705208673936 1674.9971883722314 769.8486765248795
9274979069,1,2,4,0.0,589385.6527463646 91104.71340006347 -5133.126494966396 27006.297160955663 -1465.5125296970064 73335.08217915584 362.8769319411406 -26383.686676914924
9274979482,1,2,4,0.2,589385.6208445082 91104.71345206026 -5133.126685233017 27006.298835891947 -1465.538180418496 73335.16247985318 362.8894742087047 -26383.71560503394
9274978657,1,2,4,0.4,589385.68385629 91104.71319162348 -5133.126147997622 27006.29629041196 -1465.5442608757394 73334.99971871359 362.8922460570064 -26383.656850579464
9274978900,1,2,4,0.6,589385.6651693942 91104.71323549114 -5133.126273648059 27006.297185300224 -1465.554478727687 73335.04723920044 362.8972594369299 -26383.673985883936
9274979654,1,2,4,0.8,589385.608064151 91104.71358291224 -5133.12687362754 27006.298993947534 -1465.5088611634712 73335.19742978073 362.8752784523686 -26383.728274150453
9274978402,1,2,4,1.0,589385.7036117018 91104.71316938016 -5133.126039515954 27006.295243056058 -1465.5247647673143 73334.9500224745 362.8827256770699 -26383.63894463397
9140767323,1,3,1,0.0,618607.205256643 90962.00322097415 -30578.899519820738 25218.222316981195 12772.560759292232 -706.0650536963051
9140767248,1,3,1,0.2,618607.2049833303 90962.00322445593 -30578.88582018405 25218.222617303778 12772.55498700941 -706.065196401789
9140767330,1,3,1,0.4,618607.2052877712 90962.00322061728 -30578.900859404403 25218.222284952677 12772.561323740902 -706.0650396936237
9140767147,1,3,1,0.6,618607.2044925657 90962.00322965143 -30578.86710944512 25218.223098518265 12772.547102763452 -706.0653926111344
9140767453,1,3,1,0.8,618607.2058243895 90962.00321454092 -30578.92351363005 25218.221737135795 12772.57086940242 -706.0648027715439
9140767190,1,3,1,1.0,618607.2046454154 90962.0032276641 -30578.87499146636 25218.222928389583 12772.550423798253 -706.0653105552901
9166270047,1,3,2,0.0,615093.7770132679 90973.76224722265 -30409.006060976655 26188.56110031363 12695.67389862275 -724.8817270983171 1719.5953245644655
9166270115,1,3,2,0.2,615093.7782047876 90973.762240633 -30409.019950517424 26188.560515325596 12695.679752581858 -724.8815774224512 1719.5949188256907
9166269995,1,3,2,0.4,615093.7753347694 90973.76225516443 -30408.994120641084 26188.56180302074 12695.668864996625 -724.8818593008514 1719.595962088282
9166270090,1,3,2,0.6,615093.7776379486 90973.76224355685 -30409.014545291764 26188.560774479767 12695.677474279455 -724.8816362257528 1719.5951222512206
9166270032,1,3,2,0.8,615093.7785846312 90973.76224179605 -30409.00582747856 26188.560624085185 12695.67380310451 -724.8817210223445 1719.5946290230715
9166270088,1,3,2,1.0,615093.7777242617 90973.76224329497 -30409.01432101277 26188.560751692607 12695.677379945491 -724.8816380731201 1719.59508221065
9166592493,1,3,3,0.0,615059.9256322101 90969.2712418712 -30400.940770493067 26207.557538708104 12693.261391472395 -2289.409737512781 1722.6647383318 800.9471355974842
9166592648,1,3,3,0.2,615059.9276045354 90969.27120235871 -30400.97098082253 26207.556509780967 12693.274128587835 -2289.419388811331 1722.6640495568392 800.9519538353626
