loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
88373556,1,1,1,0.0,1 0.0006877059804631931 0.020728651495071918 0.002580741290108821
88373556,1,1,1,0.2,1 0.0006877059863630778 0.02072864964148891 0.0025807413222843755
88373557,1,1,1,0.4,1 0.0006877059922629526 0.020728647787906423 0.0025807413544599264
88373557,1,1,1,0.6,1 0.0006877059981628374 0.020728645934324202 0.002580741386635468
88373557,1,1,1,0.8,1 0.0006877060040627156 0.020728644080742313 0.0025807414188110047
88373557,1,1,1,1.0,1 0.0006877060099625965 0.020728642227160848 0.002580741450986534
66935186,1,1,2,0.0,1 0.00011657712765745717 0.0025921742417350877 0.007150769797300914 -1.6881142140402066e-06
66935186,1,1,2,0.2,1 0.00011657712846771485 0.0025921740120266688 0.007150769802938264 -1.6881142148387592e-06
66935186,1,1,2,0.4,1 0.00011657712927807748 0.002592173782314966 0.00715076980857572 -1.6881142156373487e-06
66935186,1,1,2,0.6,1 0.00011657713008846396 0.0025921735526014517 0.007150769814213209 -1.6881142164359339e-06
66935186,1,1,2,0.8,1 0.00011657713089879927 0.002592173322892713 0.00715076981985056 -1.6881142172345066e-06
66935186,1,1,2,1.0,1 0.00011657713170920483 0.002592173093179776 0.007150769825487994 -1.6881142180330723e-06
65026724,1,1,3,0.0,1 4.914843879579847e-05 0.0007525181338069823 0.011331628016854216 -5.60118898987091e-06 8.917961156868505e-10
65026724,1,1,3,0.2,1 4.914844138030313e-05 0.0007525181415852049 0.011331627938679104 -5.601188919695455e-06 8.917961001753739e-10
65026724,1,1,3,0.4,1 4.914844402702581e-05 0.0007525181473280295 0.0113316278605036 -5.601188849519759e-06 8.917960846638149e-10
65026724,1,1,3,0.6,1 4.9148446703304715e-05 0.0007525181519779545 0.011331627782323318 -5.601188779342279e-06 8.917960691520242e-10
65026724,1,1,3,0.8,1 4.914844943437573e-05 0.0007525181547181645 0.01133162770414811 -5.601188709167405e-06 8.917960536405969e-10
65026724,1,1,3,1.0,1 4.914845201576439e-05 0.0007525181627012508 0.011331627625970888 -5.601188638990137e-06 8.917960381288104e-10
62734027,1,1,4,0.0,1 4.317640058058283e-05 0.0005658340818124122 0.018462059291513015 -1.6505219367621506e-05 6.228942682773991e-09 -8.609665441264509e-13
62734027,1,1,4,0.2,1 4.3176418121204565e-05 0.0005658338080772912 0.01846205736662897 -1.650521650973166e-05 6.228941315448326e-09 -8.609663329658222e-13
62734027,1,1,4,0.4,1 4.317642235339078e-05 0.0005658339812764795 0.01846205544218981 -1.650521365178264e-05 6.228939948069076e-09 -8.609661217992111e-13
62734027,1,1,4,0.6,1 4.317642677544335e-05 0.0005658341633094275 0.018462053517699906 -1.6505210794073394e-05 6.228938580772674e-09 -8.609659106418889e-13
62734027,1,1,4,0.8,1 4.317643489342186e-05 0.0005658342030993707 0.018462051593000843 -1.6505207936151467e-05 6.228937213421974e-09 -8.609656994710298e-13
62734027,1,1,4,1.0,1 4.31764387514807e-05 0.0005658343945180854 0.01846204966833628 -1.6505205078283025e-05 6.228935846107006e-09 -8.609654883097841e-13
85150707,1,2,1,0.0,1 0.0006118950391713037 0.08278956622981312 -0.0007710914774808112 0.0022943097681868423
85150711,1,2,1,0.2,1 0.0006118951751032053 0.08278946663794588 -0.0007710903322215761 0.002294310322652721
85150715,1,2,1,0.4,1 0.0006118953110348158 0.08278936704631576 -0.0007710891869650695 0.002294310877117272
85150719,1,2,1,0.6,1 0.0006118954469660773 0.08278926745492798 -0.0007710880417113476 0.00229431143158048
85150723,1,2,1,0.8,1 0.0006118955828971354 0.08278916786377619 -0.0007710868964603611 0.0022943119860423552
85150728,1,2,1,1.0,1 0.0006118957188277433 0.08278906827286521 -0.000771085751212121 0.002294312540502907
66949663,1,2,2,0.0,1 0.0001168828387605363 0.00040238579445330165 2.6307692658019324e-05 0.007178792234315887 -1.6948555904618258e-06
66949663,1,2,2,0.2,1 0.00011688283976313491 0.0004023853647513124 2.630769770418039e-05 0.007178792235927177 -1.6948555903439527e-06
66949663,1,2,2,0.4,1 0.00011688284076556569 0.0004023849350598997 2.6307702750243188e-05 0.007178792237538632 -1.6948555902261319e-06
66949663,1,2,2,0.6,1 0.00011688284176797304 0.000402384505344874 2.6307707796596822e-05 0.007178792239150058 -1.6948555901082715e-06
66949663,1,2,2,0.8,1 0.00011688284277044459 0.00040238407565015323 2.6307712842711743e-05 0.007178792240761397 -1.6948555899904096e-06
66949663,1,2,2,1.0,1 0.00011688284377293261 0.0004023836459584422 2.6307717888800263e-05 0.007178792242372632 -1.6948555898725153e-06
65040728,1,2,3,0.0,1 4.9534860000000416e-05 -0.005719079960812054 7.757968537582334e-05 0.011446202768500745 -5.650961618983772e-06 8.986087212884389e-10
65040728,1,2,3,0.2,1 4.953486292206058e-05 -0.005719071202187114 7.757958833379962e-05 0.011446202499601049 -5.6509614616759895e-06 8.986086930771552e-10
65040729,1,2,3,0.4,1 4.9534865786713105e-05 -0.0057190624400809305 7.757949125970521e-05 0.01144620223071491 -5.650961304373048e-06 8.986086648665511e-10
65040729,1,2,3,0.6,1 4.953486868706884e-05 -0.005719053679923752 7.757939420095458e-05 0.01144620196182283 -5.650961147068414e-06 8.986086366557118e-10
65040729,1,2,3,0.8,1 4.9534871580605815e-05 -0.005719044921014057 7.757929716881123e-05 0.011446201692929824 -5.650960989764103e-06 8.986086084450018e-10
65040729,1,2,3,1.0,1 4.953487451697398e-05 -0.005719036164032787 7.757920014766804e-05 0.011446201424024995 -5.650960832454139e-06 8.986085802332925e-10
62754217,1,2,4,0.0,1 4.356155648994886e-05 -0.006822134162393098 8.854392591046533e-05 0.018659552036141162 -1.666406424302305e-05 6.286662156695178e-09 -8.688272370423138e-13
62754217,1,2,4,0.2,1 4.356156405193375e-05 -0.006822123230217485 8.854380473045055e-05 0.01865954975033976 -1.6664061082553127e-05 6.286660677750311e-09 -8.688270107429245e-13
62754217,1,2,4,0.4,1 4.3561569454431646e-05 -0.006822112394957087 8.854368603789036e-05 0.01865954746569958 -1.6664057922419595e-05 6.2866591988139024e-09 -8.68826784437866e-13
62754217,1,2,4,0.6,1 4.356157578797124e-05 -0.00682210149296109 8.854356564088764e-05 0.018659545180977788 -1.6664054762139896e-05 6.28665771981052e-09 -8.688265581237187e-13
62754216,1,2,4,0.8,1 4.356157895707294e-05 -0.006822090535250795 8.854344669467558e-05 0.018659542895398576 -1.666405160190008e-05 6.286656240954943e-09 -8.688263318391097e-13
