loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
209092557848,1,1,1,0,0.6191667858727926 0.6726353269409945 0.517621721373559 0.6618905109256971
208804358120,1,1,1,0.2,0.6925090546033336 0.7103639301933917 0.7360916737806046 0.9050923193046548
209491281251,1,1,1,0.4,0.523522916037617 0.4881340161686814 0.21762747212889758 0.49513019569102423
209219849699,1,1,1,0.6,0.5798810149085875 0.31051391938400785 0.42693825262631185 0.8471916863071094
208601382957,1,1,1,0.8,0.7209435167134737 0.7513371967396212 0.8904219698266367 0.9034039936030587
208889849574,1,1,1,1,0.6444048342500859 0.5186352646014732 0.6748630657602991 0.8304995243685489
209177074777,1,1,2,0,0.7431211428915446 0.8077732372320227 0.4197046949959226 0.6271409432283589 0.8596312484310519
209620195594,1,1,2,0.2,0.6926241033087248 1.0171538010777859 0.09856474221054765 1.0288206619395384 0.22942042896298015
209125654526,1,1,2,0.4,0.6811171915044577 0.9934028476960785 0.47680508504632363 0.5596677616729387 0.2665409261400739
209030694613,1,1,2,0.6,0.5672428132730954 0.3725978980748308 0.5587942984552604 0.21544219923428892 0.38220322181141153
209263065193,1,1,2,0.8,0.5296562040279987 0.32320623602848486 0.3881820503306836 0.3591413518236088 0.20521856346228276
209070120312,1,1,2,1,0.7050142548358966 0.5195229683465856 0.5141365786804756 0.7763147187889554 0.6474803768561598
209133232317,1,1,3,0,0.6837415854939914 0.5915810430600277 0.3439097941270649 0.1055202525614681 1.0109972188224252 0.2838258637968144
209098044436,1,1,3,0.2,0.8350188175036376 0.6297049642254652 0.09107999035076164 0.9269733378017282 0.6701278635033758 1.0269842875653854
209434330315,1,1,3,0.4,0.6451646178160316 0.2557682936827031 0.15910834831384268 0.6789412124861579 0.7842688242400645 0.20043474979499742
208271978891,1,1,3,0.6,0.8384527718906292 0.27205731997591315 0.7462932627338337 0.5577587241596015 0.8180017445938987 0.9736642573280389
208724393401,1,1,3,0.8,0.7362670868229808 0.43152909012876034 0.5479898688812161 0.14262960328666302 0.9915037503329316 0.5725329029260974
208027569434,1,1,3,1,0.807552593826058 0.42203773759632107 0.9280992780013165 0.39069700353648684 0.4011116111046029 1.0197219913249673
205124408996,1,1,4,0,0.7488374315112594 0.6843161794982061 0.15086500904784728 0.6772224313539492 0.4507773306046421 0.06378768809217221 0.7599130375299189
204012987271,1,1,4,0.2,0.8945243834518518 0.4858784818166785 0.4408765019459332 0.7750876056497371 0.7031414867215913 0.49305357479003437 0.8508198715314914
203279771642,1,1,4,0.4,0.8863995255106785 0.8912079860583578 0.5442526891800036 0.4568255600613647 0.3108111647760475 0.5375116814789122 0.9545997311476139
205838999266,1,1,4,0.6,0.7811565269051142 0.42484810318319755 0.6358384858965811 0.695110524853127 0.09817338503893729 0.6700052146116575 0.47631003624399765
205802417200,1,1,4,0.8,0.9092473073304244 0.9421550519492788 0.9333238689209016 0.3397198230158595 0.5669456013889708 0.6527929941029605 0.4111361433503518
205670219186,1,1,4,1,0.9156080259889352 0.5516934810527914 0.5758409063397641 0.896509518037867 0.7740381618326603 0.5680195269638184 0.5219719279259842
834730421156,1,2,1,0,0.6794588169682955 1.0003423437757883 0.6406505208330666 0.376843566654409 0.26740544507861064
426262747111,1,2,1,0.2,0.7118269286995077 0.5357452998256131 0.8657271642263586 0.29858148089340336 0.8033106635153499
7898065174675,1,2,1,0.4,0.7391684548747665 1.0521568794710336 0.11395684894016245 0.9304938089102273 0.5910081353208639
1700318752089,1,2,1,0.6,0.5896527253498443 0.340420977552385 0.2046750197676323 0.491980317491176 0.6429786532793312
9553075687801,1,2,1,0.8,0.6803878470631151 0.07397897633938622 0.38832848501486916 1.011758721895156 0.8174376842238851
42287116518,1,2,1,1,0.69979091118109 1.0203950389985463 0.5803672705243162 0.106178688194966 0.7153146126759546
51830072925,1,2,2,0,0.7530329758705915 0.9997419667917883 0.7176234727193135 0.08778609167762001 0.5002982113044869 0.492565972396233
574432244739,1,2,2,0.2,0.7516185224713089 0.8609289239481612 0.9477924057349807 0.3302662375612834 0.3778318649319578 0.2717622619774641
61150944521,1,2,2,0.4,0.672863579194833 0.7254593339859223 0.6153936754959978 0.16059401011567295 0.3810430639486161 0.3807868143575726
834664752758,1,2,2,0.6,0.6255012491984486 0.24199494975953834 0.7243886510088184 0.37680036003441825 0.29975300470798577 0.30442829768628327
5352120811224,1,2,2,0.8,0.8485118787104152 0.9191042888056382 0.7865276677476214 0.7859235687791644 0.16653825527328248 0.7767786250465238
1301941760163,1,2,2,1,0.7155034743612221 0.9709482020564636 0.27600485526230883 0.4441252540234338 0.6439727770623372 0.2126393881635162
1037400456722,1,2,3,0,0.7085712319558519 0.6209942355881432 0.16369300517446492 0.4080243939690743 0.7734480178859078 0.1261412078903328 0.42870256932361767
43224230130,1,2,3,0.2,0.6271636713946258 0.1548903819145249 0.875186452651186 0.10304345425421867 0.36161389740215494 0.09935356175002884 0.3893781129876292
5585864983313,1,2,3,0.4,0.8740963637941899 0.5996483987066429 0.8455619222838148 0.8003245007733447 0.15867271201625952 0.4951721166816171 0.7145927239345085
2570702551289,1,2,3,0.6,0.8149571362945071 0.6141050969162903 0.2674525269683157 0.5793618421856466 0.2726816851714847 0.835299250441857 0.654573150004893
