loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
9464814599.02376,1,1,1,1.0,643200.6183502211 799.2184853053386 -0.00042428467623262966 -3254.60209521778
9466439272.925568,1,1,2,1.0,627833.5195538913 799.1631204086 -0.0004233987360227495 -2584.8920682552134 -45324.471663799806
9476320330.422688,1,1,3,1.0,639648.3943640994 798.9475054529901 -0.00041935561455143687 5.846933156161233 -2188.2206821415193 -16501.691593175794
9464814599.023521,1,2,1,1.0,643200.4839510315 799.2184853053408 -0.0004242846762279027 -0.3261288451570735 -3254.602095216451
9466439272.925331,1,2,2,1.0,627833.3866241816 799.1631204086018 -0.0004233987360180742 -0.3225630682461744 -2584.8920682542002 -45324.47166377925
9476320330.422453,1,2,3,1.0,639648.268132403 798.947505452992 -0.0004193556145469991 -0.30630986526478404 5.8469331558785544 -2188.220682142736 -16501.691593167863
9464812753.41948,1,3,1,1.0,644594.2083861794 799.2184098096654 -0.00042444148634305476 -0.32678949129800205 3387.79760304886 -3254.6460001174933
9466437485.137579,1,3,2,1.0,629231.4569782037 799.1630438398342 -0.0004235560476657097 -0.32322582984496356 3398.918246826392 -2584.926134527976 -45325.14727373846
9476318917.27283,1,3,3,1.0,641067.3526591026 798.9474241109801 -0.0004195152001901039 -0.3069822204714429 3449.522831151833 5.8560153584763555 -2188.179476448146 -16501.969657612804
9461945298.061628,2,1,1,1.0,663485.6522183298 799.0768428521952 64420.64120834481 -0.0004242828024583905 -3254.0448398622075
9463569600.037113,2,1,2,1.0,648118.9805489095 799.0214983834771 64414.97420500008 -0.00042339698991458063 -2584.4312441099423 -45317.94873353225
9473448386.03264,2,1,3,1.0,659925.5334616359 798.8059592553061 64393.54469118203 -0.0004193544074337371 5.962603555053815 -2187.444238712905 -16499.49411560106
9461945298.061392,2,2,1,1.0,663485.5178187432 799.076842852197 64420.641208344816 -0.0004242828024536631 -0.326129808294329 -3254.044839860873
9463569600.036877,2,2,2,1.0,648118.8476185915 799.021498383479 64414.974205000086 -0.0004233969899099053 -0.3225645444721241 -2584.4312441089255 -45317.94873351171
9473448386.032406,2,2,3,1.0,659925.4072284396 798.8059592553079 64393.544691182055 -0.0004193544074292993 -0.3063135053867641 5.9626035547750424 -2187.444238714109 -16499.494115593137
9461943452.433746,2,3,1,1.0,664879.2324789405 799.0767673596729 64420.6400066593 -0.0004244396115116285 -0.32679044998113077 3387.774762349915 -3254.0887444763034
9463567812.218073,2,3,2,1.0,649516.9075138426 799.0214218180981 64414.972914886166 -0.00042355430042646406 -0.3232273013054549 3398.8938077175353 -2584.465310146988 -45318.624338743735
9473446972.803743,2,3,3,1.0,661344.4784063397 798.8058779177029 64393.543020716344 -0.0004195139916304271 -0.306985854517959 3449.4916614286226 5.97168567229928 -2187.403033412024 -16499.7721775825
4399427598.121998,3,1,1,1.0,1279711.6455958677 444.2635531610921 31284.940216813804 2106672.935700705 -0.0004113885572087425 -1691.7698046611101
4399957603.149634,3,1,2,1.0,1270295.4439794668 444.25079995486345 31283.444967573814 2106548.080423748 -0.0004108486292907892 -1283.1361989573259 -27661.67373441375
4403735731.222013,3,1,3,1.0,1277737.7381391414 444.1952532972837 31277.421663177178 2106055.390088228 -0.0004082534852778809 381.34862607975657 53.223782044264254 -10603.862142972312
4399427598.1217785,3,2,1,1.0,1279711.5256821262 444.2635531610941 31284.940216813848 2106672.9357007025 -0.00041138855720452465 -0.2909789102775174 -1691.769804659924
4399957603.149419,3,2,2,1.0,1270295.3249616972 444.25079995486544 31283.44496757385 2106548.080423746 -0.0004108486292866032 -0.28880478815337535 -1283.1361989564202 -27661.673734395372
4403735731.221797,3,2,3,1.0,1277737.6234222094 444.1952532972858 31277.42166317722 2106055.390088226 -0.00040825348527384793 -0.2783684985023216 381.3486260794968 53.22378204315794 -10603.862142965114
4399425866.614008,3,3,1,1.0,1281135.8591363875 444.2634670278102 31284.938149818412 2106672.9890370425 -0.00041154880915001313 -0.29165405744740863 3462.1635353215606 -1691.8146337797134
4399955906.119758,3,3,2,1.0,1271722.2142104567 444.2507133351323 31283.44285927936 2106548.13075418 -0.00041100918172640974 -0.2894812038230455 3468.94616096007 -1283.1709360160476 -27662.362842229886
4403734271.816295,3,3,3,1.0,1279178.0798377271 444.1951643880043 31277.419374862766 2106055.4277808582 -0.0004084154729481999 -0.27905097411776797 3501.448221778439 381.3578517110968 53.26564808513583 -10604.144287634026
