loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas,diverge
6712950823371478995689713332098433024,1,2,1,0.0,-74723163606794.6 -3098881284693016.5 -1.6885301203357885e+17 -3.973519533668334e+20 -562378003486457.0,False
39315282835921575303433716658426704849871694745600028227230271360812442612564022849899708960649889235316931035890974720,2,4,4,1.0,-1.1807219099353921e+48 -4.93090630004871e+49 -2.8433564804199374e+51 -2.881419193270556e+51 -7.217727266329318e+54 -1.8467565238577393e+58 -4.8080539615328473e+61 -8.87123797956389e+48 -8.561698092854488e+49 -9.267150648789603e+50 -1.0686320482565125e+52,False
210077081587,1,1,2,0.0,6.668965780490055 241.60459182015117 11983.055000067861 42.62994764108413 405.430778841411,False
214793067786,1,1,2,0.8,6.723733030924862 243.43944118688597 12104.256044182588 43.755161332887226 421.1343017714007,False
2475787976964,1,1,4,1.0,11768.46048121167 488009.959566463 24062346.50001484 140556.5740883032 1735170.035359747 21898235.806751266 280893972.683138,False
55134893619226281386089085724801005470768641939121923001281718901226743676272640,4,3,1,0.8,-1.1142882503935808e+32 -4.6207310439995084e+33 -2.66367540197178e+35 -1.7253114166002763e+37 -1.1908948624040017e+39 -2.63455917545814e+35 -6.430150510026821e+38 -1.6104482493553355e+42 -8.35719205858513e+32,False
384381290642042603808223704441089952816562176,4,1,4,0.6,-1.4873779447614266e+17 -1.0666381176602348e+19 -7.861291295067628e+20 -5.909893380344567e+22 -4.5097630486537796e+24 -3.043034610147933e+20 -1.1010045329428449e+18 -1.0565028044356073e+19 -1.1421181790859701e+20 -1.318304445449698e+21,False
76492672336476868518598296758302430673764352,4,1,2,1.0,-5.886469579702322e+16 -4.212386982168814e+18 -3.099871047057289e+20 -2.327552784269393e+22 -1.7742312512200599e+24 -1.1932187784877513e+20 -4.5141375960016864e+17 -4.412448863320872e+18,False
4391166165535736098699315971706323936523480010728076705060021611095139873512044072112898702824964956054796072681419571200,4,4,4,0.6,-1.3642509643762804e+49 -5.729052507763513e+50 -3.3247127246675975e+52 -2.163825808941898e+54 -1.498354018148299e+56 -3.331278701610275e+52 -8.34887011552746e+55 -2.13713828791755e+59 -5.566333074534541e+62 -1.0342859234324655e+50 -1.0079892482530558e+51 -1.1024902065202501e+52 -1.2845299040922737e+53,False
5735591611950098640405853661387439472640,1,2,1,0.4,-2168769613710261.0 -8.988234092433834e+16 -4.919554176768615e+18 -1.1614692871647844e+22 -1.6338050630953364e+16,False
89715721245850119240947454154901985228957957410484315607112119434616418991079424,1,3,3,0.8,-1.3234208196140067e+32 -5.452354198433141e+33 -3.132980208263969e+35 -7.659205363828077e+38 -1.9216395343156358e+42 -9.879678198345182e+32 -9.519146489004095e+33 -1.0320915784555797e+35,False
209729032040,1,1,1,0.2,6.689854006456727 241.4508567802078 12070.461112257653 43.24570151502334,False
102053543978949356662147517927292215070624386060939583284936388821048473786777600,2,3,1,0.4,-1.3130550894624895e+32 -5.413866600841084e+33 -3.100797062690635e+35 -3.1023667367196763e+35 -7.571979544328817e+38 -1.8974847715405778e+42 -9.783060077469044e+32,False
21166817379852606424303187770884084274950163210901342477992411353621465455919104,2,3,3,1.0,-6.875842487748114e+31 -2.92451715948844e+33 -1.704830991919616e+35 -1.6268297636704394e+35 -3.976496923758185e+38 -9.978411353632052e+41 -5.142907626216255e+32 -4.9646843686342915e+33 -5.388701817862991e+34,False
239960808394282755795278387812987814288251150512042137173244171095377043989200896,1,3,1,0.2,-1.827978378439348e+32 -7.638605851586219e+33 -4.326351981314129e+35 -1.0579085946490587e+39 -2.65609612921316e+42 -1.3660548573836164e+33,False
211298306630,1,1,1,0.4,6.824059425220883 247.64120753264677 12341.157389742191 44.12414871193872,False
208684193777,1,1,1,0.0,6.7119409787004685 246.52832156538568 12040.607248222786 43.50164607085473,False
