loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas,diverge
212172635334,1,1,1,1.0,-17.176049979223478 -746.2618723330222 -39629.8313126009 -136.4200719821415,False
212944952022,1,1,3,1.0,-31.84475923539668 -1348.155159893511 -70916.60201873937 -264.2149202175318 -2682.6362891131803 -30096.092070540843,False
211662919404,1,1,3,0.2,-31.816627887405044 -1340.9787576025383 -70771.73772727608 -263.7793980408608 -2678.4380334681773 -30044.53133076099,False
210906482779,1,1,1,0.0,-17.21562494911269 -748.4974172074886 -39723.859620523726 -136.70803287448337,False
212607819704,1,1,2,0.0,-17.099398212128385 -734.2282309807299 -39304.23791805084 -134.49661177314792 -1297.7056592976899,False
210347772145,2,1,2,0.4,-835.2404561269913 -47941.5337132208 -3181518.3751693564 -1740097.6226297913 -6253.954566087269 -60399.1405370263,False
210790268962,2,1,1,1.0,-829.7579937489498 -47333.12831610521 -3124454.6756823347 -1724574.2538100888 -6235.335559096218,False
212726221958,1,1,1,0.2,-17.28391206295915 -749.0169918528526 -39809.88804243462 -135.745414711218,False
211578947957,2,1,3,0.4,-962.0698122036544 -54185.57830335642 -3564473.1128446856 -2008792.4709216924 -7397.095141749766 -72844.63220825157 -802346.1947956838,False
212736553283,1,1,2,0.4,-17.41847991996383 -765.2950194315323 -40199.4095870568 -138.3939606069443 -1340.1569620784528,False
211835072176,2,1,2,0.8,-863.6193517126285 -49586.11174824109 -3288922.553686959 -1802997.771280258 -6492.251795101467 -62907.63712724192,False
213141624462,2,1,3,0.2,-975.0546935814506 -55272.165022420755 -3652680.267572077 -2040497.1004522473 -7549.590068816237 -74456.862641659 -819204.6544887789,False
213977760088,2,1,2,1.0,-872.7442131866305 -50374.27832044097 -3360392.0047260527 -1803417.6086025324 -6615.80910380933 -64156.542323612586,False
211781763777,1,1,1,0.4,-17.671804976588625 -768.6604812695846 -40641.663318351566 -140.41315833318188,False
212324913797,2,1,2,0.6,-861.2543457302291 -49401.455025462135 -3271232.849236243 -1789143.2586294676 -6487.663362162889 -62862.41292305753,False
213132474199,2,1,3,0.6,-1006.1479781378654 -56813.60060396198 -3747787.8179259785 -2092832.5023481739 -7737.83621117079 -76249.0991408989 -839195.09196622,False
210446569975,2,1,3,0.8,-994.477626962349 -56145.884045467355 -3700561.914756183 -2076393.346226596 -7633.217179152373 -75146.35797275827 -827028.9452519927,False
209502352025,1,1,3,0.0,-32.15587908796259 -1368.0632328330662 -71301.88428082151 -267.8239410427778 -2721.5872913211824 -30585.541681258663,False
212955358079,2,1,1,0.2,-873.4638277870756 -50256.747193785974 -3336449.604931225 -1818416.6692193053 -6613.883374735844,False
210885839036,1,1,2,0.6,-17.542287979686304 -759.7144198126099 -40325.08566048442 -137.2085910242091 -1324.4271207364645,False
212239637238,1,1,3,0.6,-32.42877997521067 -1362.488483006188 -72262.08049190404 -271.48139011564746 -2777.095148116678 -31329.160012996257,False
210603691491,1,1,2,0.2,-17.243594365775998 -751.1213369531524 -39795.26607162421 -137.2532351590084 -1343.888275682954,False
212722402186,1,1,3,0.4,-31.757935017705684 -1359.9552633921794 -70585.45727968567 -266.61495322974145 -2720.5867929481687 -30606.429364863106,False
210695772609,2,1,3,1.0,-995.0187842854655 -56254.11563042419 -3711200.530777936 -2071757.5968894283 -7677.71635877491 -75588.31647045586 -831632.9466802666,False
209966420251,2,1,1,0.4,-873.1104144592123 -50071.077283559374 -3315040.9182861983 -1819892.6798713843 -6642.278036543685,False
212975634335,1,1,2,1.0,-17.04020807448861 -735.4866200759125 -39261.9454868636 -134.84112733566064 -1310.3732882400536,False
211668947375,1,1,1,0.6,-17.27699659003406 -748.7039218183459 -39786.16969253648 -136.4985072830324,False
210371737777,2,1,1,0.8,-865.911912629425 -49530.99593908995 -3276287.6247067 -1795115.1419739032 -6538.189137529569,False
