loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
43470146919,1,2,1,1.0,0.5685141272605369 1.0444093381249324 0.6066953393541353 0.1349999992243845 0.7409330966314306
41265533098,1,2,2,0.0,0.6516787937246878 1.017168510519028 0.7365334619073185 0.11000777621163513 0.5203509481374677 0.5126593671652683
99927892710,1,2,2,0.4,0.5399536602547883 0.7513896625861249 0.6419027551160691 0.18949437961324345 0.4087844145319173 0.4085295123596785
43097589637,1,2,3,0.2,0.4863972478800516 0.185578756088932 0.9020873398108247 0.1340042935251239 0.3912152704352246 0.13033396154935908 0.4188334951938371
106858227332,2,2,1,0.2,0.374355291749753 0.3759911816566314 0.23668350401104882 0.5689981968104127 0.1934569266182889 0.2888842500727537
64441653790,2,2,1,1.0,0.5068405908963277 0.13591790889557187 0.8293022655025648 0.12172249469985805 0.16378618574727927 1.002183833872756
140746225057,3,1,3,1.0,0.9284806671238871 0.9914032378845132 0.27790360859156304 1.002801438715397 0.2988078069643602 0.7716242571312258 0.2827450878192503 0.501863892103426
139630810658,3,1,4,0.2,1.1768138148763478 0.6760916522629722 0.6434758133442886 0.9524919858301983 0.8969931657349663 0.5462438954425363 0.5255365351919493 0.46486855469944954 0.5253263199263758
42988556780,3,2,2,0.2,0.7094612271956008 0.32268928346000897 0.8890630848406358 0.5513556305135334 1.039967764469656 0.07959213787460089 0.16481992517347754 0.10610780939035154
104797524616,3,2,4,1.0,0.9631498593350982 0.3050921225666311 0.4428169002070763 0.01437443477908988 0.1736732926140574 0.04286864770218835 0.7722902177896723 0.9633588896120534 0.7775318676057461 0.789286890002657
