loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
40481177681,1,2,1,1.0,0.4224217596583807 0.7581358555748001 0.4518793909563336 0.12184206840050121 0.5458018651350928
41974009375,1,2,2,0.0,0.49005887706382445 0.7419983161847581 0.5456456758516606 0.10727780929209665 0.39438871728818475 0.38900712941435966
40452025231,1,2,3,0.2,0.36983716621229373 0.15171358220950126 0.6530349360595314 0.11562329376832786 0.29559179464034663 0.11306031278002164 0.3149155066799308
44729071268,2,2,1,1.0,0.38114121163959613 0.11867422806316799 0.6038166031572056 0.10874207714465765 0.1381678371658936 0.7247766824573212
41343245983,3,2,2,0.2,0.5450026367101206 0.256642251911907 0.6529188322470757 0.4166641866483374 0.7585022817252594 0.08654878577291016 0.14618539581110546 0.10510614197200899
