loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
61502395,2,2,4,0.0,7.747778950406011 0.1043337024054337 -0.12147698648011268 -0.030306036225478106 -0.11722202815291749 -0.14305454174406926 -0.16499214966987702 0.032110022358159254 0.05140818697770482
61502348,2,2,4,0.2,7.747714574532764 0.10432622065642594 -0.12146803775709904 -0.03030469913553699 -0.11721120721411647 -0.14300409365152186 -0.16486515210207636 0.03209152177371148 0.05136781320296805
61502205,2,2,4,0.8,7.747520815645557 0.10430377990217052 -0.12144110486255225 -0.03030069862584635 -0.11717864748637258 -0.142853386806751 -0.16448309205377512 0.03203630896483126 0.051246350762863976
61515199,2,3,2,0.8,7.704427893956118 0.10107245293569521 -0.12482663391111554 -0.23734099327632419 -0.11617364089420433 0.11769715023661327 -0.07226790467618907 -0.015346019139155337
61531387,2,3,4,0.2,7.7481230993853165 0.10209629919624885 -0.12325475142827784 -0.23610733537575707 -0.11711414958519742 0.11706362959215177 -0.13772340563998353 -0.16556014460675714 0.02989385197808753 0.051852953234714956
61531224,2,3,4,0.6,7.747994393899477 0.10208562251364021 -0.1232352588434355 -0.23584629146307517 -0.11709271115601229 0.11693284896535099 -0.13763302911785597 -0.1653042093886859 0.02986138148011277 0.05177115523535381
61491786,3,2,2,0.0,7.703078942619889 0.1922727585169853 -0.12258706773128152 -0.049320813833929035 -0.030667729496407118 -0.11612768525281805 -0.07367532674716411 -0.01579154378457449
61522045,3,3,2,0.2,7.703215094938919 0.1909107388576797 -0.12434431835880874 -0.04981553956056197 -0.2383970021586065 -0.11602014809981691 0.11814758594395938 -0.07283427729259279 -0.015307735660513907
61521749,3,3,2,1.0,7.703138083868288 0.19055162613012216 -0.12430287865697878 -0.049640181847421826 -0.23786584149523649 -0.11598162816704881 0.11788136199307331 -0.07281452050591 -0.015305446968631377
61539543,3,3,4,0.6,7.7472461699112865 0.19401606426425835 -0.1226910095205408 -0.050983995686534854 -0.23650690143033162 -0.11691652370838254 0.1171842920666347 -0.1386653683817977 -0.16720318693406344 0.030061742469332475 0.05244706038574486
