loss,weight_order,prod_distance_order,time_delivery_order,lambda,alpha,thetas
73743738653638480,1,2,2,0.6,0.001,579499.5345579628 90802.06271541431 -5126.599024810774 38379.574198390495 -186.16925333905564 16916.008489238076
73738212656631680,1,2,2,0.8,0.001,579506.5578356814 90795.96681267934 -5126.132573515536 38376.126396155225 -186.1615553905905 16913.155723186213
73732681174750848,1,2,2,1.0,0.001,579513.6277516606 90789.87204345304 -5125.665950108433 38372.664264913365 -186.15407873201542 16910.2821848108
73761194030354368,1,2,3,0.0,0.001,579475.9609152902 90820.18511951366 -5129.537572325514 38390.85911590037 576.7985141787802 16921.837374238 -409.8283811340619
73755659232107520,1,2,3,0.2,0.001,579483.0247829914 90814.08716751152 -5129.069964545913 38387.398313062724 576.5546466935771 16918.967006228533 -409.7045734282887
73750126144584176,1,2,3,0.4,0.001,579490.0840849438 90807.99007234191 -5128.602279555755 38383.939216234576 576.2565990279201 16916.09879464889 -409.55432223470217
73744595163602368,1,2,3,0.6,0.001,579497.1351747835 90801.89360767754 -5128.135086917742 38380.48263174138 576.0682697274167 16913.234185819718 -409.45759275579746
73739063929543568,1,2,3,0.8,0.001,579504.196124137 90795.79835926561 -5127.666718725223 38377.023440353616 575.5501100612753 16910.366009830428 -409.1999373971594
73733534310636496,1,2,3,1.0,0.001,579511.2523358169 90789.70354661452 -5127.199943521293 38373.56551549302 575.4430886513326 16907.499069944697 -409.14289091674556
73629566505909648,1,2,4,0.0,0.001,563141.3570831995 90544.64523650822 -5332.403394095226 34013.68232453113 1124.9120932320536 110237.00456330323 -803.2744299437999 -38598.203658537896
73623049369789296,1,2,4,0.2,0.001,563157.8577979986 90538.71404981376 -5331.8387028143925 34012.760872129875 1124.2807757348894 110184.63858695481 -802.9199577381024 -38578.43740153132
73616522688229120,1,2,4,0.4,0.001,563174.4565236539 90532.78504478479 -5331.272869705191 34011.83753175215 1123.4859997346962 110132.01038402414 -802.4856240462636 -38558.57583669226
73610019209806160,1,2,4,0.6,0.001,563190.8777913237 90526.85446061187 -5330.708928662964 34010.91603504369 1122.8783165123214 110079.87769618593 -802.1427826837611 -38538.89547452959
73603521678704368,1,2,4,0.8,0.001,563207.2692114657 90520.92424581955 -5330.145679092131 34009.99522874315 1122.3730463252753 110027.82879198746 -801.8499537467695 -38519.245957421736
73597002097211312,1,2,4,1.0,0.001,563223.8683664982 90514.99741710638 -5329.580925805384 34009.06852828571 1121.8140783690449 109975.22944342034 -801.5307038026189 -38499.396824080446
71497541243298584,1,3,1,0.0,0.001,609399.1197911885 91084.40514555479 -21276.544820382696 31169.978217441578 8811.509589473912 -549.3014268457832
71492449306100080,1,3,1,0.2,0.001,609402.2190098893 91078.23852538927 -21272.24043107376 31167.328978490477 8809.770961237105 -549.1962652694201
71487357191846712,1,3,1,0.4,0.001,609405.3088569551 91072.07250757172 -21267.8539288835 31164.68696796534 8807.99753691464 -549.0912653678796
71482263727094296,1,3,1,0.6,0.001,609408.396229525 91065.90708898331 -21263.383041393303 31162.047990829968 8806.188442947225 -548.9863891438515
71477174428163568,1,3,1,0.8,0.001,609411.4896749036 91059.7428209426 -21259.041235437515 31159.403336099283 8804.433920464127 -548.8813523901334
71472086741337896,1,3,1,1.0,0.001,609414.5803359861 91053.57942406814 -21254.704517248367 31156.7604509752 8802.681503966636 -548.7763937570594
73932897208756096,1,3,2,0.0,0.001,579767.3700177975 90825.79434858556 -21544.064452478317 37799.28255551012 8840.06090700348 -226.29781734755773 17024.813328396795
73927249866480576,1,3,2,0.2,0.001,579774.3751562673 90819.6900497606 -21539.36933748856 37795.95716432633 8838.16546762795 -226.2876148964618 17021.911982310306
73921599782629152,1,3,2,0.4,0.001,579781.3823266322 90813.58633896601 -21534.562048253512 37792.634122824355 8836.222640090338 -226.27758756887923 17019.008351520963
73915955407833568,1,3,2,0.6,0.001,579788.3903264317 90807.48385363739 -21529.90569295945 37789.30717642371 8834.343572589463 -226.26741273383382 17016.106386303454
73910310342664976,1,3,2,0.8,0.001,579795.3569099467 90801.38128541945 -21525.011184717638 37785.999230328125 8832.363679253684 -226.25728023464353 17013.21995812751
73904667564879968,1,3,2,1.0,0.001,579802.3548691759 90795.28019587474 -21520.29478284859 37782.67722605074 8830.459176698416 -226.24708181199676 17010.3218642228
73933222132515616,1,3,3,0.0,0.001,579765.0379977889 90825.57396354886 -21541.921443542396 37800.1914309985 8838.171771286306 494.16566881434596 17022.43144552157 -380.6524677915581
73927579405459952,1,3,3,0.2,0.001,579772.025644908 90819.46986128535 -21537.289386610235 37796.86996078405 8836.303321117779 493.9268064140288 17019.539422145775 -380.5324280051474
73921929004582640,1,3,3,0.4,0.001,579779.0301314736 90813.3662997603 -21532.451943300304 37793.54866893793 8834.348274807759 493.6300007502126 17016.637380012307 -380.38429666797504
73916285984530192,1,3,3,0.6,0.001,579786.0340292524 90807.26406682348 -21527.81266832152 37790.222693713076 8832.477016290322 493.2875010727518 17013.738432780396 -380.21371919064177
73910639160069120,1,3,3,0.8,0.001,579793.0241087803 90801.16205153638 -21522.95618778143 37786.90678766256 8830.513954390333 492.92185791422463 17010.842837573127 -380.03198977318743
73904995289739936,1,3,3,1.0,0.001,579800.014682161 90795.06076426576 -21518.170159409696 37783.58872910374 8828.580100371833 492.8801594120489 17007.947379711815 -380.00827695945327
73782438425047024,1,3,4,0.0,0.001,563438.3973944245 90549.49932229191 -21703.116635008457 33426.58489044839 8849.195839825878 1042.3467680509402 110282.68460283602 -774.4716416593662 -38575.96682593786
73775807170081600,1,3,4,0.2,0.001,563454.8837005765 90543.56265447674 -21698.179979503948 33425.80202110912 8847.220245114446 1041.6595654512 110230.15357974618 -774.0910174423265 -38556.14926602223
73769182299824560,1,3,4,0.4,0.001,563471.380550904 90537.62724467496 -21693.39976233137 33425.018157246086 8845.310508189104 1041.0918902116666 110177.58268379938 -773.7686115720733 -38536.316478727145
73762577353772944,1,3,4,0.6,0.001,563487.7056172779 90531.69035812844 -21688.568132592212 33424.231739001916 8843.37876690396 1040.418818445852 110125.52555343597 -773.3950001375443 -38516.672780621084
73755964105198320,1,3,4,0.8,0.001,563504.1290710937 90525.75542164042 -21683.7477205123 33423.44419928943 8841.451717726408 1039.934698095552 110073.19706130054 -773.1134839295626 -38496.93049635566
73749345326090976,1,3,4,1.0,0.001,563520.6117707576 90519.82213493565 -21678.913294905084 33422.65517970544 8839.519296975073 1039.2349076191551 110020.71583039548 -772.7266797954014 -38477.13289453982
74422916463041136,1,4,1,0.0,0.001,586833.7508831603 91309.27092063901 -28699.11748377055 109590.52295594761 13622.425295124072 -26994.11880232266 -431.06819808296626
74414700920809536,1,4,1,0.2,0.001,586849.6938759194 91302.958694364 -28689.684991441125 109537.70882968699 13617.416677721636 -26976.53822456853 -431.0501970075459
74406492493572432,1,4,1,0.4,0.001,586865.6558522522 91296.64791043429 -28680.501862280937 109484.87954544472 13612.513591789999 -26958.957886765762 -431.0318178042846
74398299301950096,1,4,1,0.6,0.001,586881.5480286101 91290.33821071952 -28671.2543911659 109432.23625495234 13607.586693314342 -26941.43621869994 -431.01352383850167
74390116795015072,1,4,1,0.8,0.001,586897.3942779246 91284.02948458945 -28661.951565524418 109379.7170247935 13602.638656570933 -26923.95363911768 -430.99532626169173
74381909909215440,1,4,1,1.0,0.001,586913.413199199 91277.72128638513 -28652.88399118466 109326.77483745375 13597.782663850228 -26906.340933232455 -430.9766964935767
75558346265605344,1,4,2,0.0,0.001,565279.812242504 91093.94206815521 -27893.201831183633 111528.86167306274 13207.682789300155 -26418.27065462919 -172.54707465491512 13418.487681076507
75550462472633856,1,4,2,0.2,0.001,565295.3472100747 91087.67624274301 -27884.469329710355 111480.80615471551 13203.075696528891 -26402.36572579397 -172.56457878820055 13417.982940901398
75542583839758496,1,4,2,0.4,0.001,565310.8342903245 91081.41078120228 -27875.58651785297 111432.80472141817 13198.405754130565 -26386.474246440775 -172.5819801700657 13417.492992650692
75534692058338768,1,4,2,0.6,0.001,565326.4307057366 91075.14623408901 -27866.79452982855 111384.61514962451 13193.77103972909 -26370.526315249677 -172.59964183046134 13416.980515457257
75526822023516208,1,4,2,0.8,0.001,565341.9463249737 91068.88322783202 -27858.15027688036 111336.6183844331 13189.202484909045 -26354.64209302215 -172.61691224251754 13416.478682468085
75518965013366080,1,4,2,1.0,0.001,565357.3898993622 91062.6210004087 -27849.39904359836 111288.7819763636 13184.591530203015 -26338.80716072553 -172.6341321024783 13415.984411680234
75559992867326048,1,4,3,0.0,0.001,565277.0899479323 91093.96375997526 -27891.20228177689 111532.80000762988 13205.965249929173 -26419.35707320062 671.7860399334411 13414.411148867579 -469.2740032240849
75552105508019328,1,4,3,0.2,0.001,565292.6065381235 91087.6975923526 -27882.298811137207 111484.74587495202 13201.286356620963 -26403.448797888137 671.254801125984 13413.915746507037 -469.0085982620224
75544211754406304,1,4,3,0.4,0.001,565308.2014920701 91081.43226538606 -27873.593531876326 111436.53296273261 13196.68811991591 -26387.49388019357 671.0124029803111 13413.411207126092 -468.88396578551396
75536352989645328,1,4,3,0.6,0.001,565323.6324109383 91075.1688309309 -27864.861783474396 111388.74842191476 13192.087097258123 -26371.67606099084 670.5139545908107 13412.91434170025 -468.63451075516616
75528451753154912,1,4,3,0.8,0.001,565339.2783401945 91068.90481429982 -27856.062918042142 111340.41186357358 13187.447206506939 -26355.680488335223 670.1135191760977 13412.40578996287 -468.4328053240783
75520586726575776,1,4,3,1.0,0.001,565354.7647386946 91062.6425445616 -27847.34135420427 111292.480551642 13182.847471060997 -26339.81596454674 669.7968082643988 13411.90822604619 -468.27195543000266
75711088048946848,1,4,4,0.0,0.001,547143.856977626 90798.30944418043 -28149.45148427464 105681.38566729355 13173.288695315663 -25380.333485672218 1231.2478408611753 105583.92108015028 -857.2439391098004 -37504.7583596597
75702175989768912,1,4,4,0.2,0.001,547169.7252298668 90792.22003132408 -28140.493772019774 105636.43321848592 13168.648145869798 -25364.90328039376 1230.510379637854 105534.7725892186 -856.8426803340091 -37485.66583769062
75693298322062256,1,4,4,0.4,0.001,547195.5227641426 90786.13508124309 -28131.702681585222 105592.08276757214 13164.090001829905 -25349.670097817176 1229.7670451917713 105485.21800212841 -856.4384178211506 -37466.42273628377
75684401628603568,1,4,4,0.6,0.001,547221.3276142806 90780.04709287365 -28122.653691787098 105547.25648532642 13159.41315946979 -25334.280056591047 1229.0271206484856 105436.1371207324 -856.036086197374 -37447.35595361789
75675511243119792,1,4,4,0.8,0.001,547247.202542355 90773.96233066042 -28113.67822662424 105502.66825184927 13154.772062773352 -25318.968945201832 1228.5376326520834 105386.63562956659 -855.7557991760598 -37428.13586493723
75666631560185392,1,4,4,1.0,0.001,547273.0419813383 90767.87827902456 -28104.941354276245 105458.00483867314 13150.231228333198 -25303.638475839925 1227.6499806545294 105337.36267059116 -855.2811139192947 -37409.00098568702
67740917783413232,2,1,1,0.0,0.001,635644.805783455 91255.14346914981 2016.0386154668797 -4196.577822596457 -148.2156056119306
67736515406710944,2,1,1,0.2,0.001,635647.8293660103 91248.95257675328 2013.8707535077797 -4196.31803847143 -148.20670344864376
67732114345088312,2,1,1,0.4,0.001,635650.8362009968 91242.76254265294 2011.7145266091472 -4196.057850233684 -148.1976831138903
67727714274088576,2,1,1,0.6,0.001,635653.8396522285 91236.57334853963 2009.5607566090982 -4195.797640692961 -148.1886295130625
67723315049779040,2,1,1,0.8,0.001,635656.8454412938 91230.38498038569 2007.4055136216398 -4195.53754484407 -148.17962958820277
67718916694430984,2,1,1,1.0,0.001,635659.8541756417 91224.19749311397 2005.2483821323651 -4195.277545234345 -148.17062591519272
69312380312461224,2,1,2,0.0,0.001,600384.5169170332 90977.90292306922 10356.526183692977 -3910.1653731396045 434.21564339103975 21203.601932081718
69307468891568736,2,1,2,0.2,0.001,600391.8295799482 90971.78165416584 10353.700515522327 -3909.946676007916 434.0899643364958 21200.091176993006
69302559853644040,2,1,2,0.4,0.001,600399.1260697886 90965.6611841974 10350.881277091836 -3909.7278327349973 433.96446309516 21196.586877995447
69297652544891064,2,1,2,0.6,0.001,600406.4135281872 90959.54149238944 10348.0658592514 -3909.508850304115 433.8391466679453 21193.086064684554
69292744097748512,2,1,2,0.8,0.001,600413.7262854119 90953.42273881857 10345.240287461595 -3909.2902663344234 433.7134826898165 21189.575883871737
