loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
83381326,1,1,1,0.0,5.162816456232282 0.22629500366145897 0.15492329936080151 0.28654095780925803
83218936,1,1,1,0.2,5.162788893593923 0.2943056161172987 0.07624414713364208 0.14512973932394035
84241206,1,1,1,0.4,5.15637387471775 0.4185306637272195 0.36972614568819034 0.0872376021304626
84063176,1,1,1,0.6,5.159235727320798 0.3506349913830261 0.2806337599718432 0.3117835648545234
83104975,1,1,1,0.8,5.163544168790324 0.25798778176666126 0.059565856893593 0.1476345714586293
83249042,1,1,1,1.0,5.162410444688984 0.320817113809237 0.07003271443594153 0.09672549245541051
84628518,1,1,2,0.0,4.171900645235891 0.09054291401331581 0.0458683671405574 0.1456139007066227 1.8041682702229578
87933412,1,1,2,0.2,4.063691119550313 0.4118604257501721 0.3730125039642511 0.37344760746373046 1.889397006467989
85534384,1,1,2,0.4,4.102170390846547 0.08456332537464978 0.05799991539809138 0.08621658176900651 1.8643548656611648
87738310,1,1,2,0.6,4.023052775473155 0.34376788595386465 0.10010215188794819 0.3629853847528232 1.9290457407588786
87613769,1,1,2,0.8,3.9883568783305625 0.11700566005651675 0.30166956846603726 0.06632809212016338 1.9593969791072703
86697604,1,1,2,1.0,4.089810927443995 0.17302556941510763 0.35420716467505037 0.27279815194710383 1.8704201844527808
87160366,1,1,3,0.0,4.0034776343346365 0.2636389606801372 0.09372947173500155 0.03801629343842293 1.9465615874084161 -0.007782192505795174
88350316,1,1,3,0.2,3.9573231452482838 0.3630237376809661 0.23175917846128485 0.6247863012979606 1.9868704574198017 -0.2539393326116682
87113971,1,1,3,0.4,4.0298643177501665 0.1441804017540001 0.3373547616043459 -0.04536559897877966 1.921873749936021 0.032195614373222485
86306466,1,1,3,0.6,4.078944537718894 0.2241034850186499 0.2874637602377051 0.2009646725961375 1.8802220888835075 -0.07450019135350824
87606328,1,1,3,0.8,3.9948008931054377 0.3682820727033382 0.15335700382686265 0.03655099224613776 1.9513999087918539 -0.005983215421983072
85266114,1,1,3,1.0,4.168789343144326 0.2942054224674783 0.3212134689602594 0.16848241410338843 1.8003562280695058 -0.058595715688810404
86915180,1,1,4,0.0,3.9855997812566053 0.34820661531821595 0.1369669280719747 0.652503396738896 1.6679813657850344 -0.2677872404776975 -0.032214945742950016
88095474,1,1,4,0.2,4.068490325751027 0.2434536129472891 0.16155600912687776 0.4944020541264899 1.032107792998301 -0.21262343135024006 0.19643156032598108
88022136,1,1,4,0.4,4.068369580617483 0.34866059714752423 0.2285048283397047 0.005943518673410851 1.1175363402929328 -0.003464233612417968 0.15924995777518217
87440457,1,1,4,0.6,4.005366725593796 0.07592954289241347 0.2941944138167942 0.44244333423139787 1.411524880931372 -0.17952864581863148 0.06194887056314748
86756196,1,1,4,0.8,3.9660991689151945 0.31531117685833204 0.2332292405661894 0.35093031763403487 1.7646543798046945 -0.13727034851671216 -0.06832903863571173
87987087,1,1,4,1.0,4.037021422643981 0.08891734333305223 0.376672190523372 0.2098864253494944 1.2245931930163623 -0.08546318419940867 0.12627391514877326
85855182,1,2,1,0.0,3.9171881951278342 0.3601168421734612 0.21941699543937526 2.198681275776773 0.2524965946254286
83056438,1,2,1,0.2,4.094708235972092 0.07486333502160827 0.19900500937744747 2.0317854310644115 0.25951477930358763
84604229,1,2,1,0.4,3.988298349260614 0.2240252415687477 0.2559740708351228 2.130866933786194 0.22438198663071626
86402585,1,2,1,0.6,3.850729900602227 0.09295894677583655 0.2951895334851259 2.2638031394085343 0.26889796839619945
85426669,1,2,1,0.8,3.9181947095468828 0.31465488722588164 0.01543234908660229 2.2024243275910775 0.13770318476544802
84787565,1,2,1,1.0,3.995854201347682 0.40885281029669435 0.15956586843149312 2.123425715954136 0.17634722981543793
84882317,1,2,2,0.0,3.2412048229524837 0.12958097269914215 0.16884850878848626 1.866952560666441 0.04759442544974093 1.3211445087853588
85313081,1,2,2,0.2,3.232007793686528 0.21385361461788882 0.2133718560767907 1.6840934858849808 0.1734038505991037 1.4965991629797286
83240209,1,2,2,0.4,3.4405875708802305 0.18909565402359726 0.06628796344117388 1.6193948301522811 0.28380015991177276 1.3873165811050325
84656820,1,2,2,0.6,3.281700994301113 0.29049935709638464 0.03135394442169944 1.7083486077554269 0.10812839806224672 1.4348585731346437
86202596,1,2,2,0.8,3.2438494345252065 0.41248826928862037 0.328103798703895 1.8553707737952523 0.32974081639709124 1.3238218466984892
84224115,1,2,2,1.0,3.347497574971282 0.35444563528912837 0.048102702866642 1.8367820274054814 0.11309504974272376 1.2602420831805925
85341731,1,2,3,0.0,3.2075237437975077 0.12809326947223748 0.23841033887790206 1.8545440883851043 -0.14914345182070232 1.3580871263704197 0.07913462683341592
84897345,1,2,3,0.2,3.2323054383348624 0.08111934686862622 0.16989475885457314 1.833922603941306 0.029345764456216523 1.3595882856201413 0.00217691963683235
84209530,1,2,3,0.4,3.30988338377017 0.06650754541996914 0.09222475389333011 1.6275725659271736 -0.25613431551205107 1.48636444381979 0.12373932835742268
84733515,1,2,3,0.6,3.283003293683442 0.1072948298466722 0.33174516338562177 1.667566761149862 0.3160794106138149 1.4701210811453627 -0.11654825970772004
85057865,1,2,3,0.8,3.235527744991661 0.2912771245663415 0.07747741580771536 1.7435866834945815 0.044839316972055836 1.439327649120515 -0.007287825256489051
83381060,1,2,3,1.0,3.4031956904301404 0.09121619249213463 0.2349474146295979 1.7047019321778878 0.5900778637652664 1.3398386607366302 -0.23345339910165042
83191585,1,2,4,0.0,3.3873839846016485 0.29135432674569106 0.03869042134255154 1.636161403574926 0.46093592619452606 1.146225078612558 -0.18304691670762552 -0.010795193095602102
84069517,1,2,4,0.2,3.349669150063354 0.2967380264297039 0.28460073724855034 1.6881770535867022 0.48313263278478996 1.0739260512971094 -0.19423833509833094 0.014046038780019088
85173128,1,2,4,0.4,3.150348604507615 0.3438050098474129 0.1389813712904887 1.8952815714860327 0.32941056413653697 1.3996529522614645 -0.12353251435488943 -0.11699179764887999
83034844,1,2,4,0.6,3.319042154830189 0.2948467244642881 0.0913708290279163 1.710112156552369 0.1569131187167238 1.437832455764239 -0.048640227952676626 -0.12765520474526165
84206021,1,2,4,0.8,3.2894979273921945 0.27359163138855225 0.33348895041840565 1.757822316064286 0.5462277195016114 1.2869453496166 -0.21561422891930307 -0.07009060604829752
84020727,1,2,4,1.0,3.3347964879041214 0.3479319040776555 0.021133797068914738 1.7553508904052428 0.014798621069078897 1.0484643164761864 0.0035403514655269843 0.009824049465945301
85678004,1,3,1,0.0,3.9396560409899766 0.38840307559111237 0.1157942162366766 2.1816070878258573 -0.06888068934469299 0.3126942316793131
84764929,1,3,1,0.2,3.9478362217409737 0.07779662431045464 0.41922761322528956 2.1765483656021067 -0.2264928047339179 0.1494643383482464
83368203,1,3,1,0.4,4.077568992396926 0.19842164297935444 0.2028867691549335 2.050365068429033 -0.11304478024514786 0.27273838136247036
84749047,1,3,1,0.6,3.9787542154481663 0.27603867653610076 -0.1944653879244184 2.143048584645539 0.08968160530525854 0.25887524117844346
84091015,1,3,1,0.8,4.006269818760613 0.23825086863695058 -0.06587762643364381 2.1159992207244676 0.02668506068244385 0.12916092288604616
83962276,1,3,1,1.0,4.029282752047807 0.16941869571722806 0.18971148678375627 2.0963627590893155 -0.10521450053329678 0.29160521893996205
85252275,1,3,2,0.0,3.216274027549486 0.09899577394587877 -0.10938441347716943 1.648341946970811 0.04979320904946732 0.1629789809173634 1.5468661652210194
84218764,1,3,2,0.2,3.35796889416137 0.33089556152814376 0.48712774104316453 1.6105985734359243 -0.24322000073144784 0.15829005560903953 1.461436142156544
85399047,1,3,2,0.4,3.2111508605292363 0.3041520170288543 0.26775047962417503 1.8443022362285633 -0.14029689484128907 0.06348824314065633 1.3668725040241898
82917565,1,3,2,0.6,3.4983259379041702 0.050380081403710544 0.35820941214924246 1.629403905878008 -0.19007433489839207 0.39494579116472334 1.3333675667856837
85191158,1,3,2,0.8,3.2705733292855803 0.4179153813667203 -0.2651767787715689 1.7430852424314776 0.135047400379346 0.13336598701611177 1.4091910646072976
83370243,1,3,2,1.0,3.390816795055756 0.09858919182242747 0.34915502158456263 1.5832748679692987 -0.1809018613449672 0.05397074818252416 1.4624619325288537
85129232,1,3,3,0.0,3.2042705437023926 0.07143804795798042 0.029877947795226546 1.7031577594491167 -0.024261390884483425 0.02867527812066422 1.5063344684093243 0.002735497154455316
85588208,1,3,3,0.2,3.189893087598921 0.2917823009434669 0.006943247470126607 1.6981521752371136 -0.0028374935372512205 0.34847281133363506 1.520821739576915 -0.1357385685503074
83412400,1,3,3,0.4,3.405523316587836 0.2879959075817382 -0.18998197377505738 1.6230095304252299 0.09296882489969667 0.36361711147692116 1.412612757301033 -0.13861651993006424
82655830,1,3,3,0.6,3.4635383285586623 0.2212136162227825 0.278232254125383 1.6511750854177514 -0.14134628093571905 0.18372994434140338 1.3381720498544531 -0.06406928401623295
85166009,1,3,3,0.8,3.262517150509887 0.38842702280076336 0.5022591090615451 1.7159202982395576 -0.24985609902967665 0.3980171082874269 1.443308308180661 -0.15644113591022926
85336787,1,3,3,1.0,3.1991822918163138 0.18203070519203987 -0.003484349767602559 1.6694289534134337 -0.0012614733280146022 0.3421065355021551 1.5412233066452052 -0.1300590134915223
84756734,1,3,4,0.0,3.3646613365193274 0.38849235264241405 0.1568192390427731 1.831245169152337 -0.07623244245689566 0.1956754085768478 0.7510626772910929 -0.07679064994974301 0.10614764530048805
85474404,1,3,4,0.2,3.268825527016401 0.4137826114940489 0.27459755657026297 1.8983811783619655 -0.1339068032745475 0.5145461175594561 0.9394769687003711 -0.20781282980680976 0.04008267399990741
83742552,1,3,4,0.4,3.3679893709264306 0.18718311708214982 0.297687117279495 1.7211148354739105 -0.14292359403276883 0.18136093500007036 0.9259966238302352 -0.06778281806486287 0.05954579853642259
82957778,1,3,4,0.6,3.321953929685834 0.07039878541503407 0.09007685801729563 1.6520262804400472 -0.05640769875836062 0.5888267248809859 1.3945061033486468 -0.23146830549109212 -0.09613858974072577
84882339,1,3,4,0.8,3.2611643994263826 0.24098684645645896 0.21009457972039872 1.8558068791145663 -0.1061104706174729 0.37709948246587666 0.9734340410080368 -0.15022507262713342 0.03602647552228248
83432355,1,3,4,1.0,3.2701887922506336 0.1822664141433208 0.26870036925004415 1.7612477203427495 -0.1367431400309473 0.16569981094774527 1.401010539846014 -0.052517674470498946 -0.1140935489343476
90011737,1,4,1,0.0,3.6909559211901612 0.167005969802701 0.55803639233972 1.5766200680485833 -0.29180434509934944 0.2264674833296972 0.32296285925224266
88844224,1,4,1,0.2,3.774654478112821 0.2253333224369979 0.43041861636447193 1.4672565693865527 -0.2230598811051638 0.25562405828833873 0.07146232080393808
88809752,1,4,1,0.4,3.8528307472488135 0.18281414859540274 0.36055219513026304 1.1940146724680498 -0.19257202188842948 0.3622078227041107 0.12227933308877716
89756484,1,4,1,0.6,3.857696125670935 0.15415354029717038 0.5646765808971425 1.0030202913848347 -0.2964245695223509 0.4487824513711721 0.1751350567778506
88854748,1,4,1,0.8,3.8106933003346484 0.3497799331621122 0.04286367566612174 1.3900390270969474 -0.027997285505202474 0.2819919248639606 0.09559409526807332
89718075,1,4,1,1.0,3.7275892433309363 0.13296558529222213 0.15117153470743477 1.39873198984543 -0.09311923527395528 0.2985329553713925 0.16031141572431432
88509666,1,4,2,0.0,3.1547697493538682 0.22064349925048132 0.19604681048621508 0.6471386195089639 -0.09959854285815445 0.3902899762571849 0.08672472446179957 1.5838777161902633
88714294,1,4,2,0.2,3.180393736476195 0.20927617017483197 -0.02509486841527854 0.6361615880146955 0.007490052987713976 0.39416907991745226 0.3307013874639653 1.5672487525232308
85717744,1,4,2,0.4,3.1925176356579015 0.12570848301646834 -0.11954889984267417 1.323914080048952 0.0551374211296176 0.12817566629300894 0.10138529238805241 1.3719975193678584
86866069,1,4,2,0.6,3.279044752319198 0.15933646630992154 -0.10658116219419288 0.6817360722932103 0.04815983524652849 0.38587354602669494 0.08806936726658064 1.432833293831848
87708646,1,4,2,0.8,3.181934571951209 0.17737567702871945 -0.04406913358667933 0.9734420137175815 0.01651807754866087 0.2383915647409043 0.40172242440821226 1.5654950187595384
86231350,1,4,2,1.0,3.320806146965128 0.10452339269510257 -0.06623445208172553 0.7459673469360218 0.023742100716337592 0.3485737015269363 0.18406673569120627 1.4237250830163335
86859654,1,4,3,0.0,3.248964200435294 0.07054973207129916 -0.05967248307623931 0.7409530774744033 0.02254298016368105 0.3449541324188344 -0.09650423125214198 1.506244800200551 0.05711767139231937
85164217,1,4,3,0.2,3.2459458116491744 0.40030283701282854 0.20235979612612548 1.5129608905226168 -0.09899450024580679 0.04596836198527745 0.43640652852544043 1.3071521471097005 -0.16992608330335635
85909218,1,4,3,0.4,3.153632610146753 0.24339527532465616 0.01165350436263372 1.41521527135514 -0.011350103703358096 0.07023002707511712 0.21994400605550563 1.46191839815565 -0.078608784014286
86632987,1,4,3,0.6,3.162381124544673 0.3260401537302317 0.44328846348136847 1.239921856646432 -0.21927458892302404 0.1397418339757493 0.04638114360576158 1.493425049703515 -0.006897745591983369
85587381,1,4,3,0.8,3.323664769762076 0.35746582465918736 0.14327588745424333 1.0301128886809818 -0.07744184810210869 0.23915116506669218 0.02421763669519459 1.341881023749945 0.002244948746245527
86595303,1,4,3,1.0,3.1591458485291306 0.11997111019527179 0.5492546661749458 1.201522240893964 -0.278558201367498 0.14807431052202866 0.507111348548188 1.5339220909215394 -0.20071675313389664
87141458,1,4,4,0.0,3.1561277806048555 0.07364819063349476 -0.12408057639366363 0.8426682110469013 0.04890526396086082 0.3575052950172614 0.6159978025117401 1.546387237030912 -0.24099500860224954 -0.10545640864284452
87446948,1,4,4,0.2,3.257987712467647 0.07975868905790337 -0.1137297339510624 0.8197668878598898 0.046603989178458004 0.38135428006468813 -0.023657214350227475 1.060524558265932 0.0205326296786205 0.054689309076693414
87687272,1,4,4,0.4,3.270621030944805 0.15651114763675747 0.41856898863719677 0.8612448996539632 -0.2168049471251819 0.3651239346444892 0.4591320256934513 0.9799044548280456 -0.18414994756847855 0.08469684424511077
87599597,1,4,4,0.6,3.2791882443344966 0.22482853246513965 -0.031051739745650356 1.1190404797906213 0.01173125951695964 0.26792202237108453 0.25073393686062284 0.7017683085258938 -0.10240071547901984 0.17354517511033113
87631171,1,4,4,0.8,3.129928935121774 0.15965206281886632 0.37265977514426496 0.9940920425065503 -0.19112571582863305 0.31049553324569207 0.36386381826777103 1.335024554774605 -0.1392952655610685 -0.03447619327630558
85877278,1,4,4,1.0,3.1407638069745443 0.12293074995400488 0.16498340523675545 1.2853676829291965 -0.09014116928609144 0.17462529905853683 -0.04194777240116241 1.4452199497706646 0.03599046698269078 -0.08966594653824714
84221051,2,1,1,0.0,3.984294454427915 0.1261284143892914 2.118223994353741 0.16420157041642164 0.0444405031529734
84733640,2,1,1,0.2,4.013250691641835 0.39474916177765673 2.0782916051924603 0.3172489312055629 0.3206755910719813
84782249,2,1,1,0.4,3.9473939683264616 0.1631212150070266 2.1514396944333307 0.2098616345950487 0.07475204123810353
83755200,2,1,1,0.6,4.0587080104783135 0.3770701846822452 2.0390895442527883 0.17322421238445868 0.25329302589038105
84385138,2,1,1,0.8,4.017208513133417 0.32498220806614203 2.0812807552477772 0.143675916415226 0.380295881147227
83018160,2,1,1,1.0,4.103400221435192 0.2882358806788746 1.9975635076642029 0.19395381891955696 0.22846345924325107
