loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
205009158881,1,1,4,0.0,0.6806313323039397 0.699540561777868 0.16618010658816693 0.6924480199483434 0.46604142699876205 0.07911759345481446 0.7751245642145468
203965378795,1,1,4,0.2,0.8658261229186576 0.4922506008661775 0.4472562737311789 0.7814105436493946 0.7094766594161583 0.49942447368359355 0.8571299309532991
203228760444,1,1,4,0.4,0.8554979408464323 0.8980067437506485 0.5511104478503648 0.46369818603799423 0.31770862102319924 0.5443705864884831 0.9613877088068162
205737884195,1,1,4,0.6,0.721714820046635 0.4381453428423798 0.6490998458665247 0.7083618054171407 0.11152617690068559 0.6832607644178499 0.489598524547674
205760732299,1,1,4,0.8,0.8845416548768029 0.9475515717055745 0.9387218904403304 0.34521878903739456 0.5724059268529972 0.6582387209080278 0.4166229647402004
205631605087,1,1,4,1.0,0.8926272929139132 0.5567684354699252 0.5809117543899895 0.9015258352504298 0.7790753057377033 0.5730917050731833 0.5270519365680602
41048475381,1,2,1,1.0,0.6095971164692472 1.040507716569932 0.6005547763672776 0.12644678319839237 0.7354791702638553
43086722879,1,2,2,0.0,0.6824814545420969 1.01544024702861 0.733369728194631 0.10363941485299621 0.5160814237378641 0.508350499723966
87324344729,1,2,2,0.4,0.5794414014600362 0.7463482735369144 0.6363013320794522 0.1815789570770565 0.40199057271721383 0.40173436670160395
40898429890,1,2,3,0.2,0.525961681917866 0.17762615140915616 0.8977997331909842 0.1257879866194266 0.38431451282030693 0.12209877547660736 0.41207400699205354
207207937630,2,1,1,0.4,0.7275459436771483 0.6268332348648225 0.8808950298331929 0.9697683617350573 0.6122548419762718
207099113641,2,1,2,1.0,0.956514511910921 0.6893087107462482 0.9195516271659625 0.9808465167281398 0.8984588680015403 0.7421996481462726
207446174811,2,1,3,0.6,0.9144251963344426 0.8855528843089793 0.7979269404404187 0.6174726448904987 0.71879234285657 0.3771688199229689 0.6284436804185204
207062305351,2,1,3,0.8,0.9349209852054082 0.8466283287529809 0.903711847348712 0.7029559014412581 0.5565531233534274 0.23890167342522503 0.877151094628974
202120920713,2,1,4,0.0,0.993245356058597 0.3150168272633908 0.599364236579249 0.6320355763610547 0.7785315910250533 0.2584346653466724 0.8691168943177854 0.9597417161745646
206960098076,2,1,4,0.2,0.7435477066239065 0.3695020387167549 0.34644043516580414 0.554267740896278 0.9844029099911917 0.5970846446802246 0.08426619556298183 0.25922000200261935
204125907663,2,1,4,0.4,0.9162619011833306 0.48697794605569716 0.7365319043326969 0.4472277468240528 0.9070827693737472 0.12257165467011372 0.7101366333123815 0.6264858748684631
203279235283,2,1,4,0.6,0.7169074572431519 0.06700734862421322 0.11761851145261065 0.6480339404530352 0.8972590208257988 0.13647770864020578 0.2702311712617309 0.9287083652916468
203895948974,2,1,4,0.8,0.7684542465309061 0.20918737749429683 0.3294172229396671 0.7305432572120246 0.24907341589358611 0.40799276067519413 0.6817838710394992 0.7085836511205017
205946850927,2,1,4,1.0,0.8461254786945261 0.8334525618296772 0.38525283740085703 0.9484086739209897 0.20379483768628906 0.05162500024037089 1.0144745971737459 0.25815233488026357
129406109895,2,2,1,0.0,0.6708803011614302 0.6660769589469913 0.24087210608812495 0.9855711224743928 0.20502874450372122 0.7220330309152051
89005290131,2,2,1,0.2,0.4267160094621777 0.36613391714727994 0.2261136629905668 0.5601281785751874 0.18266609667778905 0.27858142682649745
56047681801,2,2,1,1.0,0.5489024131154192 0.12714931246910113 0.8240803779550673 0.1128812877861063 0.15516024422959224 0.9978462560212659
