loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
63596327,2,2,4,0.0,7.628340210524735 0.011838154066993848 -0.10447076876178284 -0.011264910251150057 0.03524104250448646 -0.09170664490716289 -0.13831105645068495 -0.007445169614162366 0.0548882585633588
63596306,2,2,4,0.2,7.6283018489230265 0.011836321009190166 -0.10446089063085252 -0.011263737546905826 0.0352386641553091 -0.09167962637192638 -0.13822269985828126 -0.007454323995862076 0.054860000294810446
63596241,2,2,4,0.8,7.6281868469698635 0.01183082702917536 -0.10443124709179251 -0.01126022249002504 0.03523155140763098 -0.0915987527955467 -0.1379580209053732 -0.007481717993298061 0.0547753531977208
63588096,2,3,2,0.8,7.602247658034968 0.01103976670435873 -0.10760003761141616 -0.028399615713986824 0.031480374717676986 0.010062508346842462 -0.10273602778011062 0.008697912247098868
63596848,2,3,4,0.2,7.628454832533762 0.011710701650255223 -0.10448933378289633 -0.028589603968015808 0.03520951247484291 0.009594185845037262 -0.09134978034833094 -0.138361614413543 -0.0076575503813144045 0.05488652051591496
63596802,2,3,4,0.6,7.62837757916073 0.011707779016360314 -0.10446951580221434 -0.02852043464510864 0.035204807803595355 0.009560608463924635 -0.09129730727586664 -0.13818434462629212 -0.007674959856468155 0.0548298696308113
63595396,3,2,2,0.0,7.602594110601109 -0.06958656218029943 -0.10779621981641319 0.05038539063182301 -0.00963500918144914 0.030615363026634156 -0.10302051709501635 0.008808659909519666
63596112,3,3,2,0.2,7.602768663361102 -0.06943233137678444 -0.10782299816747315 0.050248910373112445 -0.028098272482444342 0.030575826620203653 0.010179017181159952 -0.1031837056943794 0.00871514482166209
63596054,3,3,2,1.0,7.602731569876492 -0.06949664890100857 -0.1077823050388304 0.05027904152811672 -0.02795711213175279 0.030567799283888863 0.010109418903147123 -0.10315329155084735 0.00871649037113015
63604656,3,3,4,0.6,7.629118597819299 -0.06906325035493374 -0.10464717349808615 0.05038880784158076 -0.028105567607663005 0.03430627921073742 0.00961763083076638 -0.09225222405874957 -0.1391285302954384 -0.007246094614099312 0.055155009096223714
