loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
63995024,2,2,4,0.0,7.747687690123696 0.10391194898545297 -0.12060388561438716 -0.029785535265054595 -0.11702459433531652 -0.14181704036430173 -0.16529988621673739 0.03419441535550921 0.05014848556320859
63994974,2,2,4,0.2,7.7476233213203844 0.10390445854718436 -0.12059492062125562 -0.02978419853248556 -0.1170137680887971 -0.14176660027485483 -0.1651728840981739 0.03417589566176372 0.050108110307639925
63994822,2,2,4,0.8,7.74742958439316 0.1038819917075333 -0.12056793889735382 -0.0297801991104301 -0.11698119254313234 -0.1416159171194441 -0.16479081185247804 0.034120625259565704 0.049986644249449874
64010343,2,3,2,0.8,7.704330634552697 0.10067465981128097 -0.12395140637972012 -0.2368356253725685 -0.1159856117355998 0.11810031410049505 -0.07103748529489552 -0.0157034847236357
64026261,2,3,4,0.2,7.74803528361569 0.10169982791277589 -0.12237038249908498 -0.23560391723388038 -0.11691184890620435 0.11746109722794398 -0.13649178251912292 -0.16587888971579356 0.03197556296749331 0.050546309117735846
64026089,2,3,4,0.6,7.7479065888536915 0.10168910140616065 -0.12235086784848383 -0.2353428606841637 -0.11689040459527657 0.11733034067813718 -0.1364014192688095 -0.1656229399511124 0.031943046610177835 0.050464541796259754
63979918,3,2,2,0.0,7.702989877339962 0.19184018055653576 -0.12170491495649591 -0.04960788062754957 -0.030142345748664954 -0.11592791072001658 -0.0724419020045294 -0.01613381797086254
64012481,3,3,2,0.2,7.70312897514904 0.19050317364725167 -0.12345111397442075 -0.05005533422829271 -0.2378889977720472 -0.11581606006843938 0.11855445308677197 -0.07160636390184899 -0.015661695833216124
64012180,3,3,2,1.0,7.703051926713297 0.1901440114005888 -0.12340971565563237 -0.04988006034610321 -0.23735781053332558 -0.11577758323004968 0.11828827239017263 -0.07158657039860376 -0.015659395588096557
64029261,3,3,4,0.6,7.747169688936526 0.19360937782051776 -0.12178830096989128 -0.05121656052731409 -0.23600076009696708 -0.11669777809568796 0.11758554051959699 -0.13743587566082177 -0.16751836542864135 0.0321216478745729 0.05114587380986996
