loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas,diverge
212374146151,1,1,3,0.8,-573.984723284895 -23709.39104756889 -1233000.2608944068 -4675.09795424302 -47637.50421064085 -536451.4294924219,False
212101773036,1,1,2,0.4,-217.47646740165112 -9069.878055239125 -472180.55865375546 -1640.6609309429164 -15853.00568961894,False
212511538952,1,1,2,0.6,-218.64940325628172 -9004.374288836172 -476515.2000628099 -1622.5202258017057 -15615.103733176078,False
209523273753,1,1,3,0.4,-559.6311474871754 -23548.077714672723 -1206943.715670204 -4515.225483965491 -45812.225350431334 -514556.4143226935,False
212769348112,1,1,3,0.0,-563.9509957784016 -23390.326307162475 -1211623.5179220852 -4534.510344329142 -45937.18392492818 -516039.8784270033,False
208327517523,1,1,1,1.0,-213.95422151033245 -8908.358554632561 -464543.06327925186 -1608.1919206721573,False
211139944802,1,1,3,0.6,-568.7374384422283 -23434.762370635897 -1222940.465296852 -4611.689944455633 -46676.82160918332 -521935.79573156463,False
212596658926,1,1,2,1.0,-211.97211203464147 -8911.872068246084 -460458.0211798734 -1577.652968981669 -15132.880618715164,False
212295745225,1,1,2,0.2,-215.6393835964989 -8934.048502996937 -468362.2942142546 -1614.8797037310032 -15604.836152848395,False
213238803708,1,1,1,0.2,-213.856388993912 -8937.416354527868 -465727.6506070073 -1620.8303804274415,False
213077951237,1,1,1,0.6,-214.55870184166304 -8941.896175670296 -466141.0802712874 -1605.3641285224187,False
213754297839,1,1,3,1.0,-560.680579663471 -23272.051213586623 -1197416.4137990412 -4558.893528511277 -46483.22817516851 -523875.682673334,False
213946449095,1,1,2,0.8,-219.8712271391716 -9094.422659014206 -480460.9242780256 -1650.500949848262 -15933.107322350455,False
209512575617,1,1,1,0.4,-218.93252255354952 -9116.92695092722 -475977.97566825285 -1667.155676959432,False
211989920223,1,1,2,0.0,-210.79927344664048 -8771.1314279189 -455988.5539627294 -1582.4976863862994 -15310.797440942584,False
213799950894,1,1,3,0.2,-552.346414945836 -23081.56460971406 -1186952.8986320551 -4485.200766471896 -45651.84494432761 -513158.74635675235,False
10289299891441,2,1,2,0.4,-125664.4952498597 -7200977.026417149 -477418221.255387 -261122387.65062758 -944018.3330969769 -9137344.546446303,False
211525173511,1,1,1,0.8,-214.6463736712157 -8866.244004048478 -468481.49388362543 -1610.3227468238342,False
210996991259,1,1,1,0.0,-215.5620756078585 -9025.252775869274 -470974.992592345 -1641.4525218124893,False
10742802206102,2,1,2,0.0,-127614.84731832787 -7350086.133307876 -488975385.8942526 -265325154.6605805 -959162.1140058073 -9256920.700858466,False
12046607012397,2,1,2,1.0,-135283.50500414165 -7785594.522807651 -518440174.5855792 -281062330.28644806 -1013645.964576316 -9746841.023948755,False
11581019919601,2,1,2,0.8,-132524.8083301497 -7632425.996837825 -508083751.00575453 -275500371.72359765 -992685.4827353297 -9613369.908183059,False
13086044433200,2,1,1,0.6,-127195.12202227596 -7271479.185131511 -482678279.8883032 -264112183.34880906 -949895.4670450753,False
11621457653611,2,1,2,0.6,-133537.7814688563 -7669242.179409763 -508587840.0666339 -276996424.4777205 -992320.2458528337 -9549952.00418674,False
11309598080505,2,1,2,0.2,-131219.6083932436 -7552672.451683215 -502147243.0691574 -271937361.8107351 -980904.7879538988 -9473313.274130702,False
13336703975092,2,1,3,0.0,-156986.78107879809 -8844218.887840513 -582633665.1624905 -325935242.9005317 -1208574.5979422706 -11895140.026575403 -130863755.60325362,False
13626987467799,2,1,3,0.4,-158462.65923345252 -8937655.919523984 -590133937.0753729 -329346263.0472568 -1203172.2492279818 -11706038.45048791 -127682018.77445161,False
14510301579838,2,1,3,1.0,-164057.61036326733 -9235148.578203313 -608387408.3019396 -340271639.9593165 -1254168.3554298582 -12299548.61133583 -135134872.29323518,False
12247963074864,2,1,1,1.0,-123112.280384047 -7035289.9577063415 -466008644.36100525 -256671884.55221945 -929052.2769671332,False
12849341946927,2,1,1,0.0,-126994.64160040178 -7246709.383037268 -477601089.63961124 -262823213.614794 -952388.9642015338,False
