loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
204972646339,1,1,4,0.0,0.6544135926940522 0.7042402012680814 0.1717860508126942 0.6971597113064171 0.47113783638120954 0.08487147738212851 0.7796957686121623
203955241956,1,1,4,0.2,0.8540674762118583 0.49405518063686366 0.44913730938317503 0.7827237726737135 0.7109121210195203 0.5012168633245139 0.8583144948773986
203218553755,1,1,4,0.4,0.842932920787518 0.8993029477372328 0.5529961101338994 0.46573238233299397 0.31999088790783786 0.5462677014052928 0.9625762135441724
205705374505,1,1,4,0.6,0.6987046758776461 0.44256877672155354 0.6531648183937333 0.7123260779760926 0.11650461349564323 0.6872676895398434 0.4939345272746707
205749894166,1,1,4,0.8,0.8742442243004093 0.9482543210003962 0.9394396433819159 0.346945043297836 0.5737461367588855 0.6594330807145153 0.41822788646087017
205622090778,1,1,4,1.0,0.8829611489475292 0.5579934397310957 0.582095733419482 0.902165015615979 0.7799225583380651 0.5742889722288063 0.5283274360595617
43507749101,1,2,1,1.0,0.5701248339711679 1.047604869338253 0.6083995125407547 0.13509709216605373 0.7430946382102777
41270182544,1,2,2,0.0,0.6534503016278713 1.0202349957328203 0.7386437809576073 0.10998348457270318 0.5217247004437466 0.5140069130865694
100461360993,1,2,2,0.4,0.5414215090970033 0.7536190204204595 0.6437590745225613 0.18980933232327962 0.4098464642578361 0.40959069359584677
43160313458,1,2,3,0.2,0.4876680779933363 0.18592470308716555 0.9048745405918912 0.13417457591625145 0.3922618523561705 0.13049168119106644 0.4199741766139313
207194749448,2,1,1,0.4,0.6995805218169903 0.6320490178215675 0.8856791043180355 0.9744014172328884 0.6174953970216013
207100397809,2,1,2,1.0,0.951388747762368 0.689288810985712 0.9191404928138037 0.9803312256445463 0.8980835729288631 0.7420898742210562
207444152213,2,1,3,0.6,0.906460925211188 0.8858369915401145 0.7983599469971517 0.6182122834116556 0.7193598154214893 0.37831679116155126 0.6291646765950081
207062139578,2,1,3,0.8,0.9285569238623581 0.8466191949833014 0.9036057175101525 0.7031909008434999 0.5570368955202929 0.2399252100783903 0.8770900954718487
202130281380,2,1,4,0.0,0.9915358365555031 0.3148656779348549 0.5987299164077582 0.6313457375978492 0.7775928211220647 0.258379662384056 0.8680241986853319 0.9584950276195471
206925530102,2,1,4,0.2,0.7243765558422717 0.373179902240076 0.3501574880196972 0.5576316439976003 0.9870359123557363 0.6003757918275391 0.08842874180280702 0.2630852605344349
204121050773,2,1,4,0.4,0.9091688440032777 0.4877436486402535 0.7368735583253471 0.44806099428489365 0.9071346150774646 0.12395656917960342 0.7105231367942904 0.6270145206021814
203247791979,2,1,4,0.6,0.6958733245195243 0.0716176169296377 0.12214278173907783 0.6516569079317978 0.9004584963371703 0.14096993044438777 0.2744961144845858 0.9318544009028852
203870601933,2,1,4,0.8,0.7510248374807816 0.2127464866833543 0.3327720356030887 0.7332164601424733 0.25256474929897293 0.4112140527546849 0.6845399276544947 0.711294168547864
205928797238,2,1,4,1.0,0.834127704343654 0.8347310416378766 0.38729291615013123 0.9494918162131681 0.20614325395920574 0.054231988838643774 1.0154454779559317 0.2604083849257433
143104207245,2,2,1,0.0,0.6408371174753857 0.6716926462436207 0.2472103186284395 0.9906439140188378 0.21142781764590332 0.7275536356634542
107628041781,2,2,1,0.2,0.37537305800883136 0.377042914035827 0.23726058944274872 0.5707075335427689 0.19388679434039136 0.2896391959499605
64709323829,2,2,1,1.0,0.5082184405161244 0.13607053984888995 0.8318173578594693 0.12182675982961087 0.16403382563810448 1.0052879645832105
227151983363,2,2,3,0.8,0.8577722234108583 0.9088759652770554 0.6713512573803023 0.8843895030767611 0.24354157607962917 0.29524368605323165 0.033778137881560893 0.7756665378199548
150540579311,3,1,1,0.0,0.8218004185817559 0.47069920827990536 0.5924910583459498 0.7798033070040596 0.8592195520086291 0.9506990855209027
165464888503,3,1,1,0.2,0.7041820174348737 0.27092846764401457 0.8833731057665941 0.5303363787236935 0.4492151757252551 0.996243709935485
187072466604,3,1,1,0.4,0.7486305423141829 0.6047295480303527 0.5826192353023936 0.23323436939674846 1.0050126869864655 0.9020752567655316
165634741597,3,1,1,0.6,0.6431618078227423 0.6278014857499382 0.27061723268603416 0.5347313052270559 0.621539785200373 0.8041713876862501
161185808146,3,1,1,0.8,0.5744617560600965 0.5233471941632339 0.13591114710137778 0.6115835044237109 0.3361575763377473 0.9464891390586625
159786290203,3,1,1,1.0,0.7973930205157415 0.6958487503642734 0.9639638901120162 0.6191119961172964 0.4132524007645108 0.8522439526468043
161844998420,3,1,2,0.0,0.6531585030978039 0.3012970156718275 0.7049548015488699 0.5945543494752643 0.1395623111383698 0.11319345991343781 1.049750248453205
147326848734,3,1,2,0.2,0.8969032098842329 0.8973180657933475 0.9941165826513976 0.847556900961668 0.28881267303919855 0.1126654207112185 0.8462965551503395
191360043135,3,1,2,0.4,0.6865681501697998 0.6312810097194224 0.13021787848213684 0.19956247899482848 0.2508209791498162 1.0611018597404656 0.7788350306814523
168167005084,3,1,2,0.6,0.9163932820139066 0.8800040873654495 0.4883755239915839 0.49111729435055484 0.7216650467910484 0.7424214262410753 0.7498168622697461
165576585632,3,1,2,0.8,0.7595719345581328 0.7789058767115887 0.13268751352525307 0.5446333743506524 0.2000775645439278 0.8621033743850763 0.8579160093387985
202163744679,3,1,2,1.0,0.7330037305440357 0.4280813603332237 0.2433578072706587 0.06723809302358859 0.748965387828887 1.0460549618946127 0.7245294417362159
169699412002,3,1,3,0.0,0.8341256647559331 0.502699778021097 0.8705342093847311 0.466526061364005 0.46523968649665687 0.7504427017654526 0.5615660833934103 0.09072734228866317
152381766196,3,1,3,0.2,0.9344862436485954 0.5347294529804012 0.29638171975467725 0.7591305182694699 0.11213552471948494 0.9868406080008482 0.742595034036104 0.7220315464886802
186816815576,3,1,3,0.4,0.7859716976069651 0.4681948226971755 0.2685258780035129 0.24000108860240596 0.6949068024446188 0.22570674797108936 0.6095852697832956 0.986768093977393
170307687617,3,1,3,0.6,0.8169004976789276 0.31628336537257873 0.1247768120247087 0.4652408494906385 0.4187592060438358 0.727277252028749 0.650096319674424 0.9287352035683175
161576371124,3,1,3,0.8,0.9122298865819342 0.026781228138048216 0.8728706904270306 0.5817016661173602 0.6206267762422489 0.5426702110371109 0.5369515120083407 0.8733115258739899
140626941449,3,1,3,1.0,0.9308155657336268 0.9942549916185176 0.27832435610745554 1.0056916832535523 0.29929978288405346 0.7737271905222003 0.28318233555907274 0.5030477109291672
