loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas,diverge
211005764259,1,1,1,0.8,745.160619258949 31015.483463057695 1611025.4539615195 5540.851495879913,False
215062176501,1,1,3,0.8,2366.5549415311266 99574.24736415925 5057247.526966801 19136.172056134325 195578.81462328494 2211430.8133748905,False
212250370660,1,1,2,0.4,750.4811910954203 31036.483857630214 1623330.3854211732 5656.38314269026 54643.787695872124,False
213595033365,1,1,3,0.0,2312.7872090899123 96488.75801429607 4955697.582650609 18567.39657930482 187744.2694858344 2101424.7853593305,False
210627872840,1,1,1,1.0,736.2597203770249 30811.07197525502 1592920.2006044886 5500.563480818391,False
212058555767,1,1,3,0.4,2314.3474410525628 95474.35343392096 4956993.954951735 18749.006842941744 190538.6131342465 2140768.931727229,False
210221964748,1,1,2,0.2,741.0417910214471 31079.96543111898 1596796.4019998964 5572.9584017719635 53791.805648421796,False
213176594046,1,1,2,1.0,728.6310894247764 30094.67363845456 1569197.345321178 5478.780857758353 52991.20988658104,False
214186679247,1,1,1,0.6,738.4989254722745 30471.03037564683 1594004.9163565224 5534.508936775326,False
213039547332,1,1,3,0.6,2340.5506597496437 97011.84394880821 5031714.165944332 18624.666466685467 187853.83805060835 2104300.3464942183,False
210029149404,1,1,1,0.2,734.8082218363646 30462.302137705472 1580025.7237158197 5486.956383458926,False
211370946006,1,1,2,0.8,762.4637672115161 31384.1048755749 1642830.8516586316 5841.654393128009 57415.52524382821,False
214418427667,1,1,2,0.6,757.2007458603622 31549.894747761107 1635362.5586350332 5711.573393119434 55501.28877982561,False
214183791384,1,1,3,1.0,2296.6301266110304 95696.02977208808 4925065.923482706 18576.593427991043 187834.7552255776 2101372.6196935065,False
209800303280,1,1,1,0.4,753.3085692555458 31074.39854472084 1624948.792026938 5598.519836154519,False
213330127417,1,1,2,0.0,723.8965563133788 30003.306910864918 1566672.914274104 5427.724147088192 52534.01675797155,False
1583982273955174,2,1,2,0.4,1562628.8942167815 90140555.8450231 6002005665.0039 3243130218.3042526 11689295.961258262 112291439.80766532,False
1598070341366858,2,1,2,0.0,1587599.4989513839 90894361.77246992 6012049437.441704 3287975619.1028643 11910677.78295035 114824642.94499645,False
1754476742579036,2,1,2,0.6,1656674.6029891165 95114710.64369711 6300104486.640281 3443943028.5472975 12357156.424748875 118985315.63437,False
1945256993009025,2,1,1,0.6,1562815.211499824 89444461.54793778 5931121003.472848 3249788192.1873627 11764517.975863453,False
212243550296,1,1,1,0.0,746.9649379079601 30980.6846513922 1610055.8120930823 5620.836404672343,False
1802389724299273,2,1,2,1.0,1681324.042703678 96327711.19695833 6375571028.84236 3508809072.1202292 12629901.007803153 122159924.444835,False
1690943051797783,2,1,2,0.8,1631135.5778479655 93226129.07226323 6180743700.668126 3388721577.519804 12125575.601349369 116497300.126262,False
1647937140806027,2,1,2,0.2,1617513.4737147668 92308362.44896004 6094949572.898814 3357453450.732043 12120183.914806077 116676453.7520395,False
2218493040768450,2,1,3,0.0,2025065.5757615177 114921404.26444925 7592679815.543706 4195501929.6868258 15775037.121809606 156154126.12293828 1723983300.1334782,False
2319291538953888,2,1,3,0.4,2056608.0583811242 117463719.55166161 7794620845.222954 4255869095.149163 15745673.23429707 154936463.3901166 1706025753.7684126,False
2372443703895068,2,1,3,1.0,2092887.934801573 118645250.6667336 7866426221.046292 4328483664.534226 16122519.280485518 158582577.0202038 1742535246.4967089,False
1850116241408120,2,1,1,1.0,1517158.1274223973 87123853.68428434 5793413662.900242 3152513875.6892757 11401265.10259491,False
1927547100110952,2,1,1,0.0,1554880.5831231256 89129972.34541097 5908429684.93368 3226971584.3292203 11711582.78212607,False
215162670325,1,1,3,0.2,2271.4912896501883 94318.84729170441 4851362.632187511 18376.233002133107 187031.18233706255 2105956.9256530083,False
