 fscore,weight_order,prod_distance_order,time_delivery_order,lambda
9513140353,2,3,1,0.6,589376.2545721015 90872.75340696861 6530.223840330894 -21194.32690517935 37786.846673673965 8692.425465109229 -1159.0010376773432
10018589003,2,3,2,0.6,547818.2178640824 90854.34413892 13335.862846175041 -21423.053800572627 42182.24506629414 8765.378454763932 -1306.3099258489817 25023.587312838335
10023623548,2,3,3,0.6,547736.5541728646 90839.71560132476 13366.829638410605 -21430.77332067626 42221.326630518925 8771.888701313985 -5821.951853208567 25015.099521428052 2423.61794201347
10045517102,2,3,4,0.6,536815.1808090013 90980.4623580145 9231.474981965408 -21784.9674091456 38995.83251289041 8816.805481632442 -5012.939460791933 113539.10300751493 2162.142499557932 -37353.02235726188
9678578616,2,4,1,0.6,574098.7711504749 90699.22065845213 3023.8272447594436 -26936.85049038772 113648.85170808125 12437.393880484595 -27057.637846655412 -1134.8012896947246
9980812783,2,4,2,0.6,538348.3731960107 90707.24787573193 10569.242481467749 -26177.69563119368 110074.18554160297 11978.991030868749 -24783.517879325525 -1294.3128754459838 21761.3327420101
9984898229,2,4,3,0.6,538276.7237068956 90693.72560069995 10599.180301666036 -26182.52783453763 110088.66832819427 11983.713899124217 -24776.326923331057 -5488.724279727558 21754.693239464978 2254.7046102624313
10087247737,2,4,4,0.6,526297.8277251533 90829.61050934256 6254.584301124487 -26654.28099725857 106877.53250354172 12065.882307660419 -24493.002392250186 -4660.016548303427 110395.27816122852 1986.563675024672 -37070.87199927754
8635566086,3,1,1,0.6,635769.0493903361 70258.06459550936 2407.6469184076286 10516.822772724907 -4929.941260398615 -1119.7283224041557
8934348612,3,1,2,0.6,596427.2425133853 71632.59367362094 12411.61686821332 9766.05192530425 -4952.505995927463 -1323.2678498574567 22484.583815538354
8934217584,3,1,3,0.6,596406.5070706585 71645.7599380082 12425.80033462398 9755.896345234481 -4949.09953512192 -2996.0040302278644 22482.351404785666 837.0132728414202
9151388589,3,1,4,0.6,580675.5804124734 71952.53289925237 7052.819824665441 9604.334066196398 -5287.705322917027 -2100.1986854963875 120764.98330644588 559.533571741621 -40968.29456133119
9275191035,3,2,1,0.6,589346.6939789406 70583.61364068075 6512.355348652318 10069.066620174166 -4756.225396512184 38007.634774063015 -1356.514104473586
9766468289,3,2,2,0.6,547980.3493933264 71786.36822106573 13336.8147957877 9381.792483932797 -4719.555769710761 42423.64237703586 -1503.8735726184768 24790.84662027248
9770515328,3,2,3,0.6,547905.7086029995 71818.38296403374 13365.199050325218 9355.452022730235 -4712.029339638618 42459.674359037286 -5645.192048399998 24782.951634576988 2222.9965616716
9782914666,3,2,4,0.6,536996.881344403 72089.5000649387 9240.000512564027 9241.625686541569 -5041.310240970211 39241.55951403637 -4837.273176902687 113038.93880965745 1962.023959274825 -37224.56252646628
9309759209,3,3,1,0.6,589640.0826432381 70615.97664973204 6423.890365216115 10025.754051220896 -20651.00577645281 37735.83539087404 8527.122044611884 -1212.0360737247165
9803362621,3,3,2,0.6,548233.6535153587 71828.71283101918 13238.475618717113 9333.09039791411 -20897.239158123095 42138.44595960414 8603.368853124852 -1355.7153925596322 24858.221722189646
9807522933,3,3,3,0.6,548158.325798308 71861.06299915345 13267.132447800299 9306.34427149201 -20905.457133023956 42174.7668426118 8609.748138464549 -5572.636689640018 24850.161284368274 2266.447079503407
9818959979,3,3,4,0.6,537255.0768935509 72130.03134393565 9143.519955294725 9193.494834806788 -21259.46515850482 38958.04830026732 8654.664254400006 -4765.69950319305 113089.27421042585 2006.1775324392963 -37220.40952438558
9483496934,3,4,1,0.6,574315.3255305437 70119.48445368666 2910.8268163278453 10217.323061846106 -26407.01299354212 113777.51565071518 12281.707892943732 -27118.862249885682 -1188.8951593111324
9775102139,3,4,2,0.6,538720.7371572803 71390.96252868751 10464.027524668927 9513.356685452978 -25667.35554752736 110235.2679519053 11827.787354099979 -24854.106622214804 -1344.7085354854175 21587.82466621172
9778378436,3,4,3,0.6,538655.1039705506 71421.53093747172 10491.610338869616 9488.315383352528 -25672.87552529437 110247.74903974723 11832.473552899426 -24847.109039470524 -5237.139256110957 21581.59929651151 2095.581803968359
9869439552,3,4,4,0.6,526694.3866908983 71685.43842169158 6159.192320108618 9373.676631348484 -26144.094397543955 107041.61962904088 11914.447079757838 -24562.577585902283 -4410.830834054714 109933.04676055843 1828.8085862617654 -36935.6254210888
8982821245,4,1,1,0.6,609337.5521347859 69046.79203591142 115056.96284427053 11097.919250175953 -46586.8038081493 -5079.318137797425 -701.3976056836162
9135025994,4,1,2,0.6,580189.8504806508 70552.13679687845 117455.5261858075 10328.364505545382 -45000.646090272094 -5107.9473637086185 -903.6732751306727 17444.742359187232
9134740447,4,1,3,0.6,580173.909188562 70562.9654018825 117453.83987783281 10321.144076820769 -44995.0850890183 -5105.19067919251 -1985.4315079867233 17444.602504842842 483.53205435845894
9393526976,4,1,4,0.6,562105.8650516705 70851.82661573951 111338.69115322075 10156.984226725674 -43932.73845348986 -5433.839232335411 -1063.267323204786 114739.74707498253 183.314079986547 -39837.47072234494
9439274971,4,2,1,0.6,570993.4174869268 69533.69910112054 110323.82108512649 10622.274554367223 -43847.87484968852 -4918.806880501418 34070.353633468585 -943.3545452097268
9821389303,4,2,2,0.6,535683.0267987185 70839.74473287976 109433.75763250954 9907.83880192607 -41460.15760203187 -4879.53115855471 39412.66094625853 -1113.8873837655676 20912.371284924408
9823597046,4,2,3,0.6,535615.9009767651 70869.58264836545 109425.24277318521 9884.283872609158 -41444.213132194134 -4872.52172823424 39445.8731723443 -4708.593283558379 20907.76073258356 1886.8590590497438
9876127904,4,2,4,0.6,523424.01655960164 71129.15171184657 105089.01633690415 9763.172601026848 -40858.3127007226 -5198.056475212096 35975.14382666592 -3876.0594588576387 108606.0006969018 1607.4459211428743 -36515.862950325245
9474652943,4,3,1,0.6,571289.3786976672 69566.28122393448 110316.00253705042 10578.251645148042 -43888.38753592541 -21268.566454572472 33788.51836846207 8746.753060365643 -794.1402647118505
9859436158,4,3,2,0.6,535935.5041146192 70882.24469965423 109412.6659562911 9858.590024777439 -41497.634165354095 -21412.773914982736 39119.479303836226 8778.129934321147 -961.9949382335161 20978.869702038133
9861687264,4,3,3,0.6,535867.5825996104 70912.66529663923 109403.90474211967 9834.508299333334 -41481.40733688417 -21418.136314632848 39153.07096798839 8782.769328953242 -4633.789788181737 20974.107195917764 1931.000091748271
9913007260,4,3,4,0.6,523681.9915909833 71169.89375711243 105070.28252716004 9714.446267461915 -40896.37599159492 -21787.290926938 35683.500454475645 8836.88710908788 -3802.317220594085 108655.38923933827 1652.422699815637 -36511.66385749458
9688460159,4,4,1,0.6,554338.116576107 69046.79586749616 105878.80643870479 10761.587460276132 -42937.38005566096 -27098.387886549128 108410.90143604884 12479.607044222028 -26161.776121704504 -787.0376898121592
9891356066,4,4,2,0.6,525634.72326415 70423.59671575154 106575.88030397432 10037.153933446329 -41171.15855557239 -26246.21069091102 106785.90407342045 12006.311653607221 -24445.95023830263 -956.9262826903863 17546.501776725443
9892976610,4,4,3,0.6,525576.7904139956 70451.92203662336 106568.83767497563 10014.940268983553 -41156.51250939086 -26248.88768983674 106798.81901286323 12009.338639292557 -24440.353584194316 -4293.881416615843 17543.37338075785 1758.1217360749379
10012429552,4,4,4,0.6,512067.290203947 70701.14696358128 101871.09078698193 9891.588346269207 -40433.76872468157 -26745.49986422495 103146.36054082341 12098.75876499005 -24030.358247529384 -3440.601293254435 105195.95881771646 1471.3443208977662 -36102.676507672375
