loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
70479929,1,1,1,0.0,4.777649496967079 -0.632287044503211 -0.89178880533344 -1.3392339278025234
71876553,1,1,1,0.2,5.015518288324206 -0.6320814307268716 -0.5971996113057743 -0.7180758071903981
71462946,1,1,1,0.4,4.9466905622953306 -0.44627168053321575 -0.6130206790773711 -1.0927223158602524
71134803,1,1,1,0.6,4.89110823158849 -0.3661360150788953 -0.6036609867953079 -1.3588155027330115
71604148,1,1,1,0.8,4.970275948555654 -0.4038763725427388 -1.099788970099662 -0.6688345151221453
71018673,1,1,1,1.0,4.8711653733081715 -0.4663618553697852 -1.0551210545020948 -1.0079546251137594
68159255,1,1,2,0.0,4.710218351389607 -0.852421190291245 -0.6116199553713367 -1.239129061317061 -0.8052629694823523
67598824,1,1,2,0.2,4.58161563767658 -0.8974941889132994 -0.21480134655241825 -1.4535193004897804 -1.3030377780220788
68440463,1,1,2,0.4,4.772746628155986 -0.2906708067394652 -0.33747640952530217 -1.5047088927352035 -0.9625280844885005
68854137,1,1,2,0.6,4.862778240407501 -0.4397119443920929 -0.3859085140553628 -0.9647571342257427 -1.0413963051978017
67458695,1,1,2,0.8,4.548428567421884 -0.9247946205303582 -0.8238912867258236 -0.923857897577701 -1.460204356541226
67658245,1,1,2,1.0,4.595219123299652 -0.539767313241195 -1.0371841389810188 -1.354995317722265 -0.9985443904806732
66394579,1,1,3,0.0,4.656522967015832 -0.29026282769399514 -0.21921969322810408 -1.3866511336806517 -0.5350368721353813 -1.4170726833474923
65931703,1,1,3,0.2,4.52049230865418 -1.0839080549913855 -0.8964211425663315 -1.1020940945086262 -0.8920491991823777 -0.6743297687542579
66164783,1,1,3,0.4,4.589616552963741 -0.692032717002126 -0.22545549079869912 -0.7771971174134452 -1.4534881665599293 -1.01947211433447
66507121,1,1,3,0.6,4.688485908300643 -0.17231466238878576 -0.28954012366594944 -0.8974184441549662 -1.428501500712193 -0.9412485229051379
66118900,1,1,3,0.8,4.575956812193618 -0.19725862653470078 -0.6772719306841466 -0.9778894946078187 -1.1824945451535203 -1.1676697696703409
66044531,1,1,3,1.0,4.553859401447969 -0.29588674973127715 -0.9346830261863759 -1.359289338109882 -0.6857782728591114 -1.0844922554437317
75974886,1,1,4,0.0,3.917364443183805 -0.497572065655018 -0.02217448488108591 -0.9088322771388271 -0.49833268542142956 -0.43869793642924687 1.1841603493465547
76708067,1,1,4,0.2,3.95808911354809 -0.7438161637899035 0.05012078470749059 -0.40911967669731963 -0.40605539949328256 -0.6494889146957349 1.2119034863591303
78533769,1,1,4,0.4,3.8745419707503825 -0.30857823052857014 -0.19100709678326502 -0.6083080606697476 -0.6539660031029556 -0.20318189082252366 1.2824523654610072
76117537,1,1,4,0.6,3.8165671921354694 -0.7695418782809682 -0.2960171563824417 -0.9309893629138782 -0.1766742526554078 -0.5418971372945542 1.192237395628618
76304477,1,1,4,0.8,3.936500192545565 -0.04689004567695853 -0.6042265516484809 -0.2297847301289669 -0.24789314327749556 -1.1531698721644088 1.1968407529634428
77038398,1,1,4,1.0,3.648075682632112 -0.6486224928107487 -0.31932345072091267 -0.4789091507242867 -0.9844231039929167 -0.49407031130072826 1.2320246234686256
68648745,1,2,1,0.0,4.654192335971274 -0.8850518872746544 -0.8755161469392343 -0.5471853330991476 -1.4251409415184506
69244271,1,2,1,0.2,4.775904283479481 -1.1338679578007302 -0.9344821469989664 -0.37328600269967005 -0.8979404578852097
69048947,1,2,1,0.4,4.736407873119345 -0.47231885517415056 -1.0197067111082956 -1.0660003409061205 -0.9462931593693742
69222637,1,2,1,0.6,4.771462065316789 -0.3154784643879221 -1.0837700203465632 -0.6522155568554768 -1.2107279018018418
68828929,1,2,1,0.8,4.691288196537411 -0.4156043831505911 -0.8576771180610782 -0.8689410683984014 -1.4214890978528085
69417076,1,2,1,1.0,4.810242412886109 -0.6161763948812692 -0.610549524588807 -0.35463801259631667 -1.4349689239808976
66826527,1,2,2,0.0,4.613815244043372 -0.9415678461365682 -1.1100218454549735 -0.260043966414391 -0.7328972956563674 -1.2184526213812865
66921730,1,2,2,0.2,4.63884904556964 -0.3494028218047962 -0.508121796297876 -0.5463018542015806 -1.2887802266118658 -1.2713460406197656
66936556,1,2,2,0.4,4.642671434958225 -0.9801308410648154 -0.8301682761563978 -0.632660832889201 -1.2052929476977907 -0.5481330668872523
67051195,1,2,2,0.6,4.672540515432933 -0.6047935537749227 -0.9266392814139351 -0.5093050071863549 -0.7991370905261441 -1.1601090663868368
66126882,1,2,2,0.8,4.422459952474911 -0.34861816008790225 -0.9790504215503677 -0.7834385793852443 -1.3743022223587154 -1.377176558141907
66707623,1,2,2,1.0,4.581802005180671 -0.7839760595383048 -0.776958423736902 -0.24660093317117576 -1.137044171094643 -1.3075596080075411
65292386,1,2,3,0.0,4.540208437971081 -0.8670808527844974 -0.8155832690912479 -0.8330990367751976 -0.574546925409308 -0.6814454202624199 -1.1379770998029455
65124393,1,2,3,0.2,4.482058718048235 -0.9811248422231547 -0.5760149162637657 -0.795477768135222 -0.9666319339056713 -0.4525506158648242 -1.2909682192273624
65293914,1,2,3,0.4,4.540545730164356 -0.9029199022821416 -0.16262845404448562 -0.7773081312893703 -1.2702981853776827 -0.6757869162902709 -0.960933385233428
64979266,1,2,3,0.6,4.430756382563867 -0.8978959702384334 -1.0554810336753064 -0.7644364235043578 -1.268185379736033 -0.600982870427361 -0.7290226750527309
64934042,1,2,3,0.8,4.414542582479556 -0.9643820125021381 -0.8356313030117686 -0.9810807691995517 -0.8265702909139988 -1.2979381686423261 -0.47829489149231047
65330179,1,2,3,1.0,4.552670739225585 -0.5844377359476972 -0.5966887314736046 -0.9849827362548336 -0.6934307568899428 -0.6114596177338848 -1.3151243665881907
