loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
61398213,2,2,4,0.0,7.581469357741425 0.08319505656581175 -0.044168280130642903 -0.04232391433293868 0.03074594225224734 -0.06775929369329628 -0.17752447403638838 0.07007703200930772 0.05297420342245586
61398186,2,2,4,0.2,7.58143128632365 0.08318831496958783 -0.04416550001972855 -0.042321201714688006 0.030742381603161784 -0.0677339393127572 -0.17741237095852583 0.0700675276807111 0.05293798650579563
61398106,2,2,4,0.8,7.58131727818092 0.08316810322147493 -0.044157147468873774 -0.04231306614955324 0.030731717921151383 -0.06765797481816907 -0.17707678256781925 0.07003904511136637 0.052829571583959976
61393263,2,3,2,0.8,7.543744055458543 0.08269795904518769 -0.04650637505508637 0.1165990185254825 0.029566094603945194 -0.09591791420138858 0.07605382112476645 -0.027659538977665595
61426992,2,3,4,0.2,7.580619785950551 0.0846535657885293 -0.04366536164715688 0.119222909408808 0.031502538227932114 -0.09680480825911955 -0.06687938108184376 -0.1790632722266577 0.06995831934105418 0.05377479733585287
61426928,2,3,4,0.6,7.580543642579641 0.08463927372675262 -0.04365977106467118 0.11917295147193313 0.03149534990819383 -0.09677871318102743 -0.06682953936961294 -0.17883807810400823 0.06993955515876332 0.053701873487376574
61371784,3,2,2,0.0,7.544465004571884 0.19122082776593996 -0.04759896430626899 -0.0672461959998867 -0.04449597718101446 0.02885176402640791 0.0757704769021336 -0.026998585576236148
61399445,3,3,2,0.2,7.543480186113959 0.19212710452702164 -0.047179348013062436 -0.0669417579117025 0.11524718897923794 0.029533113630550566 -0.09566412451505489 0.076428295113844 -0.026579499682998397
61399360,3,3,2,1.0,7.543461485807453 0.19195050280347176 -0.047160910774575 -0.06685895023974778 0.1151552895920404 0.029524173618913182 -0.09561583204671109 0.07640699948942511 -0.026572309851216155
61434046,3,3,4,0.6,7.580289465004281 0.1932108480131772 -0.04431927843279203 -0.0664790814206402 0.11775756729020302 0.03144561278149879 -0.09649005000655614 -0.06616967284936837 -0.1782455429424369 0.06968659047288776 0.05393660207349479
