loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas,diverge
210729112671,1,1,1,0,1.6426728082263442 29.84759272849659 1313.5610194806452 5.232300915366006,False
212766650203,1,1,1,0.2,1.6446086875761896 29.85634259410618 1309.802148331146 4.835198591918268,False
543531363090371425861632,1,3,1,0.2,-8820.926644371346 -361597.60714176885 -20771218.840577126 -50557049280.56132 -126409563037686.64 -66364.60160483785,False
105637953936543197429760,1,3,3,0.6,-4629.997080760361 -189321.3775687045 -10886044.542521562 -26438122631.323147 -65936720512331.016 -35124.48770601981 -340700.6106402245 -3702615.226660244,False
245434268440515259138048,2,3,1,0.4,-6435.549370919887 -264525.52447254444 -15125370.559526477 -15208873.681967722 -37125478440.511955 -93051020882610.64 -48269.6094550449,False
227608730803938263040000,2,3,2,0,-6698.526963888486 -279298.276774704 -16121704.739208631 -15829535.718504373 -38631541623.5459 -96788254277381.08 -49792.18304606242 -477564.73831652896,False
213946255325,1,1,1,0.4,1.6449042290618077 29.906495308252165 1315.0556396580573 5.432378264823785,False
177492736576839731303662718287872,3,4,4,0,-82550.3400626185 -3440721.072645499 -198583169.26147962 -12854159989.89219 -201657893.57155442 -506062250471.2749 -1297906274464311.2 -3.3882481564747556e+18 -619607.9753476906 -5995363.766881347 -65114711.95740641 -753510989.0836542,False
48260170772554685874176,2,3,3,1,-3302.9166909043665 -137365.46968287224 -7923770.176324427 -7800274.190772309 -19024979067.228493 -47641850302702.22 -24688.45465023972 -238113.59010512297 -2585857.0076692635,False
2040677454165,1,2,2,0.8,-2.6675091705752623 -149.68801972053424 -8452.982524311125 -20192058.84289737 -26.77999100979434 -267.6234626841037,False
149082921425639178240,2,3,4,0.4,-188.55885072960675 -7920.262852272973 -458581.11442531657 -447486.1301732341 -1091686267.395697 -2735190703014.6597 -1422.0452982548773 -13777.221948800085 -149888.6115240527 -1737814.3091612288,False
209956034504,1,1,4,0.4,1.6421727345840615 29.882171541654024 1307.0476837339256 5.131014025216646 47.206675307883074 505.6246443304035 5845.6651163382985,False
2526901369953,1,2,1,0.2,-0.033548972757184714 -40.35089646377258 -2500.881413074038 -6184022.321824553 -7.264426504029918,False
2491395413782,1,2,1,0,0.9794087139266794 1.940000688142682 -196.95349465074284 -726566.5460186189 0.452824331800595,False
1499604018480,1,2,4,0,1.3144911137041049 15.661690337058898 566.0178894964963 1077274.726006664 2.9643622296675076 22.553398558592836 233.8227070257556 2672.1274648343087,False
8935450143301400788992,1,3,4,0.8,-1417.198434426577 -59188.35761419323 -3350373.812931344 -8176920136.128434 -20491142007644.195 -10619.95883519012 -102425.00010623696 -1108861.9631714362 -12800798.972816296,False
1700330948855,1,2,3,0.8,-2.226935112313113 -131.4854962192577 -7457.377077747445 -17844270.315593068 -24.279416383122133 -233.76375332210708 -2549.144870624495,False
210592027072,2,1,1,0.8,1.6437411172563485 29.394366842853252 1751.5858831250534 1309.8678448344097 5.755798641099072,False
210369404727,2,1,1,0.2,1.6443053800189062 30.047717862667415 1746.7962411235676 1316.6770106909025 5.507206572489266,False
1866372060271750506353385339749400576,1,4,1,1,-6285389.995919201 -258655050.2583873 -15344921668.017242 -38460742491505.164 -9.84793435944519e+16 -2.5660396837424248e+20 -47346631.91019359,False
473648354971813303812096,1,3,2,0.2,-8984.318190033846 -372046.6240704375 -21197325.644208908 -51659273795.77879 -129266670186289.81 -67397.47748204178 -649526.4192731951,False
1373420485639618755961407480486952960,1,4,3,0.4,-6194634.554200527 -257444075.0420683 -15148817399.404894 -38022237706447.86 -9.74649535886742e+16 -2.541764940788213e+20 -46135493.837357424 -445802568.3467863 -4847719115.3736925,False
213699115197,1,1,1,0.8,1.6404549741006078 28.69727221760229 1309.5268527041408 4.992884649830418,False
1998011141887,2,2,1,0,0.4142003993440071 -21.464539979178777 -1191.9074073362333 -1472.6627343469604 -3727894.4446137873 -3.5366746795450528,False
212492707652,2,1,4,0.4,1.6363439548395782 29.245507860184205 1692.2049977178576 1295.034855511147 5.5991214098524225 46.116981307143654 499.3221149630851 5775.476198894428,False
