loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
997903026.7596344,1,1,1,0.0,517386.86824553704 3531.2529569983635 -9.569016006623187 -76.96201116952604
997903022.393022,1,1,1,0.2,517386.8806912154 3531.2525951960056 -9.569015838398228 -76.96172892536691
997903018.0265782,1,1,1,0.4,517386.89313690853 3531.2522333937172 -9.569015670173384 -76.9614466835261
997903013.6603036,1,1,1,0.6,517386.9055826166 3531.2518715914966 -9.569015501948648 -76.96116444400383
997903009.2941978,1,1,1,0.8,517386.9180283394 3531.2515097893443 -9.56901533372403 -76.96088220679982
997903004.9282608,1,1,1,1.0,517386.930474077 3531.251147987262 -9.569015165499522 -76.96059997191404
997882454.666339,1,1,2,0.0,517044.20504917664 3531.296777506792 -9.57002087531194 52.29096154068537 -8.609539594991091
997882447.8709075,1,1,2,0.2,517044.2319443979 3531.2964131006834 -9.5700206952712 52.28680381197054 -8.609279316473266
997882441.0758274,1,1,2,0.4,517044.25883775286 3531.296048694938 -9.570020515233994 52.28264672102105 -8.60901907815495
997882434.2810978,1,1,2,0.6,517044.28572924226 3531.2956842895514 -9.570020335200311 52.27849026769218 -8.608758880027034
997882427.486719,1,1,2,0.8,517044.31261886645 3531.2953198845257 -9.57002015517016 52.274334451836076 -8.608498722080197
997882420.6926913,1,1,2,1.0,517044.33950662566 3531.2949554798633 -9.570019975143532 52.27017927330596 -8.60823860430517
998278289.9619813,1,1,3,0.0,518338.02958185476 3531.130585713942 -9.58586400661359 -816.3272887305108 131.80451089558395 -6.247104400603583
998278049.6239738,1,1,3,0.2,518337.20725767413 3531.1303353430685 -9.585856191569983 -815.8256469645825 131.7296138946172 -6.243948573960777
998277809.6289694,1,1,3,0.4,518336.3859610294 3531.1300848345636 -9.585848385920936 -815.3246208353487 131.6548087927457 -6.240796619173813
998277569.9762361,1,1,3,0.6,518335.5656900315 3531.1298341886763 -9.585840589649175 -814.8242092109624 131.5800954210182 -6.2376485291246535
998277330.6650428,1,1,3,0.8,518334.7464427939 3531.1295834056614 -9.585832802737455 -814.3244109610997 131.5054736107031 -6.234504296704288
998277091.6946621,1,1,3,1.0,518333.92821743555 3531.1293324857725 -9.585825025168575 -813.8252249588702 131.4309431935852 -6.231363914825581
279879892.02754176,1,2,1,0.0,937272.7375347193 3535.7586204295144 -444.8921512642931 0.10642966507171917 -189.49910180712993
279879877.12430775,1,2,1,0.2,937272.7368030635 3535.7582591544815 -444.89214122619575 0.10642966269242417 -189.49835340520193
279879862.2212966,1,2,1,0.4,937272.73607146 3535.7578978795086 -444.8921311881066 0.10642966031313107 -189.497605009435
279879847.31850743,1,2,1,0.6,937272.7353399077 3535.7575366045944 -444.8921211500251 0.10642965793383982 -189.4968566198295
279879832.41594017,1,2,1,0.8,937272.734608398 3535.7571753297393 -444.892111111942 0.10642965555454809 -189.4961082363826
279879817.5135963,1,2,1,1.0,937272.7338769301 3535.7568140549456 -444.8921010738567 0.10642965317525581 -189.49535985909398
279863742.6839442,1,2,2,0.0,936931.1851624628 3535.80229455781 -444.89312043061966 0.10642965716183861 -60.67689588207458 -8.58084566537712
279863730.01476693,1,2,2,0.2,936931.1778091068 3535.801933457673 -444.89311105399725 0.10642965493164812 -60.672420928637344 -8.581129253523432
279863717.3459683,1,2,2,0.4,936931.1704577948 3535.8015723573017 -444.8931016774145 0.10642965270146822 -60.66794666161738 -8.581412798403388
279863704.67754835,1,2,2,0.6,936931.1631085258 3535.8012112566967 -444.89309230087093 0.1064296504712988 -60.66347308086207 -8.581696300026607
279863692.0095073,1,2,2,0.8,936931.1557612903 3535.800850155857 -444.89308292435715 0.10642964824113763 -60.65900018620553 -8.581979758403392
279863679.3418443,1,2,2,1.0,936931.1484160877 3535.800489054785 -444.8930735478728 0.10642964601098452 -60.654527977491696 -8.582263173543561
279888283.2288342,1,2,3,0.0,937257.2788356784 3535.7588392609227 -444.8855672423748 0.10642680054116725 -287.16532389545006 28.031996211245453 -1.6289270882664548
279888245.47147954,1,2,3,0.2,937256.9997745425 3535.758515264933 -444.8855619725822 0.10642679997191482 -286.9908094611981 28.005947361893273 -1.6278297793723084
279888207.7530934,1,2,3,0.4,937256.7210631681 3535.7581912210285 -444.885556698056 0.10642679940070597 -286.8165092072433 27.979930484728843 -1.6267338175218793
279888170.07359236,1,2,3,0.6,937256.4427009113 3535.7578671292927 -444.8855514188045 0.10642679882754424 -286.6424227394902 27.95394552092176 -1.6256392002365103
279888132.4328927,1,2,3,0.8,937256.1646871208 3535.7575429898175 -444.8855461348269 0.10642679825243093 -286.46854966490855 27.92799241180265 -1.6245459250443772
279888094.83091116,1,2,3,1.0,937255.887021156 3535.7572188026893 -444.88554084613145 0.10642679767536953 -286.2948895914495 27.90207109884886 -1.6234539894798556
122338393.67975633,1,3,1,0.0,53273.05988326541 3531.837788293063 964.8346610961092 -0.6093142545573453 0.0001163460431759804 -196.9485489798965
122338375.86222288,1,3,1,0.2,53273.5637859744 3531.837429948328 964.8338807728295 -0.6093138626540195 0.0001163459801107414 -196.94777269081922
122338358.04494266,1,3,1,0.4,53274.06769337156 3531.8370716036725 964.8331004421804 -0.609313470746969 0.00011634591704489946 -196.94699640810902
122338340.22808345,1,3,1,0.6,53274.57159422012 3531.8367132590424 964.8323201219885 -0.6093130788451994 0.00011634585397991174 -196.9462201318148
