loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
75509634,1,1,1,0.0,4.900828896726744 -0.9782820179349574 -0.32126157851932885 -0.8147115365194929
75021843,1,1,1,0.2,4.828765435899926 -0.48951680459581476 -0.5109249055684152 -1.2991747209228033
74086669,1,1,1,0.4,4.686865720307041 -1.089883763475978 -0.9625220595683284 -1.0005200736487208
75787177,1,1,1,0.6,4.941182360481559 -1.0462242166218918 -0.3112784991586582 -0.6267905819169746
74121291,1,1,1,0.8,4.692121022611644 -1.126858101126651 -0.6504429127065736 -1.1921541783639513
74259875,1,1,1,1.0,4.713402490792521 -1.154226137662604 -0.5071059866003133 -1.2050994214903026
72031908,1,1,2,0.0,4.727001414582657 -0.24188503473108316 -0.6860747990364447 -0.6963188270148716 -1.4409773701923594
70532489,1,1,2,0.2,4.434705367342494 -1.0013385479605281 -1.0304816544842113 -1.2599148318908218 -1.0415124919336938
71301684,1,1,2,0.4,4.587379810177061 -0.5130229981808919 -0.9340457487412704 -0.8427973520972543 -1.3789277166880092
71356628,1,1,2,0.6,4.597994257644497 -0.5705842467757616 -0.5305093500493968 -1.3642685046908207 -1.085482628049387
72288741,1,1,2,0.8,4.774721158301012 -0.21382349442628437 -0.902489974880299 -0.8980204351829288 -0.930562163820867
72359635,1,1,2,1.0,4.787802820151019 -0.39579049672608246 -1.1218806150055463 -0.7447698453775848 -0.732021130449413
69130581,1,1,3,0.0,4.492412566424401 -0.9230680690520824 -0.9364747006291145 -0.8911976174111756 -0.919318399364585 -0.7858921014534894
69053479,1,1,3,0.2,4.47333553069482 -0.49208795515784914 -0.8455140060850289 -1.1806049443112194 -0.5963241947990296 -1.2825340068644202
69569335,1,1,3,0.4,4.598502062549275 -1.0220404891495924 -0.6912886281458424 -0.52395068838765 -1.122842870275438 -0.7066766567583512
69907964,1,1,3,0.6,4.678461615741709 -0.659891140386769 -0.6101062353985052 -0.8814924525254734 -0.5941357459043088 -0.9494292997002692
68638467,1,1,3,0.8,4.369143210282808 -0.6773113124669246 -1.031496386273635 -0.7223999963215426 -1.1279903573609757 -1.273473571922162
70097603,1,1,3,1.0,4.722457303814485 -0.5512958691582783 -0.561649837340495 -0.6970070014205836 -0.7972021852654368 -0.9035533233098477
79665994,1,1,4,0.0,3.602488014856126 -0.3457295759963139 -0.29237735169774703 -1.0476146834776914 -0.7106832742665851 -0.4362939965572745 1.2157123687839397
80516317,1,1,4,0.2,3.7899089470538034 0.06353300932782505 -0.6350040924777066 -0.7121581029205545 -0.2682204192769187 -0.6458866757932473 1.2412624349796473
78060570,1,1,4,0.4,3.641707557260404 -0.09108932493975082 -0.723290080815091 -0.9008219209057078 -1.0408244048427757 -0.32638613251764964 1.1539814636462307
77969889,1,1,4,0.6,3.606041115702463 -0.4966946217873824 -0.7191929003059125 -0.9730388843954327 -0.2109657088617692 -0.8836079820611308 1.1516844425629835
78713883,1,1,4,0.8,3.7961035210554925 -0.8486100671219827 -0.5502441669113344 -0.2656940381833823 -0.32149677267007887 -0.7282813472421126 1.1745194685158842
80337414,1,1,4,1.0,3.653656711012468 0.06874724698089002 -0.8190267421768611 -0.14692664750379944 -1.0195859307827158 -0.6917608293335548 1.238705449672617
72051575,1,2,1,0.0,4.570164134039484 -0.9922899016191429 -0.923039049651938 -0.3799030704028541 -1.4698422343400703
73101943,1,2,1,0.2,4.7540597003429825 -0.5018712146291702 -0.3181703938455667 -0.7112947730583962 -1.4113375518367601
73173335,1,2,1,0.4,4.766211589048428 -0.9155529781164939 -0.7890388157593972 -0.41448080570890855 -0.9197969657384867
72909103,1,2,1,0.6,4.7208429644508945 -0.7431020337608851 -1.0987667978711182 -0.2610972422173097 -1.0901277480429405
72876106,1,2,1,0.8,4.715098014274311 -0.7753271410257514 -0.9348562942725129 -0.34649315846324535 -1.1456394910808332
72566793,1,2,1,1.0,4.6612248898354816 -0.6892821902255942 -0.9290739451257912 -0.5456485730397778 -1.2516126561038352
69934712,1,2,2,0.0,4.524484292891434 -0.43398510526912787 -1.0563626075777104 -0.574716738552871 -1.1156382924840758 -1.0677454083033249
71357468,1,2,2,0.2,4.829715279595951 -1.0599644770854861 -0.27836849448767453 -0.39596579394281867 -0.5810305041789071 -0.8230032921459141
70093719,1,2,2,0.4,4.559683062040494 -0.6820091013685372 -1.1134369259712233 -1.0255228789893411 -0.8799873873695896 -0.6067170684264361
70624725,1,2,2,0.6,4.675350728739256 -0.6003939908319732 -0.36581748037499806 -0.5523608192971172 -1.1722643693282355 -0.9184957467197189
70756990,1,2,2,0.8,4.703587653245317 -1.110006674414287 -0.511201088976379 -1.0111835762231525 -0.5654375727804164 -0.5789669681568527
70737679,1,2,2,1.0,4.699414640505184 -0.2884116125960731 -0.9527073797375577 -0.3383494834945147 -0.8279804577998995 -1.1340683011678754
68439965,1,2,3,0.0,4.536567692807008 -0.6610416772711301 -0.529781124124398 -0.488389335700231 -0.8049436492623991 -1.2958899065439902 -0.6852146191366434
68888325,1,2,3,0.2,4.657629241894755 -0.1626093494679475 -0.2653489876320251 -0.5714189987696312 -0.6060316171962316 -1.326446715776658 -0.9753771759264096
68164343,1,2,3,0.4,4.459932649158585 -0.21635537128162077 -0.3428026820484 -0.280238822856775 -1.1126575019862606 -1.193430644895025 -1.3742713394621024
68371306,1,2,3,0.6,4.517416530662642 -0.9506059786169528 -0.75563217998913 -0.4447705886003574 -0.8492983682533323 -1.0708165975640316 -0.5680392183361626
68958159,1,2,3,0.8,4.675960278148714 -0.9551677265114468 -0.9860681396396246 -0.2655913514721597 -0.709936428682805 -0.5376073848818276 -0.6769467644664227
67364029,1,2,3,1.0,4.228060141956424 -0.5150435367541214 -0.7973043442943764 -0.6687990870004664 -1.2749016863283897 -1.1079566010389097 -1.1864050742811894
76538179,1,2,4,0.0,3.768042923160149 -0.292807342115377 -0.3082303238723992 -0.18386463770561126 -1.0501830314993323 -0.7824175801624521 -0.4684229062176829 1.1030020912412974
79082451,1,2,4,0.2,3.7169955055593027 -0.209054329419405 -0.10611147562338094 -0.5325800820334073 -0.7880505731217713 -0.3456316514848212 -0.7469383916748988 1.2040390689756053
77920326,1,2,4,0.4,3.6188370058947776 -0.8154432175290074 -0.7343303746712447 -0.3119885333400236 -0.6166157595127026 -0.19906642419110396 -0.7550911079180306 1.1621851593305776
78253410,1,2,4,0.6,3.828428286075794 -0.5749756394644959 0.09447790064749403 -0.7353627638879378 -0.19243240916222654 -1.11305593621723 -0.17709935439634517 1.1692044477549277
75596003,1,2,4,0.8,3.7106108650438956 -0.8249336084479939 -0.846797152032332 -0.32241142614615886 -0.28985790497737046 -0.813763141061716 -0.6105146312825382 1.065509160561614
78084130,1,2,4,1.0,3.640166325816337 -0.4856014712428774 -0.8274690467182927 -0.5351673667814331 -0.7267172441780313 -0.5632844334119308 -0.20581750828594766 1.1677333211280871
71290031,1,3,1,0.0,4.624429346869359 -0.4349980853336555 -0.9325182053759872 -1.062138983173554 -0.5925810916150893 -0.9565620345754606
70906105,1,3,1,0.2,4.54792202342375 -0.6176171780882803 -0.956728364819849 -1.0153373835666168 -0.6558254533085354 -1.05150137673454
71308464,1,3,1,0.4,4.627963357302112 -0.8001161067701044 -0.6194466399941133 -1.1315792932068867 -0.5757925641869196 -0.8640869910401184
71823683,1,3,1,0.6,4.7283489716306635 -0.4400865559793859 -1.0709114692178836 -1.041065590128523 -0.3168814100967515 -0.7047900881930713
71055134,1,3,1,0.8,4.577580567566909 -0.23951554056381333 -0.9065750565843663 -0.781706569758839 -0.6365665637088912 -1.4688031933645054
72278818,1,3,1,1.0,4.814219538340916 -1.0020043060175845 -0.31013678585263066 -0.3418838777035454 -0.5504353772381182 -0.9283667875888039
68694102,1,3,2,0.0,4.423086279645334 -0.9529862441118029 -0.5833269276373236 -0.9174145262827837 -0.24941801245018366 -0.8489364957276218 -1.3806386738260756
69730307,1,3,2,0.2,4.678587882816296 -0.17400793192746222 -0.9742320533132577 -0.9419864391255489 -0.6293103265884329 -0.7923426149988145 -0.5885505324387069
69551088,1,3,2,0.4,4.634607210011776 -0.4632345523637891 -0.5387293234148645 -0.3280930504368503 -1.0197351176396432 -1.1988428260107953 -0.628152491094488
69237000,1,3,2,0.6,4.559476108382458 -0.805126120562291 -0.6490920089434101 -0.6234591404997687 -0.11458682960187985 -0.6986469996385222 -1.4607180319090656
69355542,1,3,2,0.8,4.58710331189504 -0.7463269904877433 -0.6189442872683674 -0.8815359464332835 -0.9061368936298615 -0.5232849237990806 -0.8435285076169158
69141375,1,3,2,1.0,4.534174745448726 -1.0405068104431383 -0.44689134508232986 -0.6814844704960675 -0.9164376626175865 -0.9956889998682048 -0.5998527378360745
68228719,1,3,3,0.0,4.682387100505005 -0.2165081119304663 -0.22501761866728048 -1.0502689324340244 -0.47880303261242746 -0.8594429771159691 -0.8786451864954125 -0.5423737631214817
67179937,1,3,3,0.2,4.358788828307952 -1.034440830167127 -0.18036437088014778 -0.2891456074100429 -0.7282978170079248 -0.7681401011408981 -1.076677008107875 -1.2961474167380065
68293449,1,3,3,0.4,4.7010225058677175 -0.18832039239047554 -0.8736771221241599 -0.19199628141083194 -0.6162081043326715 -0.599280870870226 -0.756947799879099 -0.9465429517299593
67480360,1,3,3,0.6,4.453416773893421 -0.24353484959813965 -0.6671162512656565 -0.751890914694158 -0.959446769584166 -1.218388971930389 -0.6538396969094468 -0.6721616213838344
67937920,1,3,3,0.8,4.5951314212272765 -0.9706551346021906 -0.18515142260294853 -0.4298618260023783 -0.5263831753157379 -1.2506525616618533 -0.5249712275739125 -0.681936314941385
67504006,1,3,3,1.0,4.462391784432088 -0.8595349698485745 -0.5094668133460022 -0.6695213179856027 -0.12942933622714126 -1.0423247779822828 -0.719870923403349 -1.065879558623118
76995895,1,3,4,0.0,3.7921322244026587 -0.2562950596449849 -0.08144182079434752 -0.7638437040639671 -0.5862596273410132 -0.37439554719438245 -0.3932248820403994 -0.733111953164853 1.1320245900111976
76245796,1,3,4,0.2,3.7896930983903054 -0.7886858432230779 -0.7471943093685539 -0.5354397895981416 -0.28521006992237014 -0.6564377935329017 -0.2943801735303664 -0.1838568356586236 1.1013009349339893
76259074,1,3,4,0.4,3.6485235475632956 -0.5824637903267005 -0.6635052519828458 0.003423384996571954 -0.2483289036667604 -0.6408847092939104 -0.4553441708422492 -1.0440933056790656 1.1057157308191188
76267567,1,3,4,0.6,3.7101000671260174 -0.31730042088942373 -0.7641094048357869 -0.5164450146687567 -0.7845052271592762 -0.14980602385414318 -0.9088782044632999 -0.2690052616896439 1.1041550924773553
78705350,1,3,4,0.8,3.69783124786851 -0.41678882059836514 -0.20535207161510555 -0.7496711899589314 -0.19836955133195716 -0.31999499517751656 -0.3344659318706223 -0.8189286040274653 1.2014663130453351
78479190,1,3,4,1.0,3.706915215152527 -0.2697795455482416 0.13342681256545025 0.05457719249742738 -0.3057821161608978 -0.8016432177825983 -0.5244939989667174 -1.0763833370142089 1.1926247492519086
77646030,1,4,1,0.0,4.212652875344747 -0.16808957275700478 -0.8524313707614345 -0.6347089402075241 -0.2799892385936958 0.7606038473702932 -1.055383939799946
77131249,1,4,1,0.2,4.206464783991987 -0.37823080482636884 -0.8837725591659042 -0.2507801839099731 -0.5572461438402071 0.7489795805479521 -1.0584238540448128
76612854,1,4,1,0.4,4.037326479633245 -0.758349977354587 -0.2520990698502334 -0.81763725903023 -0.9156226930109448 0.746129410789482 -1.0581799684019804
77310258,1,4,1,0.6,4.248101966785192 -0.02410169372180502 -0.4178902739792927 -0.9683334821742117 -0.6763875625917074 0.753833095516501 -0.9136529469543808
76359683,1,4,1,0.8,4.122301062516177 -0.9494942293910513 -0.2315510362723144 -0.6664941280997665 -0.5970476995495849 0.7302091145867102 -1.1145854622075682
77853864,1,4,1,1.0,4.29089657703333 -0.20589069746533945 -0.1269719073173184 -0.4724022803592251 -0.9578518100269764 0.771175521835901 -0.9687992152854042
76486947,1,4,2,0.0,4.2531944044039065 -0.4024538869016237 -0.35773168288511886 -0.03987348097064066 -0.1170491597728958 0.7525984859896069 -1.2111281709273862 -0.754636388428048
74468245,1,4,2,0.2,4.238771721796463 -0.7129855374796057 -0.49287907161106453 -0.3747687366915557 -0.11114677213341284 0.6881725794538142 -0.8719597597607864 -0.8953445036583836
75682914,1,4,2,0.4,4.150602906995997 -0.6688976862649144 -0.08220832984433757 -0.6692765272452954 -0.48421162687420416 0.7364069169289164 -1.1022752427493399 -0.5089732006546588
76639467,1,4,2,0.6,4.248157203541161 -0.3649210264653808 -0.8990644280569351 -0.1910101597333133 -0.7290707147801295 0.7651094348549694 -0.4269453931913096 -0.566094100272895
75873955,1,4,2,0.8,4.320565741073193 -0.7900088765458663 -0.19052754701546798 -0.1438357542033996 -0.9191949992883314 0.7403051030239066 -0.4011355164897655 -0.6547346313086139
75483625,1,4,2,1.0,4.179737812659206 -0.9709839242790554 -0.7582041970886246 -0.7292128188635172 -0.04670932820937137 0.7232796202671004 -0.7584504557500735 -0.3497009910874598
73250584,1,4,3,0.0,4.141823369746989 -0.6367406381312323 -0.19150580565021627 -0.6528421096680593 -0.0963002165284567 0.6776473144960266 -1.1151932440508932 -0.413152402327397 -0.83506794893394
74775538,1,4,3,0.2,4.157905154127952 -0.8428261326291662 -0.8985004039555611 -0.7296641510984593 -0.23088369216663215 0.7312864735854638 -0.30315447874595275 -0.5443493626924116 -0.3350967948365472
72189049,1,4,3,0.4,4.024851902304194 -0.9061296019658068 -0.7711644041188704 -0.680587171192452 -0.04582918118456258 0.6428727037502047 -0.7467863273824394 -0.42093887560467996 -1.0623856532597207
71998187,1,4,3,0.6,3.94921589373888 -0.7412819582942417 -0.5154049801591191 -0.7639180775241946 -0.43712544048594637 0.6435407373143034 -0.6313338047946189 -0.809406480168649 -0.9803128104239233
