loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas,diverge
213078343541,1,1,2,0.0,-0.3809274897609769 -52.74719096768123 -3141.776128884756 -9.824199641135447 -99.67230166190618,False
211537404607,1,1,2,0.8,-0.39588641865021135 -53.04226812173435 -3174.8445135364773 -9.891114989451884 -99.84530002792621,False
209458097182,1,1,4,1.0,-52.22549679260206 -2221.304322410768 -109361.22592778983 -635.4314156902827 -7865.4857773879285 -99429.87150075237 -1277115.5179221213,False
10301000236468237550747648,1,2,1,0.4,91829414.15820473 3774891348.4611053 208394863718.77582 492218937179925.6 686595856.5698205,False
795028777530046112816168960,4,1,2,1.0,185628635.93676847 13376750892.547083 990091360645.77 74710980787214.33 5719947694497961.0 379538327923.3644 1391212480.1630483 13489003011.113214,False
2586233412736263691540173612817632572114608735649792,4,3,1,0.8,7.647433904464174e+17 3.1736481559364813e+19 1.830158793439317e+21 1.1834894630470476e+23 8.152857323988821e+24 1.806747160353512e+21 4.406774514740345e+24 1.102979300949735e+28 5.766386787599947e+18,False
3662082579155664003141730304,4,1,4,0.6,455535095.6375747 32729240778.807472 2416968166689.474 182061679754449.53 1.3919922385964466e+16 928156199514.3444 3422072292.6820683 33174139530.825104 361228406769.9835 4191244283437.5806,False
4670986770360128402192373524154770694896559844760266174074092739913167337947136,4,4,4,0.6,1.4159224571582292e+28 5.873563367624027e+29 3.405399275848446e+31 2.2151125097092875e+33 1.5332274993541196e+35 3.4502348618630013e+31 8.632408096823958e+34 2.2066890382236704e+38 5.74094746380608e+41 1.065467638299739e+29 1.0328691392906181e+30 1.123630475757976e+31 1.3025946984639009e+32,False
125252082611687837081482035200,4,2,1,1.0,2420538064.057964 169450310719.53046 12412662797872.908 930842731586417.6 7.095025456208322e+16 5011948761492.527 1.0980457661629416e+16 18290198606.267323,False
4186216023879774614956768825905239839574571438047232,1,3,3,0.8,9.141743606454482e+17 3.796203452709569e+19 2.155022384179411e+21 5.248497540222516e+24 1.3126485591968625e+28 6.880684513102618e+18 6.652935772293905e+19 7.231939518419036e+20,False
209959448787,1,1,1,0.0,-0.3972205978894525 -52.301765708708274 -3180.1144734970094 -10.065742417704138,False
2235353979059679979219820556797469328308763375960064,1,3,3,0.6,6.614931472931712e+17 2.746723422085085e+19 1.564457624174557e+21 3.822899773999644e+24 9.59203602805635e+27 4.9359363575353e+18 4.752080695461073e+19 5.153510975748633e+20,False
4858150759120305326390159575322489314219227650981888,2,3,1,0.4,9.179773103588019e+17 3.82998924613598e+19 2.211759400016188e+21 2.1587740409202884e+21 5.245928241081864e+24 1.309181161115572e+28 6.954687868454365e+18,False
11240076337633795848485994937677443493849484092243968,1,3,1,0.2,1.2611243216274488e+18 5.20606673734047e+19 2.976381458015198e+21 7.258508316189367e+24 1.817850905988942e+28 9.572508333669829e+18,False
212017863609,1,1,1,0.2,-0.38150925897162535 -52.72247977549176 -3147.5739318625583 -10.24281359101046,False
211838377438,1,1,1,0.4,-0.40888730048203437 -52.65936190883788 -3227.1292026612205 -10.024821552503084,False
998805015734994111340983482585359480724125462298624,2,3,3,1.0,4.766284481567105e+17 1.954792891601967e+19 1.1230928171616706e+21 1.1247113832485791e+21 2.7407007974460415e+24 6.85447156451397e+27 3.5804473342850836e+18 3.4712666164569768e+19 3.7822369396075404e+20,False
4930736298304599288857592821739794668998722184019968,2,3,2,0.0,9.749983762415543e+17 4.081120204297579e+19 2.356939913958085e+21 2.311739791726323e+21 5.663666995400196e+24 1.424601958306539e+28 7.303031745177574e+18 7.054749133956938e+19,False
170640731874050778799922815578486011651127159037214536837125464437431468032,3,4,4,0.0,8.051443926263191e+25 3.32614458465155e+27 1.9071552586800457e+29 1.2274903582619837e+31 1.9701168483535703e+29 4.9508061376874555e+32 1.2712494713183123e+36 3.322204226344031e+39 6.028429381908198e+26 5.841579545427502e+27 6.37097263185835e+28 7.408778273808567e+29,False
7689895451935915989008384,1,2,2,0.8,88770124.57567374 3663293731.83313 201327764156.13733 475481740655845.44 673539763.1896886 6557754401.8212185,False
212165785261,2,1,1,0.2,-4.593576960173665 -324.9815377531862 -21797.874971426932 -11740.178993174428 -41.10901873322245,False
15912195103995103019008,1,2,4,0.0,-4761136.502223058 -196428169.41490212 -10819121615.328018 -25591872947029.62 -35578775.66991263 -343483902.84142524 -3727057685.6878257 -43108937512.50977,False
2881365509668414680351155483685698179908551835648,2,3,4,0.4,2.7189620852337056e+16 1.1383669059683316e+18 6.5646412794097656e+19 6.40859287130125e+19 1.560952773136951e+23 3.904892295644637e+26 2.0284712084948483e+17 1.9537132578592625e+18 2.1150858078199144e+19 2.441796660404389e+20,False
187376651216029861272871008423866770772307736526848,1,3,4,0.8,2.0566668475521706e+17 8.534098960454967e+18 4.8583433758305445e+20 1.1853530754965401e+24 2.9688712111063967e+27 1.5462821350837422e+18 1.4950704476618975e+19 1.621228044943544e+20 1.872835287529938e+21,False
4906469014443481892913152,1,2,3,0.8,78138116.59616636 3216350539.26789 176707864166.5388 416053111679544.94 586461684.8113232 5680400048.2442 61827577752.90897,False
907547814223606555082752,1,2,1,0.2,27269311.285481434 1143865061.875775 61872719134.303734 146101063517341.16 203914088.17199865,False
1262525131154274386854526242835760133866039230071639264192647058946004216709120,1,4,3,0.4,5.969745785947927e+27 2.5332702160324355e+29 1.456795619925372e+31 3.650971853038035e+34 9.349730137894672e+37 2.4369894014490577e+41 4.452411181191411e+28 4.2937756370104084e+29 4.656699800308795e+30,False
12443424498298145210368,1,2,1,0.0,3198510.264898056 131705349.38440277 7250214668.775382 17107579944580.389 23867194.646633636,False
9569709685153498203552273668737102447240759373463552,1,3,2,0.2,1.2840290806236877e+18 5.39696919699809e+19 3.024036166643668e+21 7.35671721542905e+24 1.8374419815899442e+28 9.522703747590375e+18 9.16054624994778e+19,False
212282361063,1,1,1,0.8,-0.39064216615232006 -53.625428199817904 -3162.172628162868 -10.244438907148623,False
261433080417124719001600,2,2,1,0.0,16381039.703872135 676756500.9875662 38823209499.36872 37139766158.674644 87670574750760.66 121827754.09253776,False
210062652167,2,1,1,0.8,-4.599916446811514 -325.71051867164044 -21745.09888245831 -11759.569217410924 -41.362408057269135,False
1729372160936147196452403489936789710270434859124789760645493033674926154842112,1,4,1,1.0,6.047660226824952e+27 2.4851172204636216e+29 1.4760196403483028e+31 3.6994786912467283e+34 9.474991403989566e+37 2.4700656035878823e+41 4.556856059975894e+28,False
212603614361,2,1,3,0.0,-4.818354630069834 -330.4591245658718 -21891.41212808684 -12130.560061835324 -44.113604721136625 -436.24228414206914 -4809.601552561692,False
214382393978,2,1,4,0.4,-57.70764858049908 -2532.5251323315083 -148638.3218477719 -120370.77637577003 -682.2028919482589 -8355.120569408069 -104994.61865076226 -1343707.944523983,False
4025220631211142188892160,2,2,3,0.6,75885264.29004313 3126229308.9394917 179836329514.98752 172299253243.98718 407035644367661.94 558242839.3600863 5342637257.639174 57689038550.9747,False
4498670450142634456383488,2,2,2,0.0,74620638.3707719 3085370249.451617 177449023492.68182 168954681578.97235 398388043755853.7 561420795.698173 5448043323.340404,False
2825782382796816169041920,2,2,4,0.2,68124193.52661902 2851848069.9257107 165642348354.7435 154481759372.10956 364587937579129.25 507700472.84789944 4908986733.517075 53434357068.24482 620377928818.1003,False
836716553802332388720640,2,2,4,0.4,37144026.62752297 1543028751.3010447 88856345111.4796 84130967442.21414 198391084395364.94 275261980.1719613 2639492737.2824445 28531604412.265263 329433278585.76373,False
7686568929138757730250741810355067852109236626522112,2,3,4,0.0,1.3936134178635395e+18 5.8138129593163964e+19 3.365263376476363e+21 3.2972989734132347e+21 8.051445527032251e+24 2.016861826958055e+28 1.0487247541302938e+19 1.0173257479974035e+20 1.1089589845500783e+21 1.2887492069676613e+22,False
5100957403913934321327100672468941037660144664576,2,3,1,1.0,2.9726284869154908e+16 1.228974602234598e+18 7.068638159739285e+19 6.994385842271147e+19 1.6999201832005413e+23 4.242189862709912e+26 2.2445538009917578e+17,False
85016624906604945593249824768,4,1,4,0.0,2219946545.6205573 159194534664.29422 11723378457449.877 880221355551146.4 6.706940028182969e+16 4530360605724.077 16358736547.448643 156905093612.07574 1698062914054.6204 19630666092538.402,False
209134760790,1,1,4,0.4,-54.39315198430013 -2300.7381304250766 -112735.05478618357 -662.3747361793329 -8198.232741787104 -103664.49704450072 -1331663.161285792,False
25434279933275568175669313536,4,2,4,1.0,1340401030.4325767 92157024327.27007 6712154724460.612 501970027307746.56 3.820097275507666e+16 2755449322990.021 5997430253292162.0 10006890078.244701 96076506183.83287 1037875632806.703 11972908693322.82,False
546697590257296290611200,3,2,1,0.4,25826697.96904582 1063819739.9833525 60950477226.70957 3927987063789.44 58688681900.0642 138823826274005.97 191774752.1818604,False
