loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
75146239,1,1,1,0.0,4.7313792614723456 -0.18147650223004883 -1.1603293931301055 -1.4396056928960195
76074524,1,1,1,0.2,4.874944801215444 -0.7143203819695169 -1.052380140346095 -0.6044606668411693
75398518,1,1,1,0.4,4.770858431495406 -0.955892695547993 -0.775313700214396 -1.0023435619200707
76154930,1,1,1,0.6,4.88708013180268 -0.44894971460655925 -0.6797258613733618 -1.0487462021981415
75811492,1,1,1,0.8,4.8346900608606465 -0.8302022251503544 -0.6459445364551265 -0.9699761360180776
75126568,1,1,1,1.0,4.728063250237343 -0.9085581667357377 -1.0555551306914446 -0.9763150483221527
72738794,1,1,2,0.0,4.699649347564137 -0.55603294823805 -0.7531106852307788 -0.7721245049045653 -1.223676822333844
72491439,1,1,2,0.2,4.650853689267726 -0.936241026391411 -0.7579262025984211 -0.6362557477055194 -1.2337481437314175
72108715,1,1,2,0.4,4.5740861590321895 -0.6132415392808362 -0.8442034388547621 -1.465385244689283 -0.8496546893907314
71968731,1,1,2,0.6,4.545554413165015 -0.8786637863153773 -0.5319889382145463 -1.3328109127649304 -1.116646568177398
72849864,1,1,2,0.8,4.721123640031711 -0.565727025211836 -0.47232840459002917 -0.596722104887993 -1.532193631971903
73397253,1,1,2,1.0,4.82620667455204 -0.7941381133684258 -0.2966811934329582 -0.7372000891700888 -0.98956816204887
71356408,1,1,3,0.0,4.804019569507057 -0.24621215385324868 -0.20013864489547878 -0.7260959965745061 -0.763772515449858 -1.200664669077065
69992971,1,1,3,0.2,4.468470288329872 -0.9927308494044883 -0.7131519637048421 -0.9977187549223461 -0.8324690356152994 -1.0194917808728272
70497877,1,1,3,0.4,4.596215747053452 -0.389108205265084 -0.9415259298995643 -0.7060886938448191 -1.1142164273519408 -0.8881656814368167
70397642,1,1,3,0.6,4.571118498640217 -0.6312038994305209 -1.104500508419067 -0.6911823169154873 -0.7635435366227359 -1.028379272652116
70468101,1,1,3,0.8,4.58865252767484 -0.14185759022723185 -0.6091637793898945 -1.3678642618824894 -0.8365138433260506 -0.9722755643619917
70272684,1,1,3,1.0,4.539525533309854 -0.7991762576378223 -0.5956564297638312 -1.0336004045239828 -1.0672332999674887 -0.7481760595417745
78057997,1,1,4,0.0,3.694035705582671 -0.07243756322928444 -0.6888212350804 -0.28092192901030694 -1.0904441070386948 -1.0682389378942863 1.0961821402086442
78368726,1,1,4,0.2,3.808212489537921 -0.1370978711833321 -0.8427749099089626 -1.0673969230927214 -0.2875436546029017 -0.5724753487663339 1.1051768239147832
78565530,1,1,4,0.4,3.773638578358735 -0.11113735444082151 -0.09771807151236317 -0.5181193086937914 -1.1187424412852434 -0.9259649935677702 1.1141214606844403
80619379,1,1,4,0.6,3.7703258759172953 0.04112938809374452 -0.47896424202583254 -0.855298542585264 -0.9335698842187141 -0.2067713012177031 1.19296537156812
77420102,1,1,4,0.8,3.6938492188912457 -0.8466519481924792 -0.725519114063801 -1.1019872071717407 -0.5161377609468826 -0.33403480995821355 1.0698137470072273
81574562,1,1,4,1.0,3.99826031588622 0.0042971851095095345 -0.7632263535877767 -0.32794000791342115 -0.35018796851300676 -0.33188669840426227 1.2215776664319737
74081228,1,2,1,0.0,4.783753983184261 -1.0800485098590569 -0.43213230238890354 -1.0570183478262571 -0.5703682124469687
73362720,1,2,1,0.2,4.655468891575662 -0.3531231029425476 -1.131955515541404 -0.9511074031450455 -1.1188672500036885
73464974,1,2,1,0.4,4.673918516596012 -0.9654611703287603 -1.0890931252108533 -0.1585591162001509 -1.2253366579458338
73676986,1,2,1,0.6,4.712002181917121 -0.4461301573763583 -0.8297569572358501 -1.1553128482721997 -0.9254440384059373
73082523,1,2,1,0.8,4.6040676811921015 -0.46464106291340224 -1.0876105367280964 -0.9192708761663841 -1.2712811829456943
74339362,1,2,1,1.0,4.8285920921181145 -0.6789832151724339 -0.3635694930119287 -0.7302239157333164 -1.0218486972689513
70939739,1,2,2,0.0,4.543385414878562 -0.5991185438183902 -0.28865602992923534 -0.9820448025690524 -1.459977186613418 -0.8645613897177582
71192675,1,2,2,0.2,4.601282955437231 -1.0656887053187458 -0.5677075597737098 -0.3188216543589172 -0.8518973968805186 -1.213839941265543
71197228,1,2,2,0.4,4.602263859454723 -0.48280962448498593 -0.9390567145475734 -0.8921323901154475 -1.2585998062971102 -0.526622985154804
71037577,1,2,2,0.6,4.565699251533137 -0.6114955103520446 -0.985928263696691 -0.6234408727098572 -1.3969367080699466 -0.5831922135105813
71258941,1,2,2,0.8,4.6161282721585595 -0.7087245871994629 -0.5740630641804761 -0.5229314660118175 -1.1410320763524409 -0.9859237120745354
71557192,1,2,2,1.0,4.683049021019404 -0.42273151691788435 -0.5664997380444048 -0.9457520766026711 -0.8018560297248558 -0.9995903925016228
69489660,1,2,3,0.0,4.55535862860357 -0.24392735865460316 -0.3752678528152534 -0.29073974363554217 -0.8789335096360689 -1.0881865214506554 -1.4012546183978838
69408020,1,2,3,0.2,4.531930705994925 -0.6548072510140428 -1.054347022792052 -0.8021220478760273 -0.9571464790333826 -0.7520899406978335 -0.5108782885494327
70183175,1,2,3,0.4,4.747956913838467 -0.7061087882394423 -0.23015173817485704 -0.6333610904512689 -0.5838772296412896 -0.8906128893771219 -0.756149669011733
68815387,1,2,3,0.6,4.357344597678853 -0.19115149421990374 -0.9905738957806111 -0.4543165423584773 -1.1805437002630421 -1.369523523586567 -0.9127054097822782
69501232,1,2,3,0.8,4.5583314598826234 -0.47400718271638825 -0.4140665335725394 -0.42374721455776815 -1.2600064287835304 -0.9136445584270958 -0.8768643047729928
69290871,1,2,3,1.0,4.497766607761919 -0.9256591268516972 -1.0453766564380806 -0.5964337947198912 -0.509849856079663 -0.5116035913177476 -1.2691876711237335
78248429,1,2,4,0.0,3.5062271763123136 0.10080532548487867 -0.6699973779327845 -0.6477312271938451 -0.830381079102416 -0.8561059345373088 -0.8478943045238725 1.121534731054569
80971484,1,2,4,0.2,3.8612260630024715 0.02129442436549297 -0.5478475048284863 0.09831287049878458 -0.21066982929736564 -0.6326128443188934 -0.8902582880662641 1.2173360225765577
77960500,1,2,4,0.4,3.5990385486545446 -0.7048066273145713 -0.7318210456220976 -0.42588383845739525 -0.9182920337757164 -0.22591329785927905 -0.7267640348513527 1.1073362382605365
79864749,1,2,4,0.6,3.6690002024630637 -0.07701173564483767 -0.7508677463628493 -0.6257073667875324 -0.8471015464450768 -0.29854197700154417 -0.4876302688644704 1.1805327056267152
80167723,1,2,4,0.8,3.6401472740404897 -0.182324278926523 -0.8162981383837687 -0.056223979127518385 -0.7314885873194651 -0.25882853502920616 -0.9612854542381907 1.192976345580624
80146934,1,2,4,1.0,3.763856689513382 -0.031066484997240996 -0.4648654850185499 -0.5818586809372046 -0.4600878396718015 -0.8041183177460975 -0.36813074381381994 1.1887147174210948
71894170,1,3,1,0.0,4.5705928922414065 -0.8281060647987885 -0.9098910190181739 -0.8650667920035826 -0.803110642912207 -0.9129983910148092
72579120,1,3,1,0.2,4.708790271110505 -0.44444339964264845 -1.1118471259806764 -1.1444009531357104 -0.1737358218246363 -0.8165512995885754
72608334,1,3,1,0.4,4.715217479634246 -1.0840091968710908 -1.102846095454857 -0.2384827018293257 -0.5662482461129811 -0.7225816589230653
72609927,1,3,1,0.6,4.71530336869027 -0.4152509729858052 -1.011379929022475 -1.0378613513460742 -0.44745594367831326 -0.7774248180661144
72944982,1,3,1,0.8,4.78187386367686 -0.4281866077773288 -0.6308411108628743 -0.5890698856776249 -0.7185759400646351 -0.9774809754860068
72439102,1,3,1,1.0,4.681205637550963 -0.29112449272758806 -0.5293661005242881 -0.7635731269633121 -0.5843015003454063 -1.4687932150553804
70367644,1,3,2,0.0,4.606727840284965 -1.054426607726516 -0.31098991617564586 -0.1718145263587654 -0.9632009397284708 -1.101060916435622 -0.7579311887422502
70761467,1,3,2,0.2,4.704035008902605 -1.0681927165241494 -0.18709165066893615 -1.1382831324845508 -0.19791465667227998 -0.8926102437913686 -0.5391033968669467
70471100,1,3,2,0.4,4.6317056137094035 -0.5112880251815147 -0.8999622844387355 -0.4940300295256893 -0.3206053176592541 -1.1425563401996255 -0.8139086855732108
69719395,1,3,2,0.6,4.43677665659633 -0.7923919611872917 -0.37458362569778797 -0.7220978132696008 -0.20320080817177585 -1.3985323475391405 -1.3049045717385748
69947899,1,3,2,0.8,4.497660778360752 -1.0993665241814883 -0.5704474830785529 -0.3666058283968901 -0.5772206621486344 -1.0122284514023483 -1.1063769720939927
70670615,1,3,2,1.0,4.68167162052102 -0.25702672382355174 -1.0503944472117457 -0.8072120572105834 -0.4253879860341716 -0.8073961117184422 -0.7466605366805462
69027598,1,3,3,0.0,4.62370513905578 -0.4914388610976744 -0.5016197620714499 -0.31685998595913506 -0.8069562932958672 -0.8389433864676117 -0.5277377230929945 -1.0626353782748155
68498330,1,3,3,0.2,4.4536688864859215 -0.885206443799219 -0.20442656905520637 -0.29445262189566296 -0.7705596193958121 -1.1078416297904297 -1.0684350937513463 -0.7732111403235324
68256902,1,3,3,0.4,4.373476185868093 -0.1189360487586516 -0.8683640109521674 -0.14562722717562077 -0.8995308265518244 -0.9939325343469722 -1.0107788444738846 -1.3032532349482349
69207680,1,3,3,0.6,4.679752358539658 -0.767137445913783 -0.48682631279014693 -0.6047622209632226 -0.9487470775495482 -0.59076437309363 -0.5668576371458055 -0.5679172369806075
68300988,1,3,3,0.8,4.387637852520046 -0.12900845862071908 -0.6178513397285104 -0.23803232676552238 -0.6318161100027548 -1.2903568597836295 -1.3834023019621982 -0.8935984478134182
67995847,1,3,3,1.0,4.283138931214744 -0.765027119726544 -0.42073931664633896 -1.0202177813031534 -0.30610352911051325 -0.9862468155658318 -1.1701795870671687 -1.0517427059348643
79251118,1,3,4,0.0,3.5881858215882865 -0.17615662568397045 -0.2889937640006681 -0.3928853799254667 -0.608123710393279 -0.4914790004278623 -0.4517793148862528 -1.043780281475952 1.1701399287620788
76606310,1,3,4,0.2,3.7405296859386663 -0.48736454806366036 -0.8493872731174544 -0.8531031526642504 -0.11215320866538916 -0.2553071228261752 -0.850439859797185 -0.3839896397441536 1.0577008212517784
78902857,1,3,4,0.4,3.6207807935902214 -0.7064127584299549 -0.16565163928955834 -0.7481520614537605 -0.22664539321364455 -1.0509471294673014 -0.24192160303704766 -0.37460621662409743 1.1552962297789242
77442910,1,3,4,0.6,3.850315781082373 -0.627432656786 -0.6245957403959796 0.03677539414856369 -0.32971660116236856 -0.5298025815061543 -0.24389574611274895 -0.8576298847161884 1.0904832886142213
79615572,1,3,4,0.8,3.735851530199072 -0.043107799971354784 -0.4125190122035972 -0.0949125227556115 -0.4542929404792137 -0.2886381682682969 -0.7150683164248905 -0.8935950349821549 1.1805676574037198
82182468,1,3,4,1.0,3.949055361298152 -0.06751556741269006 0.06315807737560544 -0.35699227194026306 0.014643461588370463 -0.3140954794339404 -0.41092928128199807 -0.6517154005551019 1.2710169591609084
78852110,1,4,1,0.0,4.303694422133371 -0.8305995021559742 -0.399633843506294 -0.6379223884374673 -0.22373557272035016 0.7411086933888428 -0.7230230713410093
79557513,1,4,1,0.2,4.404356872971116 -0.19593443347089406 -0.2310433882453589 -0.3498894359299704 -0.9862116632962713 0.7659419523498731 -0.6190561460105769
78722564,1,4,1,0.4,4.261097885594738 -0.04263505761270118 -0.3310269594183094 -0.3751742530820006 -0.8020698756591522 0.7462643056450854 -1.2718033756024802
78486117,1,4,1,0.6,4.244077637634866 -0.7863777128061925 -0.8984539859590173 -0.28840891212262293 -0.8772803327767091 0.7411685462797676 -0.36257692717542656
78822022,1,4,1,0.8,4.304325342843899 -0.17232732331074718 -0.5742576112686816 -0.9067732399075314 -0.27319992633973145 0.740828665007834 -0.8528807713305195
80404892,1,4,1,1.0,4.275397137502098 -0.7959961000472637 -0.48817457019399396 -0.05555244597025725 -0.6115316650732062 0.7894114518025326 -0.6491582362251893
77789958,1,4,2,0.0,4.148150728289729 -0.7796211837328512 -0.35247719175472025 -0.05965460470408644 0.024274791731490417 0.7416278500701777 -0.9250443140772895 -1.0973584314412237
75772583,1,4,2,0.2,4.1598545125219895 -0.3969462712463489 -0.6916697954945454 -0.9357799075298738 -0.7345278401199398 0.6888485654577868 -0.7555966991136411 -0.39756628084269713
78114877,1,4,2,0.4,4.389927607309112 -0.10000237269156056 -0.2491976179238567 -0.19892647652367051 -0.4812876207301188 0.7485933476468459 -0.6259135311497055 -0.8560386754077175
77084378,1,4,2,0.6,4.068332460166107 -0.9152157491532074 -0.9514942049113824 -0.10686605113182986 0.03172636520125872 0.7232988713592957 -0.5532362324815536 -1.1985704534064687
76350272,1,4,2,0.8,4.016889218371147 -0.903587420977409 0.00012131444130556612 -0.9376581158830439 -0.6276877901516262 0.7108824109590036 -1.2310197067606679 -0.38852032271152814
75273397,1,4,2,1.0,4.131464243939346 -0.24173975238401724 -0.622449024690441 -0.9123640585309966 -0.9567174998893164 0.6765040015921044 -0.5090164209450555 -0.8318275328300548
74738852,1,4,3,0.0,4.102367352597163 -0.2229792798542814 -0.06585987175575068 -0.7032043188713419 -0.8632546756115217 0.683484682916963 -1.1344597372823824 -0.5328921082487978 -0.5487893759117537
76384351,1,4,3,0.2,4.1380153866988145 -0.05305701644377836 -0.4941254269837852 -0.3808812498779624 -0.8266728127954415 0.7355032801797 -0.30767110751947707 -0.894179062811007 -0.6930381583485759
74961708,1,4,3,0.4,4.116339011099083 -0.06432818318756227 -0.8810405970127092 -0.6439315092749225 -0.5321695043980009 0.6863927432836021 -0.5674983562277093 -0.4263137670785892 -0.9361964686337816
75616009,1,4,3,0.6,4.1411173705180975 -0.2842060579389892 -0.10879338093259633 -0.019492406262283615 -0.24006808296515414 0.703455345098504 -0.4836704066109718 -1.277802190920287 -1.102017766504754
74510117,1,4,3,0.8,3.9962258398810775 -0.5400802690215097 -0.015779883117811595 -0.542812521992121 -0.3251796354928814 0.6724705916140887 -0.6355788349488232 -1.1787669095036424 -1.03104153401101
74100695,1,4,3,1.0,4.039837686918477 -0.48766301679165625 -0.193011245093091 -0.6312559988656564 -0.5387270574626475 0.6595860020128795 -0.9051791355576773 -1.0056253217021278 -0.5842980984942644
79880982,1,4,4,0.0,3.418601615645115 -0.23577309676246408 0.08104188932797518 -0.39874842364330987 0.14814902780913933 0.5421811434841167 -0.8577988626844495 -0.6091036775959248 -0.9633111096780274 1.0162954230939427
80586094,1,4,4,0.2,3.320318260314834 -0.5108238361142114 0.20860390769388804 -0.5326740094886243 -0.06400698483896436 0.5602274221871779 -0.84158396984559 -0.7461069700209366 -0.5586619120409568 1.035494067734294
