mse,weight_order,prod_distance_order,time_delivery_order,thetas
1682506533853,3,2,2,0.159152267432765 -0.5911221270296557 -0.4327818120369399 0.06736365160962034 -1.5219418888545946 -0.14029495945713577 -1.3038708607840332 -0.5817531531226479
424564315280,1,1,1,0.10111858733360135 -1.0515921224540925 -0.8421131410130848 -0.9367689466887646
421181638678,2,1,4,0.8340776397637234 -0.02847848872701904 0.846852213117202 -0.05906384034613158 -0.6280380059012575 0.8474092161033715 0.34762674449184183 -0.17357141055328823
424176638532,1,1,2,1.3624711135400494 -0.050085338548034666 -0.7431576390746569 0.498143366383711 0.5707527160705006
425586900256,1,1,3,0.19498794722563292 -0.8436060851868078 -1.2206766811678997 0.04377389993625293 1.0578767115400725 -0.1408855347194325
413383766747,1,1,4,0.6003612152919853 -0.13443996733965402 -1.7171182135647713 -0.3296934737463159 -0.3728558419484944 0.6382695205712843 1.112546582150085
8925549933941,1,2,1,1.359203432183337 -0.8254628861533209 -0.015394906114607415 -0.48731578887126104 -0.048583704933996795
342411808016,3,1,1,0.7813769383042567 -0.7609779748629244 -0.13341903249674236 0.41849529930627505 -1.238316629083076 0.14195321259651184
6250051372365,2,2,3,1.357500957123163 0.25119715899751294 0.529183474445303 -1.272671229320089 0.625493371367247 0.5586493381137115 -0.735949186371243 0.17338233596016334
86142732044,1,2,4,1.0843932196702895 -0.3739674910305954 -0.7060951930377417 0.130696659168581 -0.34144767053601144 -0.44240279591304993 0.05634967168173423 -0.6202228504894216
1811054938944,2,2,2,-0.06203701798340709 -1.0446172410126382 0.7867381273331329 -1.2358656312622194 0.3871659535608799 0.48359581585315875 1.1537432144580086
698247081489,3,1,2,0.08827473405373482 -0.9457915180432885 1.1687753287206322 -1.018126547845312 0.2374608807928357 -1.1188841465258959 0.022155971070857334
7048876197076,1,2,2,0.36365771746481984 -0.6619865732567608 -1.437289827517931 0.657582967586851 0.013330161784920212 -0.12948291662968717
423616002685,2,1,2,1.4037493682484112 -0.9107448800004095 -0.4078166349840554 0.025940451586132906 0.23919983132762407 0.22186073594477612
529948642260,1,2,3,1.531112646734285 -0.08008567289860181 0.17556278045675128 0.255187200149732 -0.10843810883101093 0.6240987786439511 0.6041041477790173
568229154096,3,1,4,0.9211235384787211 -0.15808207715760633 0.9366188079483883 -0.6216585160127445 -0.6268081718334717 -0.05446043001530896 -0.0580253879182001 0.8897387152529893 0.7444524198632044
423762845480,2,1,3,0.8072010731702962 -0.2819716546691105 0.4443496592418539 -1.173395599409981 0.4925504453178264 0.6943802283910668 0.04514557547600247
5017304073043,2,2,1,0.9467639292931362 -0.2871742037208972 -0.5468913483777327 -0.051958499138834796 -0.3336877566730495 -1.4992899791179686
12890886877450,3,2,1,0.6360475466985005 0.5360746149186092 0.8803350828423833 0.03958704363614148 -0.9210144013723037 0.8474851738042002 -0.5479087728963685
3045442336040,2,2,4,1.0001065795020965 -0.6793360287251211 -0.8241340446427826 -0.8099792272644007 -0.23197861398496003 0.28333472418900124 0.9507788079187154 -0.10361491733469054 0.3931136959631929
425954941676,2,1,1,0.8904449978464689 -0.27888163254891646 -0.10588428802075539 -1.2531004683052933 0.017693442687052693
6350512785843,3,2,4,1.064661935641229 -0.29314835781208365 0.8906426302269127 0.27988796039015357 0.32245252113893635 -0.40167444464168944 -0.14552425720924858 0.9311118916497462 -0.46352648368461097 0.7302041281817345
434511505873,3,1,3,0.3365112540898244 -1.4449718903562463 1.0406464618961955 -0.07474506100725874 0.19956284294796262 -0.4878982332915162 0.39121917001263107 0.5208108560273371
