mse,weight_order,prod_distance_order,time_delivery_order,thetas
424115596767,1,1,2,0.8508223853754308 0.7362402459181091 -0.7313887949062142 0.1106682312123711 0.4557954715859815
419738941917,1,1,1,0.06554943528608714 0.7813353340726815 0.9455827607852939 0.6971726478418826
423574334868,2,1,1,0.9902897414944388 0.3345599759624973 -0.9573084311893557 0.7304909033628326 0.22320414514617035
438769267443,2,1,4,0.8005556803182703 0.7559371164189956 -0.8338495071393112 -0.7806769690998779 0.7067599197579478 -0.867704675441734 0.18599849797589774 -0.9802080307279091
427171539651,2,1,2,0.6658608972360617 -0.5460119525215001 -0.8293972949705563 -0.7686737959132565 0.04094874005363969 -0.2176644927064982
538072663638,1,2,2,-0.41163273258021 -0.39660879125399 -0.3396863554483179 -0.018605011494558468 0.9239440619866311 0.32695813101967275
425678672424,1,1,4,-0.8226521788426934 -0.33544854589164086 -0.47981099514089404 -0.18488857521598162 -0.6115387048696284 0.6208300043401245 -0.22853134315522192
388895938039,3,1,2,0.2462178005345277 -0.0686944031854348 0.3966907203660606 0.15491569387547907 -0.3598690482524863 0.3615376588822105 0.07815219680396183
421814801538,1,1,3,0.3197162645657592 0.984990254428532 0.1558157638534966 0.2788405874492937 0.3967387731040078 -0.04550362667683094
489322439416,3,2,3,-0.14341688850970827 0.8932450905996675 -0.592734594357123 -0.021387142312546827 -0.03559189416197923 0.24951066383309017 0.2858714150052581 0.05461205363855543 0.40531561368525626
579701843657,3,1,4,0.8436038211915357 -0.5304100919354424 -0.5385726413922347 -0.5837559223995701 0.37581667340793407 -0.9581167416901596 -0.9285949460668703 0.027686560796295393 -0.6019399861603664
360775107197,3,1,3,0.4665527931432707 -0.28914652491310067 0.6458824063066569 0.2976468012183983 -0.25913981283242815 0.4649645354541072 -0.19040544537618356 -0.939242023353657
377506877250,3,1,1,-0.3927052077589319 -0.527056200255971 -0.4744891434516048 0.20810910359670662 0.9955020954784332 -0.7795514488600408
417589932984,2,1,3,-0.017014079691025568 0.1540232239920857 0.7863931979764083 0.888302346917979 -0.270065540574202 0.9901130723944865 -0.3918105746006987
205292322086,3,2,2,0.8334955226940317 0.042467629524630894 0.24701054094430835 -0.20041581416731685 -0.559563762022331 0.19208003567797302 -0.01652565277745162 -0.50275111272604
603337662231,1,2,3,-0.37696548652824186 -0.8438408457383028 -0.2956576580865388 0.2661837598755193 0.014804541247309438 -0.7780829810486806 0.2747268134038215
