mse,weight_order,prod_distance_order,time_delivery_order,thetas
13322962863,1,1,1,267.55062286525117 5104.96781863405 193.26760417949626 1804.6740387217415
12979988322,2,1,1,279.3180712193143 5188.756317363182 -7.189875818011179 199.5086432034124 1881.0515174460652
13054274847,1,1,2,254.40535489582135 5033.28031824712 185.29739281102772 745.1150523079369 389.409384602147
12055418108,1,1,3,248.6839760671041 4967.100457595968 174.59852135276512 751.8996699426215 2285.6179139402025 -141.84035709107087
12826039379,2,1,2,265.14281673779016 5020.443044170804 -5.842983923382287 191.55485611215812 774.9102638379986 404.51319357495214
11805059664,2,1,3,259.32476249879704 4954.5219450002605 -5.760895335034312 180.19292423598276 784.4535526185228 2391.278868436933 -148.65880737108014
