mse,weight_order,prod_distance_order,time_delivery_order,thetas
10663652259,1,1,1,500000.0405815245 4.000200575140814 66.04517261984527 -0.010539330729842516
2397617377,2,1,4,500000.0131752738 0.9428456112549501 40.325567571071716 19.86283804439784 -0.5189182107225351 1.100826198602229 2.215692999726399 0.08746527245330109
2400811150,2,1,2,500000.01472494233 1.8418534671697684 40.262594914832036 21.225284377564787 0.6122547042104873 0.19304721939797787
2399896489,2,1,3,500000.0138067432 0.4328350496389645 40.01841529876108 19.606951735490245 0.4331038941182002 0.11028938305382417 5.447243253994698
10660914945,1,1,4,500000.0363747942 3.625645158889395 60.256351992299265 -0.8259315835269004 -0.0651516397193979 5.14064641569891 0.5650056749216794
10665045313,1,1,2,500000.04059803556 3.2990362299815454 65.99362364090436 0.6440869435361128 2.1061912948766874
2401098003,2,1,1,500000.0146049634 0.9761204675981402 40.22430926433567 21.329268977960144 0.02531599527535826
10696653001,1,1,3,500000.0365049909 3.267320562343722 59.671361333832415 0.4552135132436668 2.4630744919386007 17.096776574776133
