mse,weight_order,prod_distance_order,time_delivery_order,thetas
424115596767,1,1,2,0.8508223853754308 0.7362402459181091 -0.7313887949062142 0.1106682312123711 0.4557954715859815
419738941917,1,1,1,0.06554943528608714 0.7813353340726815 0.9455827607852939 0.6971726478418826
45781124366561452032,1,3,2,0.3482711221704081 -0.7908564897749565 -0.43476405721012995 0.5811419973773408 -0.5559051520944015 0.6380031254372477 0.5036942216073212
30286073445623518701027328,1,4,2,-0.8392691615224084 0.005375522632034396 0.07204444206681357 0.4415843096684033 0.8568318220427232 0.17412254813131486 0.032590831226900326 -0.6017918842380816
423574334868,2,1,1,0.9902897414944388 0.3345599759624973 -0.9573084311893557 0.7304909033628326 0.22320414514617035
438769267443,2,1,4,0.8005556803182703 0.7559371164189956 -0.8338495071393112 -0.7806769690998779 0.7067599197579478 -0.867704675441734 0.18599849797589774 -0.9802080307279091
427171539651,2,1,2,0.6658608972360617 -0.5460119525215001 -0.8293972949705563 -0.7686737959132565 0.04094874005363969 -0.2176644927064982
12476381724603,2,2,3,0.3710049970890953 0.17989733107276398 -0.577715172502465 0.8246159451171787 -0.5990066630816101 0.8882521370577893 0.5269791698155682 0.7868982756534775
538072663638,1,2,2,-0.41163273258021 -0.39660879125399 -0.3396863554483179 -0.018605011494558468 0.9239440619866311 0.32695813101967275
65770642976858382336,1,3,1,-0.7949592926917509 -0.26652449124863764 -0.21241319471971648 0.6325922651397909 -0.6662890589730074 -0.08185523125776684
67535540065450566485016576,2,4,2,-0.03860821305600871 0.7506737678809846 -0.22222510074788535 0.977846968865356 0.16639234042900705 0.7467708130177437 0.2602196974041102 -0.9809018864925363 0.07033087518155834
85222608277319925760,3,3,2,0.6136549613650619 0.8157767689729255 0.2955969817230008 -0.8130052898947556 0.6477590150493788 -0.2518424657665946 -0.7580563576538448 0.7338430837441372 0.02560370644242969
12657314568943544320,1,3,4,-0.6824180597354763 -0.766532622858306 0.22910666441372704 0.9528572257101415 -0.29253593897732877 -0.8386228175732476 -0.3053643011395874 0.6647718233894145 -0.40790893886933577
409492353162102545917673472,2,4,4,-0.7601980765335842 0.9166816393325466 0.16621372344176955 -0.5686024988015084 0.6668216648332755 0.9006456060506006 0.6411211179556208 0.96089997870427 -0.529884184688485 -0.7910727991024945 -0.18989230599137974
13018522658652383232,3,3,3,-0.4471595169455887 0.8365817931805295 -0.237976363845604 -0.20825558613669487 -0.18556132066481618 0.4631451338688452 0.296203592532146 -0.8991450389237007 -0.04568054412443134 -0.7253766969053631
922740655910297948810903552,1,4,1,-0.15141608234162302 0.9135215541509897 0.022121264744799002 -0.7154708611363338 0.03766979296739939 -0.9629348295649514 -0.6482415953870534
281924383100640065845460992,4,4,2,-0.6687111575532588 0.530045655318639 0.916744965074176 -0.5049927084760044 -0.5822853266916137 0.6640479900766946 -0.8805810132243783 -0.5562438541486355 -0.5320384264301078 -0.4345499497352157 -0.8738651926727364
425678672424,1,1,4,-0.8226521788426934 -0.33544854589164086 -0.47981099514089404 -0.18488857521598162 -0.6115387048696284 0.6208300043401245 -0.22853134315522192
14378386040165,1,2,1,-0.021278762842360386 0.2675187005979314 0.8342319147758389 -0.6522506396595281 -0.8573912053020649
14589184271207,2,2,1,0.44330659546897544 -0.5009853622466927 -0.27478912416835155 0.7781847278090751 -0.6577575262204596 -0.3145835170355152
61406034561438,4,1,2,-0.24246763271630273 0.14496618314783324 -0.034569703269195194 0.683989052496093 -0.4265528836753497 0.41286227618122806 -0.6992733681094155 0.8559184587023384
342438872063527848440233984,1,4,3,0.705315708149141 -0.6977017670618694 -0.9868829982639877 -0.4146578728333784 0.2049517427757472 0.5865217806499452 0.5672361997098478 0.148159836901662 0.779114298517785
