mse,weight_order,prod_distance_order,time_delivery_order,thetas
29932680318,1,1,3,500000.0000001465 0.5995361912974349 -0.567301422282514 0.17687445988649764 -0.3551388778929418 0.3790119284432383
29987770069,1,1,1,500000.0000001467 0.42493671386031595 -0.5221795587904348 -0.17679389544968657
5575493051559527,1,2,1,500000.000003021 0.0610007588346418 -0.3551345610137361 15.248478716596331 0.6085961815005527
952928108774997,1,2,2,500000.00000126474 -0.24516705132188418 -0.024442046363678718 6.319384535300804 0.4783596114502381 0.0704210642128781
30317910759,1,1,4,500000.0000001478 0.16312255398004066 0.8608145779749078 0.3697836712591176 0.9098704865139725 0.07164607936878077 -0.4405952340808908
29260793588,1,1,2,500000.0000001442 0.5970936813468976 0.715267592344547 -0.569215287604144 0.30645179617823537
4206600817980044,1,2,3,500000.0000026275 -0.9516271335077331 -0.10561285147241078 13.248210250800236 -0.5029306399744129 0.6464419883714337 0.8545119166617734
239001997187869,1,2,4,499999.9999994054 -0.367557569214477 0.07445613333427029 -3.126895316533024 -0.8329923640404037 0.6625760496789905 0.9607104046102789 0.9527231302198911
438509410961484235639589806186430464,1,3,1,499999.99618442723 -1.0682291030879847 -9.598453118729978 -21801.051027528505 -54387717.567329004 -0.05895954391771793
1516098842306307950900066561476788224,1,3,3,500000.00709447043 0.5102126321698841 15.902496902744582 40537.50859963503 101128864.87648064 -0.35903224633794595 0.2569195856985974 6.411154177783787
1141995299979991017988887764302561280,1,3,4,499999.9938426631 0.6455576095420985 -14.49393839300324 -35182.163476088856 -87769481.49200359 -0.6083641564990411 0.3434649081667506 -5.041205418693033 -54.66766612042512
556221550654236530843130569687040,1,3,2,500000.00013611524 0.1723015941903595 0.821394974700141 776.3328210477515 1937025.2421082754 0.5256453974216512 0.5626337755714729
526176422047547514594703065733615339343027274427928674304,1,4,1,500018.1376245035 761.449563771056 44068.74508316199 109938161.0577411 280242925537.3772 727137009170001.5 136.41531467428098
7043992082940174152234431809531821829976241273718177792,1,4,2,500002.0978193188 88.00578092366061 5098.170542449539 12718377.208195537 32422864841.473408 84131762544645.84 14.74428013090929 150.94411927353158
116602377457265359733490241733154770352472043984915529728,1,4,4,500008.53888797277 357.13587710339544 20746.42825123365 51754634.68246325 131925383152.84721 342297920357562.4 62.85811315229925 614.0336462775264 6658.962114021463 76937.60309179286
28408245306,2,1,1,500000.00000014197 0.1730336310771028 0.6843398342556827 0.9976759251118221 0.29819784298534524
41591209302272978980654240151953810111802047651026829312,1,4,3,500005.0993529775 214.60685761671016 12389.16541556413 30908888.816896275 78789740232.00185 204433155337558.94 39.072370572915545 367.5742571530427 3976.0212957718654
28879630406,2,1,3,500000.00000014366 -0.15151347411328464 0.7180424462570433 -0.12457928098410556 -0.45937579919987936 0.5459314473175522 0.5926984730029583
30135111309,2,1,2,500000.00000014674 -0.7862721449526829 -0.38801163494529933 -0.02870047174644764 -0.8709658683725341 -0.39092637211820813
8310059652371465,2,2,1,499999.99999637157 0.28109605457472925 0.6154637973646714 0.2989798723838491 -18.557603954154775 0.11442049237923783
27225477533,2,1,4,500000.0000001362 -0.7911625180134764 0.02549258976905911 0.279914656935196 -0.07208771112540852 -0.7484547624209913 -0.2370337043181545 0.9976179615471958
8340949404186020,2,2,2,500000.0000036891 0.37892187224359375 -0.0006009608183512975 -0.9674775294908354 18.644940197867193 -0.156046082383215 -0.6256403520055814
281243363351438536150343656960489970645984455729631723520,2,4,1,499986.73902981746 -556.0390035210371 -32412.44146418425 -32218.867283702046 -80376940.04968925 -204886561453.82776 -531608234300154.94 -99.36971408301194
688901213877343649215114358393143296,2,3,4,499999.99521746056 -0.6405919641054459 -10.711910150638598 -12.037522741455923 -27325.3153966179 -68169459.32266508 0.2318666432605985 -0.6553106823717891 -4.190051247335364 -43.47430388933124
9136969207506370,2,2,4,499999.9999961935 0.15804247798656793 0.9566932965469922 0.9541755107054541 -19.46095570814564 0.6387012010864311 0.8381229009939093 0.8410012229666766 0.06726852782653527
14080771172373266245296000035018971470914917636654497792,2,4,2,500002.9680796773 124.55369676944973 7255.0167493852205 7211.521299763147 17986774.052473385 45846664384.20337 118949816993258.64 21.9956410819847 214.52888041254388
385985828408985117623798566265815040,2,3,3,500000.0035795108 -0.4278670539635783 8.871104230696504 8.809340717123261 20454.22538863417 51026649.68649133 0.8336014024524783 0.6045598468800992 2.0468782028338053
881893575981073,2,2,3,500000.000001218 0.8706126428377879 -0.3503643418348563 -0.4052034351707196 6.080656355071218 -0.5165856583604356 -0.10838835844825283 -0.4075193175477417
140315957483153135864013994318130088708481498398700077056,2,4,4,500009.36698446184 392.9322131296731 22896.214491813804 22757.76439283117 56773876.18809091 144719802181.47952 375494940736247.8 69.8848803468245 674.595015607446 7305.428953168501 84397.28227745212
1794749091011310387213615870962040832,2,3,2,499999.99228111707 0.04048651826296806 -19.55464715239401 -18.8636636027808 -44105.60390743853 -110030540.28374146 0.700911641057964 -1.390191556593789
110717794165088274348740207830407175933904358926075297792,2,4,3,499991.6790548294 -348.26939683756484 -20339.04225336232 -20216.416125090953 -50432511.585429735 -128554179856.80379 -333548713699172.44 -62.171709862108 -598.4244359465146 -6489.0162176142285
328403650692935534392514663365476352,2,3,1,499999.9966978138 0.43243852732255755 -8.928960024328607 -8.281180465212653 -18866.313907304982 -47066874.81384977 0.40429267645855543
10119291122,3,1,2,500000.0000000024 0.8142285495019091 -0.2958765735397155 0.9017263364009795 -0.7334775646195973 0.8665210017028547 0.5545402976669476
6722230122863422,3,2,2,500000.00000329525 -0.4149963717163136 -0.002901000612563022 1.1088761441612505 -0.1756598913145475 16.70971624662548 -0.6903308821004934 -0.36834287561031803
98903720873,3,1,1,500000.00000026124 -0.5656236098666415 -0.15059229447737035 -0.649850923168938 0.26281912128071155 -0.7954285848947338
10932718402,3,1,3,499999.99999999505 0.037004238847366706 -0.9468047933893458 0.9380663916737167 0.7509279986135978 -0.5459086836860436 0.3941635930594902 -0.15228199416388352
1108433478407678,3,2,3,499999.999998707 0.7438085374175318 -0.11418387262479028 -0.6730502253054188 0.3448860468746246 -6.741770841111746 0.05184630399573122 0.22496078947190223 -0.5087386116229102
3836243081214840,3,2,1,500000.00000252534 -0.4272504275314543 -0.44065193200305536 -0.18282907039122664 0.5147381229088127 12.65790640522986 -0.7613449666941141
1544645417323206728385239563567628288,3,3,3,500000.00716088846 0.3551595514991239 17.832659275769426 1138.4241750684303 17.510263651479086 40917.4010434686 102076500.94305082 1.0200129836172442 0.6922531287676719 5.184524886378804
86970296259,3,1,4,500000.00000024633 0.5300701156359046 0.012760702063693228 -0.5673820766954957 0.5408389534719144 -0.7875099396393458 -0.4605676188243737 -0.9608193261171364 0.08647047846242063
1535564245239051771825017816216502272,3,3,4,500000.0071400802 -0.4108518857304519 17.669814565651222 1135.1282161930512 15.800518681390939 40796.679393929124 101775998.07984193 0.3315652205049289 -0.14640984658948142 5.592172749286343 65.12507240291161
41739776392763824390155860619296768,3,3,2,500000.0011773911 -0.17397996415185596 2.14849281769515 187.70587282163822 2.961691680266194 6725.964371864467 16779786.60680718 0.5601388716945965 1.0667643906076572
480212698084709359255517544499877884073869396272627056640,3,4,3,500017.3276806952 726.9480310245523 42353.73977638012 2761029.774919684 42100.4887608202 105027505.02477324 267724013590.73535 694652139543757.9 128.70560540394473 1247.8842465713346 13514.288575934634
7429255823884331,3,2,4,499999.9999965956 -0.7127999983931314 0.45747051815782325 -1.2586990617028069 0.42072388768828134 -17.50878317602021 -0.37422277757769884 -0.30459729868138374 0.18529291544824697 -0.6719817637127705
362369275592691121491523726212978912847924441336405557248,3,4,1,499984.9485520631 -630.9168668804435 -36789.719074131666 -2398332.093378768 -36569.4290914984 -91233378.80815102 -232564034389.9214 -603429088573888.9 -111.7381885851767
107211234960673671275354886477614582133958784206745108480,3,4,4,499991.8134297885 -342.4046884796697 -20009.146010505014 -1304468.3598253205 -19890.909947657674 -49623817.51270759 -126497931946.10776 -328224282128011.7 -61.74650505696607 -589.3149536575189 -6384.547977083538 -73761.71931787574
632925451249742464,4,1,2,500000.0000015222 -0.7960656539363837 -0.5111520890968931 1.2967924647559559 44.96184037104846 0.9556128355528016 -0.1576059184323049 0.6303851653403365
25923126723206926053405791185010688,3,3,1,499999.9990720614 -0.6593924513931294 -3.123514349564193 -146.9145430684617 -2.9216728366603246 -5300.454937449986 -13223763.26691356 0.5796184121008155
24591900669238624256,4,1,3,499999.99999086774 0.8960040042866836 -0.2217031054995262 -4.394456962818093 -280.25180915673553 0.6947678395986236 -0.304208829903751 0.8524140239473611 0.19605277083612743
34727962921720299520,4,2,3,499999.99998919637 -0.6298333889224704 0.39466661470186887 -4.843734008960057 -325.86616786076684 -0.8221673446856598 -47.42076015565578 -0.23624869831932474 0.21194853251900667 -0.9891197528021545
315815115930738362921485352162556132216389084340734132224,3,4,2,500014.05310769455 588.5056130299433 34348.94617606552 2239246.2970014643 34142.35672371948 85175603.23428795 217116362996.05453 563335362512373.9 104.51986681485552 1011.1748458939115
23024777498204368896,4,1,1,500000.00000894576 -0.3658666242146782 0.3810280561082696 4.474234668012671 271.1881044143334 0.15134072511009639 0.8167387665433923
10920053066638391296,4,2,2,499999.9999967501 -0.9690153974423048 0.8690241180281013 -1.639373359361824 -185.1097047106885 -0.8026056229131853 -11.112168721196674 0.71761543796224 0.9120391169812578
2312745400529887605973544560326868992,4,3,1,499999.9912394354 -1.3438663100414534 -20.588676674283217 -1390.5109549485117 -96240.98462409044 -21.451226515470598 -50064.38366984165 -124903627.25196293 -0.963002792269305
3981973716408301568,4,2,1,500000.00000312994 0.46685455330033576 -0.7316771202261356 1.0559095494065414 110.82980256918731 -0.5014511238861264 13.035305777304014 0.10440528740723767
35819477568067623108278256368877568,4,3,3,500000.00108770444 -0.6837432787761246 3.4312272317618664 169.58309473109404 11766.02837790027 2.1778921660729207 6226.515738473309 15544285.5451217 -0.9886406508631911 0.8127350631851565 1.6174978836398322
28601455011591749632,4,1,4,500000.0000099809 -0.2115897969180477 0.402704835290482 4.2912182686702645 302.2589835720204 -0.9284134986988072 0.5435684661018657 -0.019503438447926822 -0.15815677930454425 -0.7905566918070148
569212484918885418613126308718182400,4,3,4,500000.0043482192 0.6812920106517987 11.410207613103049 691.1727704183562 47901.995760560654 10.28930910249146 24840.068806015977 61965269.87354329 0.8988862922979795 0.8185005329436962 3.3466895586863954 38.35708018886812
56660052646655685676246832779887046992370207689147416576,4,4,1,499994.04777300864 -249.21126510058497 -14548.56909957466 -948438.1119448479 -65703244.75781201 -14460.887532066234 -36077087.20156692 -91962762561.16695 -238610221928890.38 -43.975503154315895
248951605417370928560000180768354675774258500768318357504,4,4,2,500012.4759580242 524.0777408877858 30494.15905018812 1987948.6236249271 137715712.96884128 30311.66721692672 75620737.44845273 192764353339.67606 500158925616563.0 92.74912938785631 897.4267227082586
572902836189421950791663894103363358863424952255828197376,4,4,3,499981.07430931856 -794.3130788446003 -46260.023965315144 -3015664.2988579907 -208910987.61788356 -45982.91213877859 -114715450.42062491 -292421196667.0146 -758736617179370.6 -141.89990784248687 -1362.5822170270783 -14759.68417304646
463893688037827837199683742473835083144356327092811464704,4,4,4,499982.96895160124 -713.3743717365828 -41628.31657997238 -2713762.596849375 -187996663.0860887 -41379.77260858896 -103228299.40022185 -263136572721.8157 -682746982639979.4 -127.97138351891877 -1226.197189286035 -13281.539404465622 -153451.8348472735
14161156777116964864,4,2,4,500000.0000061651 -0.5853743337731024 0.1888815011690803 3.5299215371773105 208.74069283668484 0.4878304115104654 26.11920896319505 0.3012155430678668 -0.276489826488677 -0.37503077571394133 -0.43008925516633445
475692762179505184330692786741313536,4,3,2,500000.0039761483 0.5456668452159753 10.392228965188512 633.9649017858662 43853.71546640672 9.293142087343915 22708.690610048812 56646673.07419354 -0.777523880331049 0.17455644339443854
