mse,weight_order,prod_distance_order,time_delivery_order,thetas
29401807364566678318874624,1,2,2,0.044236527518977775 -7.1512954070587185 -458.6394508823528 -1105389.4894185201 -1.1080640120511496 -13.43072704156273
84458436184048977068425216,1,2,3,0.38803658283176656 -13.156033406788193 -785.3482561252274 -1873483.377258477 -2.3495955074740213 -23.680285834219564 -265.9217402125612
68922918854111,1,1,4,0.9876871181059816 3.2932188749992104 129.76309612855707 1.4124364927815187 4.918004639619651 50.05453817087521 571.1788402214336
853841983216185904615399777199644028491416974633040014820824317952,1,4,2,-730682.6507837051 -30644258.416682612 -1775273218.8358505 -4428754292267.755 -1.1289175011695434e+16 -2.92913447512039e+19 -5459965.666147663 -52615734.40453011
824073269470438264823553630467579346033313805028674725585606410240,1,4,3,-717872.809470579 -30106994.33289151 -1744115139.0755773 -4350959698012.5513 -1.1090739967701158e+16 -2.8776201863244407e+19 -5364240.380771227 -51693268.12850207 -559867293.0573621
12327503485919984210673664,1,2,1,0.12261372858179573 -4.515712032750125 -293.16973368944923 -715757.420974736 -0.7200398044322528
7100629578159164211666432459451145069793585840152267342839113842688,1,4,1,-2107135.6506422954 -88371518.72074732 -5119495719.219683 -12771521023864.596 -3.2555359001364908e+16 -8.446931774258885e+19 -15745380.483599879
28290922042533449098592256,1,2,4,0.3154705235300974 -7.431728086425247 -449.73150151235154 -1084303.0142424142 -0.9468490538285306 -13.261507814464629 -151.3464517244734 -1751.346482824774
19678407096199350530676901244863480828004401152,1,3,1,-807.9844351800939 -33913.42079516579 -1900834.609068076 -4618338699.815317 -11521428919952.43 -6042.071566837217
7434188343057134530618063495910405416335441920,1,3,3,-495.86815971045525 -20844.783703464098 -1168344.5220198582 -2838637082.854146 -7081547201838.96 -3713.9869069023753 -35798.7675443463 -387922.39706797973
5649300979384689289003394199623699978683883663151977170948541382656,1,4,4,-1879502.4798415198 -78824770.74168485 -4566432828.575251 -11391793865675.484 -2.9038332249050876e+16 -7.534386839361375e+19 -14044412.352197675 -135340959.07173797 -1465818684.6336029 -16934593406.50396
74455222461600,2,1,4,0.592923517626899 3.482766735618911 175.28319877428513 130.15868664141192 0.7700107936314461 4.81020821411704 50.23282434170841 576.2060699168557
70997196347850834954944512,2,2,3,0.06479423452860195 -11.901434759837839 -740.8542868693166 -718.966688605963 -1717706.0373461812 -2.23055233445403 -22.16084102537052 -243.12688620299355
243689696877162330833141592579149431251664896,2,3,1,-89.77095026582822 -3772.7749261998847 -219548.2082837132 -211519.75343908797 -513929007.078193 -1282123789028.439 -671.5631573079335
26627716894402630823968768,2,2,1,0.13417913638067444 -6.6028656517121895 -435.0738242667897 -436.0571500757654 -1051950.2525628225 -1.1188186347294338
505726857198344293973339306551457066130604032,1,3,2,-128.9499295950483 -5435.95308840403 -304728.4640350662 -740376074.794057 -1847010581150.4885 -968.1113847270809 -9337.240172679825
12473255931861114586654313014360271618324824064,2,3,2,-642.8038898018369 -27000.938366175145 -1571016.6869764717 -1513374.2378469366 -3676918420.1175356 -9172786625488.168 -4810.867815318573 -46371.770963933996
13035300628720692748694143017351993036248186880,1,3,4,-657.7883169246971 -27602.66592998757 -1547106.7199130473 -3758858544.0038238 -9377172392341.357 -4917.59262936005 -47405.408834846385 -513687.383969404 -5938711.892368499
2294690283667653996314624,2,2,2,-0.013506813128743446 -1.2543788139413508 -94.25399973905598 -119.52898264297842 -308809.16594237386 0.3339918944468287 -2.474247898066568
40392447961863452142600192,2,2,4,0.20898110821003638 -8.546243592442043 -547.6020369920992 -539.3143676695769 -1295618.432655578 -1.459932116713821 -15.879441391148097 -182.15468611918735 -2111.8901094229786
1421716628378318762229510257593727633916723137244609055389003022336,2,4,2,-942900.9073920051 -39544521.35881421 -2304685021.416058 -2290844914.3434424 -5714876600262.955 -1.4567442836905664e+16 -3.779697812304764e+19 -7045748.971007781 -67897360.82975906
65517564051249028425978099557166450629852482280496645972288339968,2,4,4,-202432.46582821544 -8489885.59674008 -494796185.0240426 -491808807.81043726 -1226862465102.7832 -3127253687753030.0 -8.113895849644268e+18 -1512664.1165297877 -14577013.171306515 -157877360.20975447 -1823957860.9251163
25740853045138002947814626791689107175987247962120672406621126656,2,4,3,-126877.42464146703 -5321160.521524093 -310121143.09701294 -308255296.9718183 -768984618479.2072 -1960157100365744.0 -5.085832179894101e+18 -948084.6829768978 -9136355.456637168 -98951910.24228865
3799886685879657170321776389555132975976502935222282046537115631616,2,4,1,-1541432.6382635857 -64646429.787438944 -3767646642.2227373 -3745079356.152659 -9342814277016.346 -2.381543833932665e+16 -6.179251629806278e+19 -11518220.884709723
555791918885595854282885856012714098026348544,2,3,4,-135.17438069402772 -5697.889724681559 -331558.6788219235 -319429.0082095416 -776129728.7155213 -1936277007526.1401 -1014.7126556454197 -9787.001344101256 -106052.83025765726 -1226074.0315763182
