mse,weight_order,prod_distance_order,time_delivery_order,thetas
189979406420,1,2,2,-0.3925583284629834 -0.14305397488538418 -0.2880231136283344 0.052074011487134836 0.7478157431378779 0.2925033548358381
423568867946,2,1,1,0.976927369065709 0.45321564664842495 -0.8430882072607535 0.5829234553747012 0.18070652120964087
423793964721,1,1,2,0.6299190754455932 0.7702427605144688 -0.6003017183330686 0.0886312379018993 0.18231667194063209
330398219686,3,1,1,-0.2436923365583663 -0.36389409454478505 -0.28322759776218476 0.4622053903577614 0.7944601135129772 -0.6333048010277046
426257026918,2,1,2,0.7150991215140764 -0.26100642648521455 -0.6707416868156295 -0.6361792805945871 0.033426940595021604 -0.14168160390560106
420327697204,1,1,4,-0.6132340365199378 -0.09052651481084388 -0.4049576642677255 -0.30727460443261334 -0.365731329905313 0.34565014097813457 0.2317904053106072
426241013294,2,1,4,0.9852192012388273 0.7945747222759172 -0.5600770977322307 -0.6503731999162999 0.5635652530505089 -0.44814420388323783 -0.07754859899410303 -0.02390473549794776
335681681994,3,1,3,0.3292285983267803 -0.1869380038593455 0.40556517184766233 0.4376076089891506 -0.22276377768169076 0.6210343527369683 -0.28388132063788035 -0.5698326488714994
79661053131,3,2,2,0.7193190783195277 0.2153408828140016 0.09066164769065634 0.10757138508804118 -0.46541583435095796 0.10346340531807063 -0.013192212906515642 -0.5297939471447944
358871952361,3,1,2,0.14037823815281453 0.036016440880432904 0.22492945206627132 0.3100128791463876 -0.30204446044708744 0.2916905838871829 -0.030605939549705724
407653197272,3,1,4,0.9515720579623392 -0.18109860682672335 -0.3743799366330251 0.0644976593801642 0.28712513267962425 -0.8293308721842475 -0.6362412171906952 0.2452196954854392 0.07525544089981101
