mse,weight_order,prod_distance_order,time_delivery_order,thetas
32917728284,1,1,1,0.9696446287220389 45.6224816405334 298.4705150841603 3.632162384968738
31989100458,1,1,3,0.9419812065090899 43.280132030753926 284.3097639637916 1.5686952629965292 11.444692666589898 37.98390864699957
118912772602235509031547825212639359663405295733822077614028091255239314954850160093956142137206147911928362590744724118679504319473773986485141305250400603182091234937700682977622040192798026478721744855297467351040,1,1,4,-9.458057923219191e+98 -3.9940215920452534e+100 -1.9159229989927543e+102 -1.1348430770964738e+100 -1.4069765265382655e+101 -1.7827836908768174e+102 -2.295381743313419e+103
32739860332,1,1,2,0.6672183209546777 45.240031239415906 297.2699437422627 4.231281631873304 36.556142764029936
18855461755,2,1,2,0.936262481669153 8.643368722841302 52.99513315056286 238.1504804268661 3.6989875232316183 29.36420822759409
1622460529567568473339208730428903494330761537624065019486161638835744484234179144380300768467268390499180914124208852967646572660235183621965606089870027650137539422836028818811240535225591736900419142232398126070846915652968513536,2,1,4,-1.1120292644763156e+107 -4.763576269791955e+108 -2.7869034438934042e+110 -2.2527828871119387e+110 -1.320785433731458e+108 -1.6313419953540167e+109 -2.06315105352374e+110 -2.6533447547287266e+111
18977219459,2,1,1,-0.43850510436199774 8.338453344994136 53.0717552898168 239.0448627407922 2.3951794948342973
18318936322,2,1,3,-0.05701631872061942 9.103407534341395 52.3642727915489 228.54386717092143 1.813857056034282 8.830025380095424 30.190718001689604
