mse,weight_order,prod_distance_order,time_delivery_order,thetas
11998297878,1,1,1,2582.9794050982946 4931.988921010144 171.94672897841926 8599.523899634067
9954230694,2,1,1,2278.3551783869307 11046.06757479124 -76.06396060298545 143.1073030019303 7386.0644614771945
12120090786,1,1,2,2589.5648524562844 4975.527178612713 177.36361270962752 7018.354549502593 -23.054311209800417
11539781226,1,1,3,2431.358664527562 4893.508147598453 165.64277757685576 4384.027311326683 2653.840943726654 -184.6981577494896
10018269399,2,1,2,2287.4840735731036 11196.040580846362 -77.47028183527662 147.258531350176 6215.56938335308 -42.37762504008883
9638366765,2,1,3,2157.1952098227243 10904.671883290031 -74.72277161201609 138.41067566881287 3853.3431465600543 2268.729328178204 -158.84231221461434
