mse,weight_order,prod_distance_order,time_delivery_order,thetas
29448321465,1,1,3,500000.0001451531 0.4724797072396107 0.18109496128093305 0.011081727055494666 -0.11905418352096202 0.5872568995547083
25992119024,1,1,4,500000.00013610773 0.8232950247154065 0.8259580797656425 0.6013373124963759 0.6630811253007131 0.7781455473913073 1.3587631065536618
6510559007,3,1,2,500000.00004161807 -0.8548833590726673 0.8513490693025444 0.629563811589057 0.6512178560140435 0.6808504533433299 -0.3215250104426567
29790520966,2,1,2,500000.0001469953 0.07163158148343755 0.014972501231859984 -0.18218037276619145 -0.0415683238614333 -0.5657210144089161
27386788750,2,1,4,500000.0001429813 -0.06122430012234014 -0.24731072155208184 0.5522975217940006 0.2526289517403412 0.6814727139890991 0.15120560199212882 0.928797287475597
29789289368,1,1,2,500000.0001462889 -0.6700385329615717 -0.167903086662621 -0.6985422309822795 0.5022262547993757
6673206709,3,1,4,500000.00004836323 -0.22675907803402115 -0.7124985411304235 0.6520708812865144 0.8355192119333338 -0.2796649307748326 -0.6604497364355852 -0.7314269718825346 -0.025502819994703513
28944362817,2,1,3,500000.00014429144 -0.23448434413795663 0.21953431010856791 0.9324163470995291 0.8648969924297372 -0.7022743457222407 -0.016536904138205733
6830520379,3,1,3,500000.0000486659 -0.3092628251376406 0.210312122912152 0.6464426476033244 -0.6116841281556681 -0.6717258735274046 0.4053989941012744 -0.6686541764397492
29537626459,2,1,1,500000.00014569756 -0.5469812714117479 -0.3153736367677433 0.8418563529123064 0.5873070588972048
29279990411,1,1,1,500000.0001444964 -0.9039352017075221 0.7300798560360173 0.8211858910914712
6661454325,3,1,1,500000.00004267105 0.5719986226147796 0.8281685783486296 0.6343617087492387 -0.2160843743984554 -0.48952034233961206
