mse,weight_order,prod_distance_order,time_delivery_order,thetas
397109937133.59326,1,1,1,20206.600990860454 0.2144945206155695 0.2830245320320166 -0.28808611096140213
350337900976.95526,1,1,2,61989.40900784256 0.36859923916217685 -0.4736014173293124 -0.25661635461248955 -0.08299638909089913
394634426278.13715,2,1,2,46678.118885079035 -0.1925410762274511 0.6516929990861688 -0.8257667628469403 0.7141929214336515 -0.33085643402698617
384051752522.0552,2,1,1,68841.01487656738 0.35801542007599774 -0.8899325531108959 0.38444904089394494 0.4317173194492896
