mse,weight_order,prod_distance_order,time_delivery_order,thetas
9294739495,1,1,1,500000.967558165 269.0226190416537 61.68888356849643 6.7777000877230735
2383673847,2,1,1,500000.42350076616 30.14015381001794 39.85431780917179 21.193088646587572 2.79802007169356
9272012490,1,1,3,500000.92233633867 266.2248433884483 58.34140580567036 2.908431489572598 14.012577200347144 8.092194457820872
2377965842,2,1,3,500000.40707601287 28.994262252524056 39.78401539258123 19.95427000803162 1.6941936340343737 5.020289615857419 3.232240659181652
2377044186,2,1,2,500000.41842185054 28.22871172373831 39.83143680458015 20.535783986536725 1.7252457442482745 21.6313536923958
9259309692,1,1,2,500000.9542665121 266.97782993341764 59.84710567865843 5.5566737893849165 56.32629178943548
